Benchmark,Comm before verify,Cell-cell Edges before verify,Comm after verify,Edges after verify,Cell-cell Edges before merge,Edges after merge,,,,,,
4input_10373,22,27,22,27,3,6,19.18,23.69,19.18,23.69,3.1,6.17
4input_1125,18,22,18,22,4,7,,,,,,
4input_11258,20,24,20,24,3,7,,,,,,
4input_1340,18,22,18,22,3,6,,,,,,
4input_13651,21,28,21,28,3,8,,,,,,
4input_13742,21,28,21,28,3,7,,,,,,
4input_13811,22,26,22,26,4,8,,,,,,
4input_15412,19,26,19,26,3,7,,,,,,
4input_15553,23,32,23,32,5,12,,,,,,
4input_16292,18,22,18,22,3,5,,,,,,
4input_16418,22,30,22,30,4,10,,,,,,
4input_16891,20,24,20,24,3,7,,,,,,
4input_17289,22,30,22,30,4,9,,,,,,
4input_17385,22,30,22,30,3,7,,,,,,
4input_1767,21,25,21,25,4,7,,,,,,
4input_18321,17,20,17,20,3,4,,,,,,
4input_18834,18,23,18,23,3,7,,,,,,
4input_19348,20,25,20,25,3,7,,,,,,
4input_19890,20,24,20,24,3,5,,,,,,
4input_2064,19,24,19,24,3,6,,,,,,
4input_2345,18,22,18,22,3,6,,,,,,
4input_2956,20,23,20,23,3,5,,,,,,
4input_30215,17,21,17,21,3,7,,,,,,
4input_30293,18,22,18,22,3,5,,,,,,
4input_30304,17,20,17,20,3,5,,,,,,
4input_30485,17,20,17,20,3,5,,,,,,
4input_31534,23,32,23,32,4,10,,,,,,
4input_31773,16,20,16,20,2,3,,,,,,
4input_32058,18,22,18,22,3,6,,,,,,
4input_32474,23,32,23,32,4,11,,,,,,
4input_3310,17,20,17,20,3,5,,,,,,
4input_33484,20,27,20,27,4,8,,,,,,
4input_34335,17,21,17,21,3,5,,,,,,
4input_34352,21,25,21,25,3,7,,,,,,
4input_36208,16,19,16,19,2,3,,,,,,
4input_36445,18,22,18,22,3,6,,,,,,
4input_36764,16,18,16,18,2,3,,,,,,
4input_37740,16,20,16,20,2,4,,,,,,
4input_38141,22,26,22,26,3,7,,,,,,
4input_38389,21,26,21,26,3,7,,,,,,
4input_38421,22,27,22,27,3,7,,,,,,
4input_3857,21,29,21,29,3,8,,,,,,
4input_39057,21,26,21,26,3,7,,,,,,
4input_39469,18,22,18,22,3,5,,,,,,
4input_39513,20,24,20,24,3,6,,,,,,
4input_39917,17,21,17,21,3,5,,,,,,
4input_40287,20,25,20,25,3,6,,,,,,
4input_41284,18,21,18,21,3,5,,,,,,
4input_42970,20,25,20,25,3,7,,,,,,
4input_43104,20,24,20,24,3,6,,,,,,
4input_44033,16,19,16,19,2,4,,,,,,
4input_44531,22,30,22,30,4,10,,,,,,
4input_44824,23,28,23,28,4,8,,,,,,
4input_44903,17,21,17,21,3,5,,,,,,
4input_45536,21,26,21,26,3,5,,,,,,
4input_45681,20,25,20,25,4,8,,,,,,
4input_45829,21,26,21,26,3,7,,,,,,
4input_46076,21,26,21,26,4,8,,,,,,
4input_47382,17,20,17,20,3,5,,,,,,
4input_47604,17,21,17,21,3,5,,,,,,
4input_47762,23,28,23,28,3,7,,,,,,
4input_47870,18,22,18,22,3,5,,,,,,
4input_49513,18,22,18,22,3,7,,,,,,
4input_49782,18,21,18,21,3,5,,,,,,
4input_50119,18,21,18,21,3,5,,,,,,
4input_50293,18,22,18,22,3,7,,,,,,
4input_50457,19,26,19,26,3,8,,,,,,
4input_50508,17,19,17,19,3,5,,,,,,
4input_51561,22,27,22,27,3,5,,,,,,
4input_52116,20,24,20,24,3,6,,,,,,
4input_52550,22,29,22,29,4,9,,,,,,
4input_53423,21,28,21,28,4,9,,,,,,
4input_53427,23,28,23,28,3,6,,,,,,
4input_5353,18,21,18,21,3,6,,,,,,
4input_54384,18,21,18,21,3,5,,,,,,
4input_54847,17,20,17,20,3,5,,,,,,
4input_55069,19,23,19,23,3,7,,,,,,
4input_55448,20,25,20,25,3,7,,,,,,
4input_55714,17,21,17,21,3,6,,,,,,
4input_55816,17,21,17,21,3,6,,,,,,
4input_56565,21,26,21,26,3,7,,,,,,
4input_56815,16,18,16,18,2,3,,,,,,
4input_56905,21,26,21,26,3,7,,,,,,
4input_57451,17,20,17,20,3,5,,,,,,
4input_58459,21,26,21,26,5,9,,,,,,
4input_58720,19,22,19,22,3,5,,,,,,
4input_59730,18,22,18,22,3,6,,,,,,
4input_61601,18,22,18,22,3,5,,,,,,
4input_61894,19,24,19,24,3,4,,,,,,
4input_62187,16,18,16,18,2,2,,,,,,
4input_62220,19,23,19,23,3,4,,,,,,
4input_6246,18,22,18,22,3,5,,,,,,
4input_62670,17,20,17,20,3,3,,,,,,
4input_64111,16,18,16,18,2,4,,,,,,
4input_6471,17,20,17,20,3,5,,,,,,
4input_65265,21,25,21,25,3,5,,,,,,
4input_6842,16,19,16,19,2,4,,,,,,
4input_7365,17,20,17,20,3,5,,,,,,
4input_7620,20,27,20,27,3,8,,,,,,
4input_8726,22,26,22,26,4,8,,,,,,
5input_10607,29,39,29,39,6,14,29.6,39.1,29.6,39.1,5.39,13.58
5input_1273,35,46,35,46,7,18,,,,,,
5input_12818,29,37,29,37,5,12,,,,,,
5input_1397,32,42,32,42,6,16,,,,,,
5input_1405,25,32,25,32,4,9,,,,,,
5input_14623,29,38,29,38,5,14,,,,,,
5input_15968,33,47,33,47,8,22,,,,,,
5input_18087,29,37,29,37,5,12,,,,,,
5input_2107,32,43,32,43,5,14,,,,,,
5input_21475,30,40,30,40,5,13,,,,,,
5input_23439,30,40,30,40,6,16,,,,,,
5input_23810,30,39,30,39,5,14,,,,,,
5input_24130,34,44,34,44,6,15,,,,,,
5input_24161,28,39,28,39,5,12,,,,,,
5input_24542,32,42,32,42,6,15,,,,,,
5input_26442,32,45,32,45,6,17,,,,,,
5input_26658,29,39,29,39,5,13,,,,,,
5input_28631,27,37,27,37,6,16,,,,,,
5input_32266,38,53,38,53,9,24,,,,,,
5input_33649,34,48,34,48,5,14,,,,,,
5input_34261,28,36,28,36,5,10,,,,,,
5input_34797,22,26,22,26,3,6,,,,,,
5input_34918,28,37,28,37,5,13,,,,,,
5input_35490,26,32,26,32,4,9,,,,,,
5input_36413,31,42,31,42,7,17,,,,,,
5input_36527,37,50,37,50,7,19,,,,,,
5input_3830,22,26,22,26,4,7,,,,,,
5input_39460,27,36,27,36,6,15,,,,,,
5input_42067,39,59,39,59,12,31,,,,,,
5input_42404,32,42,32,42,6,15,,,,,,
5input_42709,27,35,27,35,4,11,,,,,,
5input_43512,34,46,34,46,6,16,,,,,,
5input_43950,28,36,28,36,5,13,,,,,,
5input_44062,36,48,36,48,7,18,,,,,,
5input_44784,26,33,26,33,4,9,,,,,,
5input_46310,22,27,22,27,3,5,,,,,,
5input_46493,22,29,22,29,4,10,,,,,,
5input_47017,29,39,29,39,6,16,,,,,,
5input_47630,29,38,29,38,5,12,,,,,,
5input_47980,28,35,28,35,5,12,,,,,,
5input_48024,33,44,33,44,6,15,,,,,,
5input_49091,31,42,31,42,5,14,,,,,,
5input_4981,27,34,27,34,5,12,,,,,,
5input_52531,30,39,30,39,5,13,,,,,,
5input_53065,31,41,31,41,6,15,,,,,,
5input_54207,27,35,27,35,5,10,,,,,,
5input_54264,27,34,27,34,4,10,,,,,,
5input_54680,33,42,33,42,5,13,,,,,,
5input_5556,31,41,31,41,5,12,,,,,,
5input_55865,31,41,31,41,6,14,,,,,,
5input_5603,28,37,28,37,5,14,,,,,,
5input_56870,28,36,28,36,4,9,,,,,,
5input_57143,31,42,31,42,6,16,,,,,,
5input_57515,31,40,31,40,4,10,,,,,,
