Time Cost: 2.2984211444854736s
Community 1: ['10924']
Community 2: ['10925']
Community 3: ['10926']
Community 4: ['10927']
Community 5: ['10928']
Community 6: ['10929']
Community 7: ['10930']
Community 8: ['10931']
Community 9: ['10932']
Community 10: ['10933']
Community 11: ['10934']
Community 12: ['10935']
Community 13: ['10936']
Community 14: ['10937']
Community 15: ['10938']
Community 16: ['10939']
Community 17: ['10940']
Community 18: ['10941']
Community 19: ['10942']
Community 20: ['10943']
Community 21: ['10944']
Community 22: ['10945']
Community 23: ['10946']
Community 24: ['10947']
Community 25: ['10948']
Community 26: ['10949']
Community 27: ['10950']
Community 28: ['10951']
Community 29: ['10952']
Community 30: ['10953']
Community 31: ['10954']
Community 32: ['10955']
Community 33: ['10956']
Community 34: ['10957']
Community 35: ['10958']
Community 36: ['10959']
Community 37: ['10960']
Community 38: ['10961']
Community 39: ['10962']
Community 40: ['10963']
Community 41: ['10964']
Community 42: ['10965']
Community 43: ['10966']
Community 44: ['10967']
Community 45: ['10968']
Community 46: ['10969']
Community 47: ['10970']
Community 48: ['10971', '10973', '11005', '11006', '11075', '11077', '11080']
Community 49: ['10972']
Community 50: ['10974']
Community 51: ['10975']
Community 52: ['10976']
Community 53: ['10977']
Community 54: ['10979']
Community 55: ['10980']
Community 56: ['10981']
Community 57: ['10982']
Community 58: ['10983']
Community 59: ['10984']
Community 60: ['10985']
Community 61: ['10986']
Community 62: ['10987']
Community 63: ['10988']
Community 64: ['10989']
Community 65: ['10990']
Community 66: ['10991']
Community 67: ['10992']
Community 68: ['10993']
Community 69: ['10994']
Community 70: ['10995']
Community 71: ['10996']
Community 72: ['10997']
Community 73: ['10998']
Community 74: ['10999']
Community 75: ['11000']
Community 76: ['11001']
Community 77: ['11002']
Community 78: ['11003']
Community 79: ['11004']
Community 80: ['11007']
Community 81: ['11008']
Community 82: ['11009']
Community 83: ['11010']
Community 84: ['11011']
Community 85: ['11012']
Community 86: ['11013']
Community 87: ['11014']
Community 88: ['11015']
Community 89: ['11016']
Community 90: ['11017']
Community 91: ['11018']
Community 92: ['11019']
Community 93: ['11020']
Community 94: ['11021']
Community 95: ['11022']
Community 96: ['11023']
Community 97: ['11024']
Community 98: ['11025']
Community 99: ['11026']
Community 100: ['11027']
Community 101: ['11028']
Community 102: ['11029']
Community 103: ['11030']
Community 104: ['11031']
Community 105: ['11032']
Community 106: ['11033']
Community 107: ['11034']
Community 108: ['11035']
Community 109: ['11036']
Community 110: ['11037']
Community 111: ['11038']
Community 112: ['11039']
Community 113: ['11040']
Community 114: ['11041']
Community 115: ['11042']
Community 116: ['11043']
Community 117: ['11044']
Community 118: ['11045']
Community 119: ['11046']
Community 120: ['11047']
Community 121: ['11048']
Community 122: ['11049']
Community 123: ['11050']
Community 124: ['11051']
Community 125: ['11052']
Community 126: ['11053']
Community 127: ['11054']
Community 128: ['11055']
Community 129: ['11056']
Community 130: ['11057']
Community 131: ['11058']
Community 132: ['11059']
Community 133: ['11060']
Community 134: ['11061']
Community 135: ['11062']
Community 136: ['11063']
Community 137: ['11064']
Community 138: ['11065']
Community 139: ['11066']
Community 140: ['11067']
Community 141: ['11068']
Community 142: ['11069']
Community 143: ['11070']
Community 144: ['11071']
Community 145: ['11072']
Community 146: ['11073']
Community 147: ['11074']
Community 148: ['11076']
Community 149: ['11078']
Community 150: ['11079']
Community 151: ['11081']
Community 152: ['11082']
Community 153: ['11083']
Community 154: ['11084']
Community 155: ['11085']
Community 156: ['11086']
Community 157: ['11087']
Community 158: ['11088']
Community 159: ['11089']
Community 160: ['11090']
Community 161: ['11091']
Community 162: ['11092']
Community 163: ['11093']
Community 164: ['11094']
Community 165: ['11095']
Community 166: ['11096']
Community 167: ['11097']
Community 168: ['11098']
Community 169: ['11099']
Community 170: ['11100']
Community 171: ['11101']
Community 172: ['11102']
Community 173: ['11103']
Community 174: ['11104']
Community 175: ['11105']
Community 176: ['11106']
Community 177: ['11107']
Community 178: ['11108']
Community 179: ['11109']
Community 180: ['11110']
Community 181: ['11111']
Community 182: ['11112']
Community 183: ['RESETn']
Community 184: ['done_out']
Community 185: ['overload']
Community 186: ['ext_or_int']
