Group,Size,GateInfo,Connections,Input,Output
1,2,"{'126': 'NOT', '150': 'NOR'}","[('126', '150')]","[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '126'), 'Color': 'black'}, {'LastCellID': '15', 'Edge': ('149', '150'), 'Color': 'color4'}]","[{'NextCellID': '6', 'Edge': ('126', '131'), 'Color': 'color2'}, {'NextCellID': '7', 'Edge': ('126', '165'), 'Color': 'color1'}, {'NextCellID': '16', 'Edge': ('150', '151'), 'Color': 'color3'}, {'NextCellID': '17', 'Edge': ('150', '152'), 'Color': 'color0'}]"
2,2,"{'127': 'NOT', '141': 'NOR'}","[('127', '141')]","[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '127'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '141'), 'Color': 'black'}]","[{'NextCellID': '5', 'Edge': ('127', '163'), 'Color': 'color0'}, {'NextCellID': '23', 'Edge': ('127', '166'), 'Color': 'color0'}, {'NextCellID': '13', 'Edge': ('141', '142'), 'Color': 'color4'}]"
3,2,"{'128': 'NOT', '144': 'NOR'}","[('128', '144')]","[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '128'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '144'), 'Color': 'black'}]","[{'NextCellID': '4', 'Edge': ('128', '147'), 'Color': 'color2'}, {'NextCellID': '14', 'Edge': ('144', '148'), 'Color': 'color3'}]"
4,2,"{'129': 'NOT', '147': 'NOR'}","[('129', '147')]","[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '129'), 'Color': 'black'}, {'LastCellID': '3', 'Edge': ('128', '147'), 'Color': 'color2'}]","[{'NextCellID': '10', 'Edge': ('129', '136'), 'Color': 'color0'}, {'NextCellID': '14', 'Edge': ('129', '145'), 'Color': 'color0'}, {'NextCellID': '15', 'Edge': ('147', '149'), 'Color': 'color1'}]"
5,2,"{'130': 'NOT', '163': 'NOR'}","[('130', '163')]","[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '130'), 'Color': 'black'}, {'LastCellID': '2', 'Edge': ('127', '163'), 'Color': 'color0'}]","[{'NextCellID': '7', 'Edge': ('130', '132'), 'Color': 'color2'}, {'NextCellID': '22', 'Edge': ('163', '167'), 'Color': 'color1'}]"
6,2,"{'131': 'NOR', '134': 'NOR'}","[('131', '134')]","[{'LastCellID': '1', 'Edge': ('126', '131'), 'Color': 'color2'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '131'), 'Color': 'black'}, {'LastCellID': '7', 'Edge': ('132', '134'), 'Color': 'color0'}]","[{'NextCellID': '9', 'Edge': ('134', '135'), 'Color': 'color1'}, {'NextCellID': '11', 'Edge': ('134', '138'), 'Color': 'color1'}, {'NextCellID': '26', 'Edge': ('134', '175'), 'Color': 'color1'}]"
7,2,"{'132': 'NOR', '165': 'NOR'}",[],"[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '132'), 'Color': 'black'}, {'LastCellID': '5', 'Edge': ('130', '132'), 'Color': 'color2'}, {'LastCellID': '1', 'Edge': ('126', '165'), 'Color': 'color1'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '165'), 'Color': 'black'}]","[{'NextCellID': '8', 'Edge': ('132', '133'), 'Color': 'color0'}, {'NextCellID': '6', 'Edge': ('132', '134'), 'Color': 'color0'}, {'NextCellID': '19', 'Edge': ('132', '156'), 'Color': 'color3'}, {'NextCellID': '23', 'Edge': ('165', '168'), 'Color': 'color4'}]"
8,2,"{'133': 'NOT', '157': 'NOR'}","[('133', '157')]","[{'LastCellID': '7', 'Edge': ('132', '133'), 'Color': 'color0'}, {'LastCellID': '14', 'Edge': ('148', '157'), 'Color': 'color1'}]","[{'NextCellID': '19', 'Edge': ('157', '158'), 'Color': 'color4'}]"
9,2,"{'135': 'NOT', '173': 'NOT'}",[],"[{'LastCellID': '6', 'Edge': ('134', '135'), 'Color': 'color1'}, {'LastCellID': '26', 'Edge': ('172', '173'), 'Color': 'color4'}]","[{'NextCellID': '12', 'Edge': ('135', '139'), 'Color': 'color2'}, {'NextCellID': '27', 'Edge': ('135', '174'), 'Color': 'color0'}, {'NextCellID': '27', 'Edge': ('173', '174'), 'Color': 'color3'}]"
10,2,"{'136': 'NOR', '137': 'NOT'}","[('136', '137')]","[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '136'), 'Color': 'black'}, {'LastCellID': '4', 'Edge': ('129', '136'), 'Color': 'color0'}]","[{'NextCellID': '11', 'Edge': ('136', '138'), 'Color': 'color2'}, {'NextCellID': '13', 'Edge': ('136', '142'), 'Color': 'color3'}, {'NextCellID': '12', 'Edge': ('137', '139'), 'Color': 'color1'}]"
