Gate,InputSignals,OutputSignals
126,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '131', 'Color': 'color2'}, {'NextGateID': '150', 'Color': 'gray'}, {'NextGateID': '165', 'Color': 'color1'}]"
150,"[{'LastGateID': '126', 'Color': 'gray'}, {'LastGateID': '149', 'Color': 'color4'}]","[{'NextGateID': '151', 'Color': 'color3'}, {'NextGateID': '152', 'Color': 'color0'}]"
127,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '141', 'Color': 'gray'}, {'NextGateID': '163', 'Color': 'color0'}, {'NextGateID': '166', 'Color': 'color0'}]"
141,"[{'LastGateID': '127', 'Color': 'gray'}, {'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '142', 'Color': 'color4'}]"
128,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '144', 'Color': 'gray'}, {'NextGateID': '147', 'Color': 'color2'}]"
144,"[{'LastGateID': '128', 'Color': 'gray'}, {'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '148', 'Color': 'color3'}]"
129,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '136', 'Color': 'color0'}, {'NextGateID': '145', 'Color': 'color0'}, {'NextGateID': '147', 'Color': 'gray'}]"
147,"[{'LastGateID': '128', 'Color': 'color2'}, {'LastGateID': '129', 'Color': 'gray'}]","[{'NextGateID': '149', 'Color': 'color1'}]"
130,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '132', 'Color': 'color2'}, {'NextGateID': '163', 'Color': 'gray'}]"
163,"[{'LastGateID': '127', 'Color': 'color0'}, {'LastGateID': '130', 'Color': 'gray'}]","[{'NextGateID': '167', 'Color': 'color1'}]"
131,"[{'LastGateID': '126', 'Color': 'color2'}, {'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '134', 'Color': 'gray'}]"
134,"[{'LastGateID': '131', 'Color': 'gray'}, {'LastGateID': '132', 'Color': 'color0'}]","[{'NextGateID': '135', 'Color': 'color1'}, {'NextGateID': '138', 'Color': 'color1'}, {'NextGateID': '175', 'Color': 'color1'}]"
132,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': '130', 'Color': 'color2'}]","[{'NextGateID': '133', 'Color': 'color0'}, {'NextGateID': '134', 'Color': 'color0'}, {'NextGateID': '156', 'Color': 'color3'}]"
165,"[{'LastGateID': '126', 'Color': 'color1'}, {'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '168', 'Color': 'color4'}]"
133,"[{'LastGateID': '132', 'Color': 'color0'}]","[{'NextGateID': '157', 'Color': 'gray'}]"
157,"[{'LastGateID': '133', 'Color': 'gray'}, {'LastGateID': '148', 'Color': 'color1'}]","[{'NextGateID': '158', 'Color': 'color4'}]"
135,"[{'LastGateID': '134', 'Color': 'color1'}]","[{'NextGateID': '139', 'Color': 'color2'}, {'NextGateID': '174', 'Color': 'color0'}]"
173,"[{'LastGateID': '172', 'Color': 'color4'}]","[{'NextGateID': '174', 'Color': 'color3'}]"
136,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': '129', 'Color': 'color0'}]","[{'NextGateID': '137', 'Color': 'gray'}, {'NextGateID': '138', 'Color': 'color2'}, {'NextGateID': '142', 'Color': 'color3'}]"
137,"[{'LastGateID': '136', 'Color': 'gray'}]","[{'NextGateID': '139', 'Color': 'color1'}]"
138,"[{'LastGateID': '134', 'Color': 'color1'}, {'LastGateID': '136', 'Color': 'color2'}]","[{'NextGateID': '140', 'Color': 'color0'}]"
139,"[{'LastGateID': '135', 'Color': 'color2'}, {'LastGateID': '137', 'Color': 'color1'}]","[{'NextGateID': '140', 'Color': 'gray'}]"
140,"[{'LastGateID': '138', 'Color': 'color0'}, {'LastGateID': '139', 'Color': 'gray'}]","[{'NextGateID': 'Output Signal', 'Color': 'black'}]"
142,"[{'LastGateID': '136', 'Color': 'color3'}, {'LastGateID': '141', 'Color': 'color4'}]","[{'NextGateID': '143', 'Color': 'gray'}, {'NextGateID': '152', 'Color': 'color2'}]"
143,"[{'LastGateID': '142', 'Color': 'gray'}]","[{'NextGateID': '153', 'Color': 'color1'}, {'NextGateID': '172', 'Color': 'color0'}]"
145,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': '129', 'Color': 'color0'}]","[{'NextGateID': '148', 'Color': 'gray'}]"
148,"[{'LastGateID': '144', 'Color': 'color3'}, {'LastGateID': '145', 'Color': 'gray'}]","[{'NextGateID': '157', 'Color': 'color1'}, {'NextGateID': '169', 'Color': 'color2'}]"
146,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '149', 'Color': 'gray'}]"
149,"[{'LastGateID': '146', 'Color': 'gray'}, {'LastGateID': '147', 'Color': 'color1'}]","[{'NextGateID': '150', 'Color': 'color4'}, {'NextGateID': '156', 'Color': 'color5'}]"
151,"[{'LastGateID': '150', 'Color': 'color3'}]","[{'NextGateID': '153', 'Color': 'gray'}]"
153,"[{'LastGateID': '143', 'Color': 'color1'}, {'LastGateID': '151', 'Color': 'gray'}]","[{'NextGateID': '154', 'Color': 'color0'}]"
152,"[{'LastGateID': '142', 'Color': 'color2'}, {'LastGateID': '150', 'Color': 'color0'}]","[{'NextGateID': '154', 'Color': 'color3'}]"
154,"[{'LastGateID': '152', 'Color': 'color3'}, {'LastGateID': '153', 'Color': 'color0'}]","[{'NextGateID': '155', 'Color': 'gray'}, {'NextGateID': '160', 'Color': 'color1'}]"
155,"[{'LastGateID': '154', 'Color': 'gray'}]","[{'NextGateID': '161', 'Color': 'color2'}]"
156,"[{'LastGateID': '132', 'Color': 'color3'}, {'LastGateID': '149', 'Color': 'color5'}]","[{'NextGateID': '158', 'Color': 'gray'}]"
158,"[{'LastGateID': '156', 'Color': 'gray'}, {'LastGateID': '157', 'Color': 'color4'}]","[{'NextGateID': '159', 'Color': 'color2'}, {'NextGateID': '161', 'Color': 'color1'}, {'NextGateID': '170', 'Color': 'color0'}]"
