Time Cost: 0.009563207626342773s
Community 1: ['151']
Community 2: ['152']
Community 3: ['153']
Community 4: ['154']
Community 5: ['155']
Community 6: ['156']
Community 7: ['157']
Community 8: ['158']
Community 9: ['159']
Community 10: ['160']
Community 11: ['161']
Community 12: ['162']
Community 13: ['163']
Community 14: ['164']
Community 15: ['165']
Community 16: ['166']
Community 17: ['167']
Community 18: ['168']
Community 19: ['169']
Community 20: ['170']
Community 21: ['171']
Community 22: ['172']
Community 23: ['173']
Community 24: ['174']
Community 25: ['175']
Community 26: ['176']
Community 27: ['177']
Community 28: ['178']
Community 29: ['179']
Community 30: ['180']
Community 31: ['181']
Community 32: ['182']
Community 33: ['183']
Community 34: ['184']
Community 35: ['185']
Community 36: ['186']
Community 37: ['187']
Community 38: ['188']
Community 39: ['189']
Community 40: ['190']
Community 41: ['191']
Community 42: ['192']
Community 43: ['193']
Community 44: ['194']
Community 45: ['195']
Community 46: ['196']
Community 47: ['197']
Community 48: ['198']
Community 49: ['199']
Community 50: ['200']
Community 51: ['201']
Community 52: ['202']
Community 53: ['203']
Community 54: ['204']
Community 55: ['205']
Community 56: ['206']
Community 57: ['207']
Community 58: ['208']
Community 59: ['209']
Community 60: ['210']
Community 61: ['211']
Community 62: ['212']
Community 63: ['213']
Community 64: ['214']
Community 65: ['215']
Community 66: ['216']
Community 67: ['217']
Community 68: ['218']
Community 69: ['219']
Community 70: ['220']
Community 71: ['221']
Community 72: ['222']
Community 73: ['223']
Community 74: ['224']
Community 75: ['225']
Community 76: ['226']
Community 77: ['227']
Community 78: ['228']
Community 79: ['229']
Community 80: ['230']
Community 81: ['231']
Community 82: ['232']
Community 83: ['233']
Community 84: ['234']
Community 85: ['235']
Community 86: ['236']
Community 87: ['237']
Community 88: ['238']
Community 89: ['239']
Community 90: ['240']
Community 91: ['241']
Community 92: ['242']
Community 93: ['243']
Community 94: ['244']
Community 95: ['245']
Community 96: ['246']
Community 97: ['247']
Community 98: ['248']
Community 99: ['249']
Community 100: ['250']
Community 101: ['251']
Community 102: ['252']
