Time Cost: 550.5756149291992s
Community 1: ['1701', '1713', '1765', '1777', '2021', '2141', '4071', '4072', '4074', '4179', '4180', '4182']
Community 2: ['1702', '1704', '1766', '1768', '2031', '2051', '4080', '4081', '4083', '4098', '4099', '4101']
Community 3: ['1703', '1750', '1767', '1814', '2041', '2511', '4089', '4090', '4092', '4512', '4513', '4515']
Community 4: ['1705', '1754', '1769', '1818', '2061', '2551', '4107', '4108', '4110', '4548', '4549', '4551']
Community 5: ['1706', '1707', '1770', '1771', '2071', '2081', '4116', '4117', '4119', '4125', '4126', '4128']
Community 6: ['1708', '1729', '1772', '1793', '2091', '2301', '4134', '4135', '4137', '4323', '4324', '4326']
Community 7: ['1709', '1751', '1773', '1815', '2101', '2521', '4143', '4144', '4146', '4521', '4522', '4524']
Community 8: ['1710', '1733', '1774', '1797', '2111', '2341', '4152', '4153', '4155', '4359', '4360', '4362']
Community 9: ['1711', '1737', '1775', '1801', '2121', '2381', '4161', '4162', '4164', '4395', '4396', '4398']
Community 10: ['1712', '1716', '1776', '1780', '2131', '2171', '4170', '4171', '4173', '4206', '4207', '4209']
Community 11: ['1714', '1715', '1778', '1779', '2151', '2161', '4188', '4189', '4191', '4197', '4198', '4200']
Community 12: ['1717', '1761', '1781', '1825', '2181', '2621', '4215', '4216', '4218', '4611', '4612', '4614']
Community 13: ['1718', '1762', '1782', '1826', '2191', '2631', '4224', '4225', '4227', '4620', '4621', '4623']
Community 14: ['1719', '1720', '1783', '1784', '2201', '2211', '4233', '4234', '4236', '4242', '4243', '4245']
Community 15: ['1721', '1730', '1785', '1794', '2221', '2311', '4251', '4252', '4254', '4332', '4333', '4335']
Community 16: ['1722', '1760', '1786', '1824', '2231', '2611', '4260', '4261', '4263', '4602', '4603', '4605']
Community 17: ['1723', '1725', '1787', '1789', '2241', '2261', '4269', '4270', '4272', '4287', '4288', '4290']
Community 18: ['1724', '1758', '1788', '1822', '2251', '2591', '4278', '4279', '4281', '4584', '4585', '4587']
Community 19: ['1726', '1731', '1790', '1795', '2271', '2321', '4296', '4297', '4299', '4341', '4342', '4344']
Community 20: ['1727', '1753', '1791', '1817', '2281', '2541', '4305', '4306', '4308', '4539', '4540', '4542']
Community 21: ['1728', '1739', '1792', '1803', '2291', '2401', '4314', '4315', '4317', '4413', '4414', '4416']
Community 22: ['1732', '1742', '1796', '1806', '2331', '2431', '4350', '4351', '4353', '4440', '4441', '4443']
Community 23: ['1734', '1743', '1798', '1807', '2351', '2441', '4368', '4369', '4371', '4449', '4450', '4452']
Community 24: ['1735', '1744', '1799', '1808', '2361', '2451', '4377', '4378', '4380', '4458', '4459', '4461']
