Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
0,4337,5022,684,0.13620071684587814
100,4043,4913,869,0.17687767148381844
200,3644,4960,1315,0.2651209677419355
300,4420,4970,549,0.11046277665995975
400,3779,4982,1202,0.24126856684062625
500,3986,4969,982,0.19762527671563695
600,3881,4986,1104,0.2214199759326113
700,3965,4960,994,0.20040322580645162
800,3971,4960,988,0.19919354838709677
900,3938,4939,1000,0.2024701356549909
1000,4450,5135,684,0.1332035053554041
1100,4043,4913,869,0.17687767148381844
1200,4043,4913,869,0.17687767148381844
1300,3779,4982,1202,0.24126856684062625
1400,3986,4969,982,0.19762527671563695
1500,4420,4970,549,0.11046277665995975
1600,3995,4979,983,0.19742920265113476
1700,4446,5002,555,0.11095561775289885
1800,4543,5228,684,0.13083397092578425
1900,3839,5046,1206,0.2390011890606421
2000,4500,5058,557,0.11012257809410834
2100,4274,5080,805,0.15846456692913385
2200,4353,5097,743,0.1457720227584854
2300,4112,5096,983,0.19289638932496075
2400,3957,5154,1196,0.23205277454404347
2500,4148,5160,1011,0.19593023255813954
2600,3949,5180,1230,0.23745173745173745
2700,3957,5193,1235,0.23782014249951858
2800,4376,5196,819,0.15762124711316397
2900,4187,5216,1028,0.19708588957055215
3000,4308,5232,923,0.17641437308868502
3100,4210,5247,1036,0.19744615971031065
3200,4038,5279,1240,0.23489297215381702
3300,4233,5251,1017,0.1936773947819463
3400,4438,5276,837,0.1586429112964367
3500,4034,5305,1270,0.23939679547596607
3600,3886,5320,1433,0.2693609022556391
3700,4470,5320,849,0.15958646616541353
3800,3907,5349,1441,0.2693961488128622
3900,4181,5372,1190,0.22151898734177214
4000,4597,5393,795,0.14741331355460782
4100,4314,5370,1055,0.19646182495344505
4200,4872,5557,684,0.12308799712074861
4300,4339,5403,1063,0.19674255043494354
4400,4649,5452,802,0.1471019809244314
4500,4205,5482,1276,0.2327617657789128
4600,4371,5450,1078,0.19779816513761467
4700,4583,5486,902,0.16441851986875683
4800,4219,5499,1279,0.2325877432260411
4900,4547,5516,968,0.1754894851341552
5000,4633,5672,1038,0.18300423131170662
