Time Cost: 47.84055209159851s
Community 1: ['3488']
Community 2: ['3489']
Community 3: ['3490']
Community 4: ['3491']
Community 5: ['3492']
Community 6: ['3493']
Community 7: ['3494']
Community 8: ['3496']
Community 9: ['3497']
Community 10: ['3498']
Community 11: ['3499']
Community 12: ['3500']
Community 13: ['3501']
Community 14: ['3502']
Community 15: ['3503']
Community 16: ['3504']
Community 17: ['3505']
Community 18: ['3506']
Community 19: ['3507']
Community 20: ['3508']
Community 21: ['3509']
Community 22: ['3510']
Community 23: ['3511']
Community 24: ['3512']
Community 25: ['3513']
Community 26: ['3514']
Community 27: ['3515']
Community 28: ['3516']
Community 29: ['3517']
Community 30: ['3518']
Community 31: ['3519']
Community 32: ['3520']
Community 33: ['3521']
Community 34: ['3522']
Community 35: ['3523']
Community 36: ['3524']
Community 37: ['3525']
Community 38: ['3526']
Community 39: ['3527']
Community 40: ['3529']
Community 41: ['3530']
Community 42: ['3531']
Community 43: ['3533']
Community 44: ['3534']
Community 45: ['3535']
Community 46: ['3536']
Community 47: ['3537']
Community 48: ['3538']
Community 49: ['3539']
Community 50: ['3540']
Community 51: ['3541']
Community 52: ['3542']
Community 53: ['3543']
Community 54: ['3544']
Community 55: ['3545']
Community 56: ['3546']
Community 57: ['3547']
Community 58: ['3548']
Community 59: ['3549']
Community 60: ['3550']
Community 61: ['3551']
Community 62: ['3552']
Community 63: ['3553']
Community 64: ['3554']
Community 65: ['3555']
Community 66: ['3556']
Community 67: ['3557']
Community 68: ['3558']
Community 69: ['3559']
Community 70: ['3560']
Community 71: ['3562']
Community 72: ['3563']
Community 73: ['3564']
Community 74: ['3565']
Community 75: ['3566']
Community 76: ['3567']
Community 77: ['3568']
Community 78: ['3569']
Community 79: ['3570']
Community 80: ['3571']
Community 81: ['3572']
Community 82: ['3573']
Community 83: ['3574']
Community 84: ['3575']
Community 85: ['3576']
Community 86: ['3577']
Community 87: ['3578']
Community 88: ['3579']
Community 89: ['3580']
Community 90: ['3581']
Community 91: ['3582']
Community 92: ['3583']
Community 93: ['3584']
Community 94: ['3585']
Community 95: ['3586']
Community 96: ['3587']
Community 97: ['3588']
Community 98: ['3589']
Community 99: ['3590']
Community 100: ['3591']
Community 101: ['3592']
Community 102: ['3594']
Community 103: ['3595']
Community 104: ['3596']
Community 105: ['3597']
Community 106: ['3598']
Community 107: ['3600']
Community 108: ['3601']
Community 109: ['3602']
Community 110: ['3603']
Community 111: ['3605']
Community 112: ['3606']
Community 113: ['3607']
Community 114: ['3608']
Community 115: ['3609']
Community 116: ['3610']
Community 117: ['3611']
Community 118: ['3612']
Community 119: ['3613']
Community 120: ['3614']
Community 121: ['3615']
Community 122: ['3617']
Community 123: ['3618']
Community 124: ['3619']
Community 125: ['3620']
Community 126: ['3621']
Community 127: ['3622']
Community 128: ['3623']
Community 129: ['3624']
Community 130: ['3625']
Community 131: ['3626']
Community 132: ['3627']
Community 133: ['3628']
Community 134: ['3629']
Community 135: ['3630']
Community 136: ['3631']
Community 137: ['3632']
Community 138: ['3633']
Community 139: ['3634']
Community 140: ['3635']
Community 141: ['3636']
Community 142: ['3637']
Community 143: ['3639']
Community 144: ['3640']
Community 145: ['3641']
Community 146: ['3642']
Community 147: ['3643']
Community 148: ['3644']
Community 149: ['3645']
Community 150: ['3646']
Community 151: ['3647']
Community 152: ['3648']
Community 153: ['3649']
Community 154: ['3650']
Community 155: ['3651']
Community 156: ['3652']
Community 157: ['3653']
Community 158: ['3654']
Community 159: ['3655']
Community 160: ['3656']
Community 161: ['3657']
Community 162: ['3658']
Community 163: ['3659']
Community 164: ['3660']
Community 165: ['3661']
Community 166: ['3662']
Community 167: ['3663']
Community 168: ['3664']
Community 169: ['3665']
Community 170: ['3666']
Community 171: ['3667']
Community 172: ['3668']
Community 173: ['3669']
Community 174: ['3670']
Community 175: ['3672']
Community 176: ['3673']
Community 177: ['3674']
Community 178: ['3675']
Community 179: ['3676']
Community 180: ['3677']
Community 181: ['3678']
Community 182: ['3679']
Community 183: ['3680']
Community 184: ['3681']
Community 185: ['3682']
Community 186: ['3683']
Community 187: ['3684']
Community 188: ['3685']
Community 189: ['3686']
Community 190: ['3687']
Community 191: ['3688']
Community 192: ['3689']
Community 193: ['3690']
Community 194: ['3691']
Community 195: ['3692']
Community 196: ['3693']
Community 197: ['3694']
Community 198: ['3695']
Community 199: ['3696']
Community 200: ['3697']
Community 201: ['3698']
Community 202: ['3699']
Community 203: ['3700']
Community 204: ['3701']
Community 205: ['3702']
Community 206: ['3703']
Community 207: ['3704']
Community 208: ['3706']
Community 209: ['3707']
Community 210: ['3708']
Community 211: ['3709']
Community 212: ['3710']
Community 213: ['3711']
Community 214: ['3712']
Community 215: ['3713']
Community 216: ['3714']
Community 217: ['3715']
Community 218: ['3716']
Community 219: ['3717']
Community 220: ['3719']
Community 221: ['3720']
Community 222: ['3721']
Community 223: ['3722']
Community 224: ['3723']
Community 225: ['3724']
Community 226: ['3725']
Community 227: ['3726']
Community 228: ['3727']
Community 229: ['3729']
Community 230: ['3730']
Community 231: ['3731']
Community 232: ['3732']
Community 233: ['3733']
Community 234: ['3734']
Community 235: ['3735']
Community 236: ['3736']
Community 237: ['3737']
Community 238: ['3738']
Community 239: ['3739']
Community 240: ['3740']
Community 241: ['3741']
Community 242: ['3742']
Community 243: ['3743']
Community 244: ['3744']
Community 245: ['3745']
Community 246: ['3746']
Community 247: ['3747']
Community 248: ['3748']
Community 249: ['3749']
Community 250: ['3751']
Community 251: ['3752']
Community 252: ['3753']
Community 253: ['3754']
Community 254: ['3755']
Community 255: ['3756']
Community 256: ['3757']
Community 257: ['3758']
Community 258: ['3759']
Community 259: ['3760']
Community 260: ['3761']
Community 261: ['3762']
Community 262: ['3763']
Community 263: ['3764']
Community 264: ['3765']
Community 265: ['3766']
Community 266: ['3767']
Community 267: ['3768']
Community 268: ['3769']
Community 269: ['3770']
Community 270: ['3771']
Community 271: ['3772']
Community 272: ['3773']
Community 273: ['3774']
Community 274: ['3775']
Community 275: ['3776']
Community 276: ['3777']
Community 277: ['3778']
Community 278: ['3779']
Community 279: ['3780']
Community 280: ['3781']
Community 281: ['3782']
Community 282: ['3784']
Community 283: ['3785']
Community 284: ['3786']
Community 285: ['3787']
Community 286: ['3788']
Community 287: ['3789']
Community 288: ['3790']
Community 289: ['3791']
Community 290: ['3792']
Community 291: ['3793']
Community 292: ['3794']
Community 293: ['3795']
Community 294: ['3796']
Community 295: ['3797']
Community 296: ['3798']
Community 297: ['3799']
Community 298: ['3800']
Community 299: ['3801']
Community 300: ['3802']
Community 301: ['3803']
Community 302: ['3804']
Community 303: ['3805']
Community 304: ['3806']
Community 305: ['3807']
Community 306: ['3808']
Community 307: ['3809']
Community 308: ['3810']
Community 309: ['3811']
Community 310: ['3812']
Community 311: ['3813']
Community 312: ['3814']
Community 313: ['3815']
Community 314: ['3816']
Community 315: ['3818']
Community 316: ['3819']
Community 317: ['3820']
Community 318: ['3821']
Community 319: ['3822']
Community 320: ['3824']
Community 321: ['3825']
Community 322: ['3826']
Community 323: ['3827']
Community 324: ['3828']
Community 325: ['3829']
Community 326: ['3830']
Community 327: ['3831']
Community 328: ['3832']
Community 329: ['3833']
Community 330: ['3834']
Community 331: ['3835']
Community 332: ['3836']
Community 333: ['3837']
Community 334: ['3838']
Community 335: ['3839']
Community 336: ['3840']
Community 337: ['3842']
Community 338: ['3843']
Community 339: ['3844']
Community 340: ['3845']
Community 341: ['3846']
Community 342: ['3847']
Community 343: ['3848']
Community 344: ['3849']
Community 345: ['3850']
Community 346: ['3851']
Community 347: ['3852']
Community 348: ['3853']
Community 349: ['3854']
Community 350: ['3855']
Community 351: ['3856']
Community 352: ['3857']
Community 353: ['3858']
Community 354: ['3859']
Community 355: ['3860']
Community 356: ['3861']
Community 357: ['3862']
Community 358: ['3864']
Community 359: ['3865']
Community 360: ['3866']
Community 361: ['3867']
Community 362: ['3868']
Community 363: ['3869']
Community 364: ['3870']
Community 365: ['3871']
Community 366: ['3872']
Community 367: ['3873']
Community 368: ['3874']
Community 369: ['3875']
Community 370: ['3876']
Community 371: ['3877']
Community 372: ['3878']
Community 373: ['3879']
Community 374: ['3880']
Community 375: ['3881']
Community 376: ['3882']
Community 377: ['3883']
Community 378: ['3884']
Community 379: ['3885']
Community 380: ['3886']
Community 381: ['3887']
Community 382: ['3888']
