Time Cost: 68.62752771377563s
Community 1: ['3164']
Community 2: ['3165']
Community 3: ['3166']
Community 4: ['3167']
Community 5: ['3168']
Community 6: ['3169']
Community 7: ['3170']
Community 8: ['3171']
Community 9: ['3172']
Community 10: ['3173']
Community 11: ['3174']
Community 12: ['3175']
Community 13: ['3176']
Community 14: ['3177']
Community 15: ['3178']
Community 16: ['3179']
Community 17: ['3180']
Community 18: ['3181']
Community 19: ['3182']
Community 20: ['3183']
Community 21: ['3184']
Community 22: ['3185']
Community 23: ['3186']
Community 24: ['3187']
Community 25: ['3188']
Community 26: ['3189']
Community 27: ['3190']
Community 28: ['3191']
Community 29: ['3192']
Community 30: ['3193']
Community 31: ['3194']
Community 32: ['3195']
Community 33: ['3196']
Community 34: ['3197']
Community 35: ['3198']
Community 36: ['3199']
Community 37: ['3200']
Community 38: ['3201']
Community 39: ['3202']
Community 40: ['3203']
Community 41: ['3204']
Community 42: ['3205']
Community 43: ['3206']
Community 44: ['3207']
Community 45: ['3208']
Community 46: ['3209']
Community 47: ['3210']
Community 48: ['3211']
Community 49: ['3212']
Community 50: ['3213']
Community 51: ['3214']
Community 52: ['3215']
Community 53: ['3216']
Community 54: ['3217']
Community 55: ['3218']
Community 56: ['3219']
Community 57: ['3220']
Community 58: ['3221']
Community 59: ['3222']
Community 60: ['3223']
Community 61: ['3224']
Community 62: ['3225']
Community 63: ['3226']
Community 64: ['3227']
Community 65: ['3228']
Community 66: ['3229']
Community 67: ['3230']
Community 68: ['3231']
Community 69: ['3232']
Community 70: ['3233']
Community 71: ['3234']
Community 72: ['3235']
Community 73: ['3236']
Community 74: ['3237']
Community 75: ['3238']
Community 76: ['3239']
Community 77: ['3240']
Community 78: ['3241']
Community 79: ['3242']
Community 80: ['3243']
Community 81: ['3244']
Community 82: ['3245']
Community 83: ['3246']
Community 84: ['3247']
Community 85: ['3248']
Community 86: ['3249']
Community 87: ['3250']
Community 88: ['3251']
Community 89: ['3252']
Community 90: ['3253']
Community 91: ['3254']
Community 92: ['3255']
Community 93: ['3256']
Community 94: ['3257']
Community 95: ['3258']
Community 96: ['3259']
Community 97: ['3260']
Community 98: ['3261']
Community 99: ['3262']
Community 100: ['3263']
Community 101: ['3264']
