Total Number of Comms,Solution
9,"defaultdict(<class 'list'>, {'1049': ['1049', '1050', '1051', '1060', '1048', '1083', '1084', '1085'], '1052': ['1052', '1053', '1054', '1055', '1056', '1057', '1058'], '1074': ['1074', '1076', '1075', '1077', '1078', '1079', '1080', '1081'], '1034': ['1034', '1037', '1033', '1032', '1030', '1035', '1036', '1031'], '1039': ['1039', '1040', '1067', '1071', '1070', '1073', '1044', '1038'], '1041': ['1041', '1043', '1045', '1046', '1042', '1047', '1068', '1069'], '1090': ['1090', '1095', '1096', '1099', '1097', '1098', '1094', '1082'], '1063': ['1063', '1064', '1065', '1066', '1062', '1072', '1061'], '1092': ['1092', '1093', '1059', '1089', '1091', '1086', '1087', '1088']})"
10,"defaultdict(<class 'list'>, {'1049': ['1049', '1034', '1037', '1033', '1032', '1030', '1048'], '1050': ['1050', '1060', '1090', '1095', '1096', '1099', '1097'], '1052': ['1052', '1051', '1053', '1054', '1055', '1056', '1057', '1058'], '1083': ['1083', '1084', '1085', '1086', '1087', '1080', '1081', '1082'], '1074': ['1074', '1076', '1075', '1077', '1078', '1079'], '1035': ['1035', '1036', '1039', '1040', '1031', '1047', '1067', '1038'], '1041': ['1041', '1043', '1045', '1046', '1044'], '1098': ['1098', '1092', '1094', '1093', '1059', '1091', '1089', '1088'], '1063': ['1063', '1064', '1065', '1066', '1062', '1071', '1070', '1061'], '1068': ['1068', '1069', '1072', '1073', '1042']})"
10,"defaultdict(<class 'list'>, {'1049': ['1049', '1050', '1052', '1051', '1060', '1083', '1084', '1085'], '1053': ['1053', '1054', '1055', '1056', '1057', '1058', '1086', '1087'], '1074': ['1074', '1076', '1075', '1077', '1078', '1079', '1080', '1081'], '1034': ['1034', '1037', '1048', '1033', '1032'], '1035': ['1035', '1036', '1039', '1040', '1047'], '1041': ['1041', '1043', '1068', '1069', '1042', '1045', '1046', '1031'], '1090': ['1090', '1095', '1096', '1099', '1097', '1098', '1082'], '1063': ['1063', '1064', '1065', '1066', '1062', '1072', '1061', '1030'], '1067': ['1067', '1071', '1070', '1038', '1044', '1073'], '1092': ['1092', '1094', '1093', '1059', '1091', '1089', '1088']})"
10,"defaultdict(<class 'list'>, {'1049': ['1049', '1050', '1052', '1051', '1060', '1048', '1037'], '1053': ['1053', '1054', '1055', '1056', '1057', '1058'], '1083': ['1083', '1084', '1080', '1081', '1082', '1085'], '1074': ['1074', '1076', '1075', '1077', '1078', '1079', '1097'], '1034': ['1034', '1035', '1036', '1039', '1040', '1031', '1033', '1032'], '1041': ['1041', '1043', '1045', '1046', '1047', '1068', '1069', '1042'], '1090': ['1090', '1095', '1096', '1092', '1094', '1093', '1099', '1098'], '1063': ['1063', '1064', '1065', '1066', '1062', '1072', '1061', '1030'], '1067': ['1067', '1071', '1070', '1038', '1044', '1073'], '1059': ['1059', '1089', '1091', '1086', '1087', '1088']})"
10,"defaultdict(<class 'list'>, {'1049': ['1049', '1050', '1052', '1051', '1060', '1083', '1084', '1048'], '1053': ['1053', '1054', '1055', '1056', '1057', '1058'], '1074': ['1074', '1076', '1075', '1077', '1078', '1079', '1085'], '1034': ['1034', '1037', '1033', '1032', '1030'], '1035': ['1035', '1036', '1039', '1040', '1047', '1045', '1046', '1031'], '1041': ['1041', '1043', '1068', '1069', '1042', '1080', '1081', '1082'], '1090': ['1090', '1095', '1096', '1099', '1097', '1098', '1094'], '1063': ['1063', '1064', '1065', '1066', '1062', '1072', '1061'], '1067': ['1067', '1071', '1070', '1038', '1044', '1073'], '1092': ['1092', '1093', '1059', '1089', '1091', '1086', '1087', '1088']})"
10,"defaultdict(<class 'list'>, {'1049': ['1049', '1050', '1051', '1060', '1048', '1083', '1084', '1085'], '1052': ['1052', '1053', '1054', '1055', '1056', '1057', '1058'], '1074': ['1074', '1076', '1075', '1077', '1078', '1079', '1080', '1081'], '1034': ['1034', '1037', '1033', '1032', '1030', '1035', '1036', '1031'], '1039': ['1039', '1040', '1067', '1071', '1070', '1073', '1044', '1038'], '1041': ['1041', '1043', '1045', '1046', '1042', '1047', '1068', '1069'], '1090': ['1090', '1095', '1096', '1099', '1097', '1098', '1094'], '1063': ['1063', '1064', '1065', '1066', '1062', '1072', '1061'], '1092': ['1092', '1093', '1059', '1089', '1091', '1086', '1087', '1088'], '1082': ['1082']})"
10,"defaultdict(<class 'list'>, {'1049': ['1049', '1050', '1052', '1051', '1060', '1053'], '1054': ['1054', '1055', '1056', '1057', '1058', '1086', '1087', '1088'], '1083': ['1083', '1084', '1085', '1080', '1081', '1082', '1079'], '1074': ['1074', '1076', '1075', '1077', '1078', '1047'], '1034': ['1034', '1036', '1031', '1033', '1032', '1037', '1035', '1048'], '1039': ['1039', '1040', '1067', '1071', '1070', '1038', '1044', '1073'], '1041': ['1041', '1043', '1045', '1046', '1042', '1063', '1062'], '1090': ['1090', '1099', '1098', '1059', '1089'], '1095': ['1095', '1096', '1092', '1094', '1093', '1097', '1091'], '1064': ['1064', '1065', '1066', '1068', '1069', '1072', '1061', '1030']})"
10,"defaultdict(<class 'list'>, {'1049': ['1049', '1050', '1052', '1051', '1060', '1040', '1048', '1047'], '1053': ['1053', '1054', '1055', '1056', '1057', '1058', '1061'], '1083': ['1083', '1084', '1085', '1086', '1087', '1088', '1082'], '1074': ['1074', '1076', '1075', '1077', '1078', '1079', '1080', '1081'], '1034': ['1034', '1037', '1033', '1032', '1030'], '1035': ['1035', '1036', '1041', '1043', '1045', '1046', '1042', '1031'], '1039': ['1039', '1067', '1071', '1070', '1073', '1044', '1038'], '1090': ['1090', '1095', '1096', '1099', '1098', '1097'], '1063': ['1063', '1064', '1065', '1066', '1062', '1068', '1069', '1072'], '1092': ['1092', '1094', '1093', '1059', '1091', '1089']})"
10,"defaultdict(<class 'list'>, {'1049': ['1049', '1052', '1051', '1054', '1048', '1053', '1055'], '1050': ['1050', '1060', '1083', '1084', '1085'], '1074': ['1074', '1034', '1037', '1033', '1032', '1030', '1059'], '1076': ['1076', '1075', '1077', '1078', '1079', '1080', '1081', '1082'], '1035': ['1035', '1036', '1039', '1040', '1047'], '1041': ['1041', '1043', '1068', '1069', '1042', '1045', '1046', '1031'], '1090': ['1090', '1095', '1096', '1099', '1097', '1098', '1094', '1093'], '1063': ['1063', '1064', '1065', '1061', '1062', '1066', '1072', '1092'], '1067': ['1067', '1071', '1070', '1038', '1044', '1073'], '1056': ['1056', '1057', '1058', '1086', '1087', '1089', '1091', '1088']})"
10,"defaultdict(<class 'list'>, {'1049': ['1049', '1051', '1039', '1040', '1047', '1067', '1038', '1048'], '1050': ['1050', '1060', '1083', '1084', '1080', '1081', '1082', '1085'], '1052': ['1052', '1074', '1076', '1075', '1077', '1078', '1079', '1068'], '1053': ['1053', '1054', '1055', '1056', '1057', '1058', '1086', '1087'], '1034': ['1034', '1037', '1035', '1036', '1031', '1033', '1032', '1030'], '1041': ['1041', '1043', '1045', '1046', '1042'], '1090': ['1090', '1095', '1096', '1099', '1097'], '1098': ['1098', '1059', '1089', '1091', '1088', '1092', '1094', '1093'], '1063': ['1063', '1064', '1065', '1066', '1062', '1069', '1072', '1061'], '1071': ['1071', '1070', '1073', '1044']})"
