Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'1046': ['1046', '1052', '1047', '1048', '1049', '1037', '1040', '1045', '1039', '1066', '1063', '1064', '1065', '1067', '1050', '1068', '1070', '1051', '1073', '1069'], '1033': ['1033', '1043', '1034', '1044', '1032', '1036', '1056', '1054', '1053', '1035', '1061', '1057', '1058', '1031', '1038', '1055', '1060', '1059', '1062', '1041'], '1042': ['1042', '1072', '1030', '1071']})"
3,"defaultdict(<class 'list'>, {'1046': ['1046', '1052', '1047', '1048', '1066', '1049', '1050', '1067', '1065', '1063', '1064', '1069', '1072', '1030', '1071', '1070', '1068', '1051', '1073'], '1033': ['1033', '1043', '1034', '1042', '1032', '1044', '1041', '1037', '1040', '1045', '1039', '1038', '1061', '1057', '1062', '1058', '1031', '1060', '1059', '1055'], '1036': ['1036', '1056', '1054', '1053', '1035']})"
3,"defaultdict(<class 'list'>, {'1046': ['1046', '1047', '1037', '1040', '1045', '1052', '1048', '1066', '1065', '1049', '1063', '1064', '1067'], '1050': ['1050', '1068', '1070', '1051', '1073', '1069', '1072', '1030', '1071', '1036', '1056', '1054', '1053', '1035'], '1033': ['1033', '1043', '1034', '1042', '1032', '1044', '1061', '1057', '1039', '1058', '1038', '1055', '1060', '1059', '1062', '1041', '1031']})"
3,"defaultdict(<class 'list'>, {'1046': ['1046', '1052', '1047', '1048', '1066', '1049', '1050', '1065', '1067', '1069', '1072', '1030', '1071', '1068', '1070', '1051', '1073', '1063', '1064'], '1033': ['1033', '1043', '1034', '1042', '1032', '1044', '1045', '1031', '1037', '1040', '1061', '1057', '1039', '1058', '1038', '1055', '1060', '1059', '1062', '1041'], '1036': ['1036', '1056', '1054', '1053', '1035']})"
3,"defaultdict(<class 'list'>, {'1046': ['1046', '1052', '1048', '1066', '1063', '1064', '1065', '1067', '1049', '1050', '1047', '1045'], '1033': ['1033', '1043', '1034', '1042', '1032', '1044', '1037', '1040', '1061', '1057', '1058', '1031', '1038', '1055', '1060', '1059', '1062', '1041', '1039'], '1036': ['1036', '1056', '1054', '1053', '1035', '1069', '1072', '1068', '1051', '1073', '1030', '1071', '1070']})"
3,"defaultdict(<class 'list'>, {'1046': ['1046', '1047', '1037', '1040', '1045', '1052', '1048', '1066', '1063', '1064', '1065', '1067', '1049', '1050'], '1033': ['1033', '1043', '1034', '1044', '1032', '1042', '1061', '1057', '1039', '1058', '1038', '1031', '1041', '1055', '1060', '1059', '1062'], '1036': ['1036', '1056', '1054', '1053', '1035', '1069', '1072', '1030', '1071', '1070', '1068', '1051', '1073']})"
3,"defaultdict(<class 'list'>, {'1046': ['1046', '1052', '1047', '1037', '1040', '1045', '1039', '1048', '1066', '1049', '1069', '1072', '1030', '1071', '1068', '1067', '1070', '1073', '1050', '1051'], '1063': ['1063', '1064', '1065', '1061', '1057', '1058', '1031', '1038', '1055', '1060', '1059', '1062', '1041', '1033', '1043', '1034', '1044', '1032', '1042'], '1036': ['1036', '1056', '1054', '1053', '1035']})"
3,"defaultdict(<class 'list'>, {'1046': ['1046', '1052', '1047', '1048', '1066', '1049', '1050', '1065', '1067', '1063', '1064', '1069', '1072', '1030', '1071', '1068', '1070', '1051', '1073'], '1033': ['1033', '1043', '1034', '1042', '1032', '1044', '1045', '1031', '1041', '1037', '1040', '1061', '1057', '1062', '1058', '1038', '1055', '1060', '1059', '1039'], '1036': ['1036', '1056', '1054', '1053', '1035']})"
3,"defaultdict(<class 'list'>, {'1046': ['1046', '1052', '1047', '1048', '1066', '1049', '1050', '1069', '1072', '1030', '1071', '1068', '1070', '1051', '1073', '1063', '1064', '1065', '1062', '1067'], '1033': ['1033', '1043', '1034', '1042', '1032', '1044', '1037', '1040', '1039', '1058', '1038', '1061', '1057', '1031', '1045', '1055', '1060', '1059', '1041'], '1036': ['1036', '1056', '1054', '1053', '1035']})"
3,"defaultdict(<class 'list'>, {'1046': ['1046', '1052', '1047', '1048', '1066', '1063', '1064', '1065', '1062', '1049', '1050', '1067', '1068', '1070', '1051', '1073'], '1033': ['1033', '1043', '1034', '1042', '1032', '1044', '1045', '1031', '1041', '1037', '1040', '1039', '1058', '1038', '1061', '1055', '1060', '1059', '1057'], '1036': ['1036', '1056', '1054', '1053', '1035', '1069', '1072', '1030', '1071']})"
