Community 1: ['1', '29']
Community 2: ['2', '14']
Community 3: ['3', '23']
Community 4: ['4', '12']
Community 5: ['5', '92']
Community 6: ['6', '16']
Community 7: ['7', '18']
Community 8: ['8', '19']
Community 9: ['9', '50']
Community 10: ['10', '20']
Community 11: ['11', '21']
Community 12: ['13', '32']
Community 13: ['15', '24']
Community 14: ['17', '26']
Community 15: ['22', '36']
Community 16: ['25', '51']
Community 17: ['27', '35']
Community 18: ['28', '77']
Community 19: ['30', '39']
Community 20: ['31', '72']
Community 21: ['33', '43']
Community 22: ['34', '44']
Community 23: ['37', '70']
Community 24: ['38', '53']
Community 25: ['40', '46']
Community 26: ['41', '47']
Community 27: ['42', '48']
Community 28: ['45', '119']
Community 29: ['49', '54']
Community 30: ['52', '55']
Community 31: ['56', '61']
Community 32: ['57', '59']
Community 33: ['58', '112']
Community 34: ['60', '62']
Community 35: ['63', '64']
Community 36: ['65', '66']
Community 37: ['67', '93']
Community 38: ['68', '71']
Community 39: ['69', '91']
Community 40: ['73', '74']
Community 41: ['75', '76']
Community 42: ['78', '81']
Community 43: ['79', '80']
Community 44: ['82', '83']
Community 45: ['84', '87']
Community 46: ['85', '89']
Community 47: ['86', '88']
Community 48: ['90', '97']
Community 49: ['94', '98']
Community 50: ['95', '100']
Community 51: ['96', '106']
Community 52: ['99', '107']
Community 53: ['101', '102']
Community 54: ['103', '113']
Community 55: ['104', '108']
Community 56: ['105', '109']
Community 57: ['110', '111']
Community 58: ['114', '116']
Community 59: ['115', '117']
Community 60: ['118', '123']
Community 61: ['120', '124']
Community 62: ['121']
Community 63: ['122', '125']
Community 64: ['126', '127']
Community 65: ['128', '129']
Community 66: ['130', '131']
