Community 1: ['1', '4', '12']
Community 2: ['2', '13', '22']
Community 3: ['3', '41', '47']
Community 4: ['5', '17', '26']
Community 5: ['6', '15', '24']
Community 6: ['7', '18', '38']
Community 7: ['8', '19', '33']
Community 8: ['9', '43', '50']
Community 9: ['10', '11', '21']
Community 10: ['14', '105', '109']
Community 11: ['16', '25', '54']
Community 12: ['20', '97', '107']
Community 13: ['23', '30', '39']
Community 14: ['27', '34', '44']
Community 15: ['28', '96', '106']
Community 16: ['29', '45', '51']
Community 17: ['31', '87', '89']
Community 18: ['32', '82', '85']
Community 19: ['35', '37', '49']
Community 20: ['36', '62', '65']
Community 21: ['40', '46', '52']
Community 22: ['42', '48', '53']
Community 23: ['55', '58', '60']
Community 24: ['56', '59', '61']
Community 25: ['57', '72', '75']
Community 26: ['63', '64', '113']
Community 27: ['66', '67', '68']
Community 28: ['69', '91', '121']
Community 29: ['70', '71', '90']
Community 30: ['73', '74', '76']
Community 31: ['77', '79', '80']
Community 32: ['78', '81', '84']
Community 33: ['83', '86', '88']
Community 34: ['92', '94', '98']
Community 35: ['93', '104', '108']
Community 36: ['95', '99', '100']
Community 37: ['101', '102', '103']
Community 38: ['110', '111']
Community 39: ['112', '114', '116']
Community 40: ['115', '117', '122']
Community 41: ['118', '123', '127']
Community 42: ['119', '120', '124']
Community 43: ['125', '126', '128']
Community 44: ['129', '130', '131']
