Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
6350,49,105,55,0.5238095238095238
6351,45,108,62,0.5740740740740741
6352,63,106,42,0.39622641509433965
6353,48,107,58,0.5420560747663551
6354,70,107,36,0.3364485981308411
6355,87,108,20,0.18518518518518517
6356,47,107,59,0.5514018691588785
6357,75,108,32,0.2962962962962963
6358,43,107,63,0.5887850467289719
6359,83,108,24,0.2222222222222222
6360,48,108,59,0.5462962962962963
6361,39,108,68,0.6296296296296297
6362,46,106,59,0.5566037735849056
6363,89,106,16,0.1509433962264151
6364,38,106,67,0.6320754716981132
6365,46,107,60,0.5607476635514018
6350,49,105,55,0.5238095238095238
6351,45,108,62,0.5740740740740741
6352,63,106,42,0.39622641509433965
6353,48,107,58,0.5420560747663551
6354,70,107,36,0.3364485981308411
6355,87,108,20,0.18518518518518517
6356,47,107,59,0.5514018691588785
6357,75,108,32,0.2962962962962963
6358,43,107,63,0.5887850467289719
6359,83,108,24,0.2222222222222222
6360,48,108,59,0.5462962962962963
6361,39,108,68,0.6296296296296297
6362,46,106,59,0.5566037735849056
6363,89,106,16,0.1509433962264151
6364,38,106,67,0.6320754716981132
6365,46,107,60,0.5607476635514018
6366,41,108,66,0.6111111111111112
6367,47,107,59,0.5514018691588785
6368,42,108,65,0.6018518518518519
6369,86,108,21,0.19444444444444445
6370,42,107,64,0.5981308411214953
6371,36,108,71,0.6574074074074074
6372,72,107,34,0.3177570093457944
6373,38,106,67,0.6320754716981132
6374,38,106,67,0.6320754716981132
6375,46,106,59,0.5566037735849056
6376,50,108,57,0.5277777777777778
6377,36,108,71,0.6574074074074074
6378,45,107,61,0.5700934579439252
6379,44,107,62,0.5794392523364486
6380,38,108,69,0.6388888888888888
6381,74,106,31,0.29245283018867924
6382,90,107,16,0.14953271028037382
6383,45,108,62,0.5740740740740741
6384,47,108,60,0.5555555555555556
6385,54,107,52,0.48598130841121495
6386,45,108,62,0.5740740740740741
6387,48,109,60,0.5504587155963303
6388,44,106,61,0.5754716981132075
6389,49,106,56,0.5283018867924528
6390,86,107,20,0.18691588785046728
6391,45,107,61,0.5700934579439252
6392,42,106,63,0.5943396226415094
6393,85,107,21,0.19626168224299065
6394,46,108,61,0.5648148148148148
6395,76,107,30,0.2803738317757009
6396,77,108,30,0.2777777777777778
6397,81,108,26,0.24074074074074073
6398,42,107,64,0.5981308411214953
6399,91,109,17,0.1559633027522936
6400,43,108,64,0.5925925925925926
6401,49,106,56,0.5283018867924528
6402,43,106,62,0.5849056603773585
6403,74,108,33,0.3055555555555556
6404,43,107,63,0.5887850467289719
6405,49,107,57,0.5327102803738317
6406,52,107,54,0.5046728971962616
6407,69,109,39,0.3577981651376147
6408,45,107,61,0.5700934579439252
6409,48,107,58,0.5420560747663551
6410,40,107,66,0.616822429906542
6411,40,107,66,0.616822429906542
6412,44,107,62,0.5794392523364486
6413,61,107,45,0.4205607476635514
6414,62,107,44,0.411214953271028
6415,49,106,56,0.5283018867924528
6416,42,107,64,0.5981308411214953
6417,81,106,24,0.22641509433962265
6418,46,106,59,0.5566037735849056
6419,52,108,55,0.5092592592592593
6420,81,107,25,0.2336448598130841
6421,45,108,62,0.5740740740740741
6422,43,107,63,0.5887850467289719
6423,43,107,63,0.5887850467289719
6424,45,107,61,0.5700934579439252
6425,44,108,63,0.5833333333333334
6426,82,108,25,0.23148148148148148
6427,90,107,16,0.14953271028037382
6428,38,108,69,0.6388888888888888
6429,37,107,69,0.6448598130841121
6430,51,106,54,0.5094339622641509
6431,39,106,66,0.6226415094339622
6432,84,105,20,0.19047619047619047
6433,90,109,18,0.1651376146788991
6434,71,108,36,0.3333333333333333
6435,83,108,24,0.2222222222222222
6436,64,108,43,0.39814814814814814
6437,79,106,26,0.24528301886792453
6438,83,109,25,0.22935779816513763
6439,71,108,36,0.3333333333333333
6440,42,108,65,0.6018518518518519
6441,45,108,62,0.5740740740740741
6442,37,107,69,0.6448598130841121
6443,41,107,65,0.6074766355140186
6444,46,108,61,0.5648148148148148
6445,35,106,70,0.660377358490566
6446,41,108,66,0.6111111111111112
6447,67,107,39,0.3644859813084112
6448,51,108,56,0.5185185185185185
6449,40,107,66,0.616822429906542
6450,42,107,64,0.5981308411214953
6451,45,108,62,0.5740740740740741
6452,43,108,64,0.5925925925925926
6453,45,108,62,0.5740740740740741
6454,44,107,62,0.5794392523364486
6455,86,108,21,0.19444444444444445
6456,46,107,60,0.5607476635514018
6457,40,107,66,0.616822429906542
6458,36,108,71,0.6574074074074074
6459,46,107,60,0.5607476635514018
6460,47,107,59,0.5514018691588785
6461,39,107,67,0.6261682242990654
