Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
0,67,85,17,0.2
100,55,100,44,0.44
200,90,111,20,0.18018018018018017
300,50,122,71,0.5819672131147541
400,53,133,79,0.5939849624060151
500,73,144,70,0.4861111111111111
600,61,155,93,0.6
0,67,85,17,0.2
5,68,89,20,0.2247191011235955
10,39,89,49,0.550561797752809
15,43,90,46,0.5111111111111111
20,72,91,18,0.1978021978021978
25,72,90,17,0.18888888888888888
30,42,92,49,0.532608695652174
35,34,92,57,0.6195652173913043
40,42,93,50,0.5376344086021505
45,39,94,54,0.574468085106383
50,48,94,45,0.4787234042553192
55,39,95,55,0.5789473684210527
60,71,94,22,0.23404255319148937
65,78,96,17,0.17708333333333334
70,41,96,54,0.5625
75,51,97,45,0.4639175257731959
80,48,97,48,0.4948453608247423
85,51,98,46,0.46938775510204084
90,51,99,47,0.47474747474747475
95,75,98,22,0.22448979591836735
100,55,100,44,0.44
105,70,99,28,0.2828282828282828
110,63,101,37,0.36633663366336633
115,53,101,47,0.46534653465346537
120,54,102,47,0.46078431372549017
125,64,102,37,0.3627450980392157
130,39,103,63,0.6116504854368932
135,39,104,64,0.6153846153846154
140,42,104,61,0.5865384615384616
145,76,105,28,0.26666666666666666
150,39,105,65,0.6190476190476191
155,66,106,39,0.36792452830188677
160,77,106,28,0.2641509433962264
165,44,107,62,0.5794392523364486
170,43,107,63,0.5887850467289719
175,43,108,64,0.5925925925925926
180,69,109,39,0.3577981651376147
185,89,109,19,0.1743119266055046
190,38,110,71,0.6454545454545455
195,46,110,63,0.5727272727272728
200,90,111,20,0.18018018018018017
205,55,111,55,0.4954954954954955
210,39,112,72,0.6428571428571429
215,47,112,64,0.5714285714285714
220,82,113,30,0.26548672566371684
225,71,114,42,0.3684210526315789
230,41,114,72,0.631578947368421
235,83,115,31,0.26956521739130435
240,72,115,42,0.3652173913043478
245,48,116,67,0.5775862068965517
250,58,116,57,0.49137931034482757
255,49,117,67,0.5726495726495726
260,85,117,31,0.26495726495726496
265,77,118,40,0.3389830508474576
270,76,119,42,0.35294117647058826
275,99,119,19,0.15966386554621848
280,77,120,42,0.35
285,88,120,31,0.25833333333333336
290,51,121,69,0.5702479338842975
295,41,121,79,0.6528925619834711
300,50,122,71,0.5819672131147541
305,50,122,71,0.5819672131147541
310,51,123,71,0.5772357723577236
315,91,124,32,0.25806451612903225
320,56,124,67,0.5403225806451613
325,57,125,67,0.536
330,43,125,81,0.648
335,83,126,42,0.3333333333333333
340,87,126,38,0.30158730158730157
345,94,127,32,0.25196850393700787
350,88,127,38,0.2992125984251969
355,41,128,86,0.671875
360,90,129,38,0.29457364341085274
365,86,129,42,0.32558139534883723
370,52,130,77,0.5923076923076923
375,65,130,64,0.49230769230769234
380,51,131,79,0.6030534351145038
385,49,131,81,0.6183206106870229
390,54,132,77,0.5833333333333334
395,68,132,63,0.4772727272727273
400,53,133,79,0.5939849624060151
405,68,134,65,0.48507462686567165
410,56,134,77,0.5746268656716418
415,55,135,79,0.5851851851851851
420,89,135,45,0.3333333333333333
425,56,136,79,0.5808823529411765
430,40,136,95,0.6985294117647058
435,43,137,93,0.6788321167883211
440,89,137,47,0.34306569343065696
445,70,138,67,0.4855072463768116
450,58,139,80,0.5755395683453237
455,90,139,48,0.34532374100719426
460,58,140,81,0.5785714285714286
465,109,140,30,0.21428571428571427
470,92,141,48,0.3404255319148936
475,58,141,82,0.5815602836879432
480,-1,142,142,1.0
