Gate,InputSignals,OutputSignals
1030,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1056', 'Color': 'color2'}, {'NextGateID': '1062', 'Color': 'gray'}]"
1062,"[{'LastGateID': '1030', 'Color': 'gray'}, {'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1063', 'Color': 'gray'}]"
1063,"[{'LastGateID': '1062', 'Color': 'gray'}]","[{'NextGateID': '1064', 'Color': 'color0'}, {'NextGateID': '1108', 'Color': 'color0'}]"
1031,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1045', 'Color': 'color0'}, {'NextGateID': '1056', 'Color': 'color0'}]"
1032,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1051', 'Color': 'color3'}, {'NextGateID': '1055', 'Color': 'color3'}, {'NextGateID': '1145', 'Color': 'gray'}]"
1145,"[{'LastGateID': '1032', 'Color': 'gray'}, {'LastGateID': '1143', 'Color': 'color2'}]","[{'NextGateID': '1146', 'Color': 'color1'}, {'NextGateID': '1156', 'Color': 'color1'}, {'NextGateID': '1160', 'Color': 'color1'}]"
1033,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1100', 'Color': 'color1'}, {'NextGateID': '1103', 'Color': 'color1'}, {'NextGateID': '1152', 'Color': 'color1'}]"
1034,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1048', 'Color': 'color0'}, {'NextGateID': '1061', 'Color': 'gray'}]"
1061,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': '1034', 'Color': 'gray'}]","[{'NextGateID': '1064', 'Color': 'color2'}, {'NextGateID': '1069', 'Color': 'color1'}]"
1035,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1096', 'Color': 'color0'}, {'NextGateID': '1107', 'Color': 'color0'}]"
1036,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1091', 'Color': 'gray'}]"
1091,"[{'LastGateID': '1036', 'Color': 'gray'}, {'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1092', 'Color': 'gray'}]"
1092,"[{'LastGateID': '1091', 'Color': 'gray'}]","[{'NextGateID': '1142', 'Color': 'color2'}, {'NextGateID': '1147', 'Color': 'color2'}]"
1037,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1048', 'Color': 'gray'}, {'NextGateID': '1055', 'Color': 'color1'}]"
1048,"[{'LastGateID': '1034', 'Color': 'color0'}, {'LastGateID': '1037', 'Color': 'gray'}]","[{'NextGateID': '1049', 'Color': 'color2'}]"
1038,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1096', 'Color': 'color1'}, {'NextGateID': '1103', 'Color': 'color0'}]"
1039,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1077', 'Color': 'gray'}]"
1077,"[{'LastGateID': '1039', 'Color': 'gray'}, {'LastGateID': '1075', 'Color': 'color1'}]","[{'NextGateID': '1079', 'Color': 'color3'}, {'NextGateID': '1093', 'Color': 'color3'}]"
1040,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1123', 'Color': 'gray'}]"
1122,"[{'LastGateID': '1121', 'Color': 'color0'}]","[{'NextGateID': '1123', 'Color': 'gray'}]"
1123,"[{'LastGateID': '1040', 'Color': 'gray'}, {'LastGateID': '1122', 'Color': 'gray'}]","[{'NextGateID': '1125', 'Color': 'color2'}]"
1041,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1081', 'Color': 'color1'}]"
1042,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1120', 'Color': 'color0'}]"
1043,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1085', 'Color': 'color1'}]"
1044,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1119', 'Color': 'color0'}]"
1045,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': '1031', 'Color': 'color0'}]","[{'NextGateID': '1046', 'Color': 'color2'}]"
1046,"[{'LastGateID': '1045', 'Color': 'color2'}]","[{'NextGateID': '1054', 'Color': 'color1'}, {'NextGateID': '1102', 'Color': 'color0'}]"
1047,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '1049', 'Color': 'color1'}, {'NextGateID': '1066', 'Color': 'gray'}]"
1066,"[{'LastGateID': '1047', 'Color': 'gray'}, {'LastGateID': '1065', 'Color': 'color0'}]","[{'NextGateID': '1075', 'Color': 'color2'}]"
1049,"[{'LastGateID': '1047', 'Color': 'color1'}, {'LastGateID': '1048', 'Color': 'color2'}]","[{'NextGateID': '1050', 'Color': 'color0'}, {'NextGateID': '1051', 'Color': 'color0'}]"
1050,"[{'LastGateID': '1049', 'Color': 'color0'}]","[{'NextGateID': '1052', 'Color': 'gray'}]"
1052,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': '1050', 'Color': 'gray'}]","[{'NextGateID': '1053', 'Color': 'color1'}, {'NextGateID': '1060', 'Color': 'color1'}]"
1051,"[{'LastGateID': '1032', 'Color': 'color3'}, {'LastGateID': '1049', 'Color': 'color0'}]","[{'NextGateID': '1053', 'Color': 'gray'}]"
1053,"[{'LastGateID': '1051', 'Color': 'gray'}, {'LastGateID': '1052', 'Color': 'color1'}]","[{'NextGateID': '1054', 'Color': 'color2'}]"
1054,"[{'LastGateID': '1046', 'Color': 'color1'}, {'LastGateID': '1053', 'Color': 'color2'}]","[{'NextGateID': '1073', 'Color': 'gray'}]"
1073,"[{'LastGateID': '1054', 'Color': 'gray'}, {'LastGateID': '1072', 'Color': 'color3'}]","[{'NextGateID': '1074', 'Color': 'color0'}]"
1055,"[{'LastGateID': '1032', 'Color': 'color3'}, {'LastGateID': '1037', 'Color': 'color1'}]","[{'NextGateID': '1058', 'Color': 'color0'}, {'NextGateID': '1069', 'Color': 'color0'}]"
1056,"[{'LastGateID': '1030', 'Color': 'color2'}, {'LastGateID': '1031', 'Color': 'color0'}]","[{'NextGateID': '1057', 'Color': 'gray'}]"
1057,"[{'LastGateID': '1056', 'Color': 'gray'}]","[{'NextGateID': '1058', 'Color': 'color1'}, {'NextGateID': '1104', 'Color': 'color1'}]"
1058,"[{'LastGateID': '1055', 'Color': 'color0'}, {'LastGateID': '1057', 'Color': 'color1'}]","[{'NextGateID': '1059', 'Color': 'color2'}]"
1059,"[{'LastGateID': '1058', 'Color': 'color2'}]","[{'NextGateID': '1060', 'Color': 'color0'}]"
1060,"[{'LastGateID': '1052', 'Color': 'color1'}, {'LastGateID': '1059', 'Color': 'color0'}]","[{'NextGateID': '1071', 'Color': 'color2'}]"
1064,"[{'LastGateID': '1061', 'Color': 'color2'}, {'LastGateID': '1063', 'Color': 'color0'}]","[{'NextGateID': '1065', 'Color': 'color1'}]"
1065,"[{'LastGateID': '1064', 'Color': 'color1'}]","[{'NextGateID': '1066', 'Color': 'color0'}]"
