Group,InputSignals,OutputSignals
1,"[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1030'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1031'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1045'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1062'), 'Color': 'black'}]","[{'NextCellID': '13', 'Edge': ('1046', '1054'), 'Color': 'color2'}, {'NextCellID': '38', 'Edge': ('1046', '1102'), 'Color': 'color2'}, {'NextCellID': '15', 'Edge': ('1057', '1058'), 'Color': 'color1'}, {'NextCellID': '40', 'Edge': ('1057', '1104'), 'Color': 'color1'}, {'NextCellID': '17', 'Edge': ('1063', '1064'), 'Color': 'color0'}, {'NextCellID': '44', 'Edge': ('1063', '1108'), 'Color': 'color0'}]"
2,"[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1032'), 'Color': 'black'}, {'LastCellID': '12', 'Edge': ('1049', '1050'), 'Color': 'color0'}, {'LastCellID': '12', 'Edge': ('1049', '1051'), 'Color': 'color0'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1052'), 'Color': 'black'}]","[{'NextCellID': '14', 'Edge': ('1032', '1055'), 'Color': 'color2'}, {'NextCellID': '58', 'Edge': ('1032', '1145'), 'Color': 'color2'}, {'NextCellID': '16', 'Edge': ('1052', '1060'), 'Color': 'color3'}, {'NextCellID': '13', 'Edge': ('1053', '1054'), 'Color': 'color1'}]"
3,"[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1033'), 'Color': 'black'}, {'LastCellID': '62', 'Edge': ('1149', '1150'), 'Color': 'color0'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1151'), 'Color': 'black'}, {'LastCellID': '62', 'Edge': ('1149', '1152'), 'Color': 'color0'}]","[{'NextCellID': '37', 'Edge': ('1033', '1100'), 'Color': 'color3'}, {'NextCellID': '39', 'Edge': ('1033', '1103'), 'Color': 'color2'}, {'NextCellID': '59', 'Edge': ('1153', '1154'), 'Color': 'color1'}, {'NextCellID': '59', 'Edge': ('1153', '1155'), 'Color': 'color1'}]"
4,"[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1034'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1037'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1061'), 'Color': 'black'}]","[{'NextCellID': '14', 'Edge': ('1037', '1055'), 'Color': 'color0'}, {'NextCellID': '12', 'Edge': ('1048', '1049'), 'Color': 'color2'}, {'NextCellID': '17', 'Edge': ('1061', '1064'), 'Color': 'color1'}, {'NextCellID': '22', 'Edge': ('1061', '1069'), 'Color': 'color1'}]"
5,"[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1035'), 'Color': 'black'}]","[{'NextCellID': '35', 'Edge': ('1035', '1096'), 'Color': 'color0'}, {'NextCellID': '43', 'Edge': ('1035', '1107'), 'Color': 'color0'}]"
6,"[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1036'), 'Color': 'black'}]","[{'NextCellID': '30', 'Edge': ('1036', '1091'), 'Color': 'color1'}]"
7,"[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1038'), 'Color': 'black'}]","[{'NextCellID': '35', 'Edge': ('1038', '1096'), 'Color': 'color1'}, {'NextCellID': '39', 'Edge': ('1038', '1103'), 'Color': 'color0'}]"
8,"[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1039'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1041'), 'Color': 'black'}, {'LastCellID': '26', 'Edge': ('1075', '1076'), 'Color': 'color1'}, {'LastCellID': '26', 'Edge': ('1075', '1077'), 'Color': 'color1'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1078'), 'Color': 'black'}]","[{'NextCellID': '32', 'Edge': ('1077', '1093'), 'Color': 'color2'}, {'NextCellID': '27', 'Edge': ('1079', '1082'), 'Color': 'color3'}, {'NextCellID': '28', 'Edge': ('1081', '1083'), 'Color': 'color0'}, {'NextCellID': '32', 'Edge': ('1081', '1093'), 'Color': 'color0'}]"
9,"[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1040'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1042'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1044'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1119'), 'Color': 'black'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1120'), 'Color': 'black'}]","[{'NextCellID': '49', 'Edge': ('1121', '1124'), 'Color': 'color0'}, {'NextCellID': '50', 'Edge': ('1123', '1125'), 'Color': 'color2'}]"
10,"[{'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1043'), 'Color': 'black'}, {'LastCellID': '28', 'Edge': ('1083', '1084'), 'Color': 'color1'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1087'), 'Color': 'black'}, {'LastCellID': '28', 'Edge': ('1083', '1087'), 'Color': 'color1'}, {'LastCellID': 'Input Signal', 'Edge': ('Input Signal', '1090'), 'Color': 'black'}]","[{'NextCellID': '29', 'Edge': ('1085', '1086'), 'Color': 'color3'}, {'NextCellID': '29', 'Edge': ('1085', '1140'), 'Color': 'color3'}, {'NextCellID': '60', 'Edge': ('1089', '1147'), 'Color': 'color0'}, {'NextCellID': '56', 'Edge': ('1090', '1143'), 'Color': 'color2'}]"
