Time Cost: 2795.559451818466s
Community 1: ['35215']
Community 2: ['35216']
Community 3: ['35217']
Community 4: ['35218']
Community 5: ['35219']
Community 6: ['35220']
Community 7: ['35223']
Community 8: ['35224']
Community 9: ['35225']
Community 10: ['36036']
Community 11: ['36573']
Community 12: ['36574']
Community 13: ['36575']
Community 14: ['36576']
Community 15: ['36577']
Community 16: ['36578']
Community 17: ['36580']
Community 18: ['36581']
Community 19: ['36582']
Community 20: ['36583']
Community 21: ['36584']
Community 22: ['36585']
Community 23: ['36586']
Community 24: ['36588']
Community 25: ['36589']
Community 26: ['36590']
Community 27: ['36591']
Community 28: ['36592']
Community 29: ['36593']
Community 30: ['36594']
Community 31: ['36595']
Community 32: ['36596']
Community 33: ['36597']
Community 34: ['36598']
Community 35: ['36599']
Community 36: ['36600']
Community 37: ['36602']
Community 38: ['36603']
Community 39: ['36605']
Community 40: ['36606']
Community 41: ['36607']
Community 42: ['36608']
Community 43: ['36609']
Community 44: ['36610']
Community 45: ['36611']
Community 46: ['36613']
Community 47: ['36614']
Community 48: ['36616']
Community 49: ['36617']
Community 50: ['36618']
Community 51: ['36619']
Community 52: ['36620']
Community 53: ['36621']
Community 54: ['36622']
Community 55: ['36623']
Community 56: ['36624']
Community 57: ['36626']
Community 58: ['36627']
Community 59: ['36629']
Community 60: ['36630']
Community 61: ['36631']
Community 62: ['36632']
Community 63: ['36633']
Community 64: ['36634']
Community 65: ['36635']
Community 66: ['36636']
Community 67: ['36637']
Community 68: ['36639']
Community 69: ['36640']
Community 70: ['36642']
Community 71: ['36643']
Community 72: ['36644']
Community 73: ['36645']
Community 74: ['36646']
Community 75: ['36647']
Community 76: ['36648']
Community 77: ['36649']
Community 78: ['36650']
Community 79: ['36652']
Community 80: ['36653']
Community 81: ['36655']
Community 82: ['36656']
Community 83: ['36657']
Community 84: ['36658']
Community 85: ['36659']
Community 86: ['36660']
Community 87: ['36661']
Community 88: ['36662']
Community 89: ['36663']
Community 90: ['36665']
Community 91: ['36666']
Community 92: ['36668']
Community 93: ['36669']
Community 94: ['36670']
Community 95: ['36671']
Community 96: ['36672']
Community 97: ['36673']
Community 98: ['36674']
Community 99: ['36675']
Community 100: ['36676']
Community 101: ['36678']
Community 102: ['36679']
Community 103: ['36681']
Community 104: ['36682']
Community 105: ['36683']
Community 106: ['36684']
Community 107: ['36685']
Community 108: ['36686']
Community 109: ['36687']
Community 110: ['36688']
Community 111: ['36689']
Community 112: ['36691']
Community 113: ['36692']
Community 114: ['36694']
Community 115: ['36695']
Community 116: ['36696']
Community 117: ['36697']
Community 118: ['36698']
