Time Cost: 0.02036905288696289s
Community 1: ['1085']
Community 2: ['1086']
Community 3: ['1087']
Community 4: ['1088']
Community 5: ['1089']
Community 6: ['1090']
Community 7: ['1091']
Community 8: ['1092']
Community 9: ['1093']
Community 10: ['1094']
Community 11: ['1095']
Community 12: ['1096']
Community 13: ['1097']
Community 14: ['1098']
Community 15: ['1099']
Community 16: ['1100']
Community 17: ['1101']
Community 18: ['1102']
Community 19: ['1103']
Community 20: ['1104']
Community 21: ['1105']
Community 22: ['1106']
Community 23: ['1107']
Community 24: ['1108']
Community 25: ['1109']
Community 26: ['1110']
Community 27: ['1111']
Community 28: ['1112']
Community 29: ['1113']
Community 30: ['1114']
Community 31: ['1115']
Community 32: ['1116']
Community 33: ['1117']
Community 34: ['1118']
Community 35: ['1119']
Community 36: ['1120']
Community 37: ['1121']
Community 38: ['1122']
Community 39: ['1123']
Community 40: ['1124']
Community 41: ['1125']
Community 42: ['1126']
Community 43: ['1127']
Community 44: ['1128']
Community 45: ['1129']
Community 46: ['1130']
Community 47: ['1131']
Community 48: ['1132']
Community 49: ['1133']
Community 50: ['1134']
Community 51: ['1135']
Community 52: ['1136']
Community 53: ['1137']
Community 54: ['1138']
Community 55: ['1139']
Community 56: ['1140']
Community 57: ['1141']
Community 58: ['1142']
Community 59: ['1143']
Community 60: ['1144']
Community 61: ['1145']
Community 62: ['1146']
Community 63: ['1147']
Community 64: ['1148']
Community 65: ['1149']
Community 66: ['1150']
Community 67: ['1151']
Community 68: ['1152']
Community 69: ['1153']
Community 70: ['1154']
Community 71: ['1155']
Community 72: ['1156']
Community 73: ['1157']
Community 74: ['1158']
Community 75: ['1159']
Community 76: ['1160']
Community 77: ['1161']
Community 78: ['1162']
Community 79: ['1163']
Community 80: ['1164']
Community 81: ['1165']
Community 82: ['1166']
Community 83: ['1167']
Community 84: ['1168']
Community 85: ['1169']
Community 86: ['1170']
Community 87: ['1171']
Community 88: ['1172']
Community 89: ['1173']
Community 90: ['1174']
Community 91: ['1175']
Community 92: ['1176']
Community 93: ['1177']
Community 94: ['1178']
Community 95: ['1179']
Community 96: ['1180']
Community 97: ['1181']
Community 98: ['1182']
Community 99: ['1183']
Community 100: ['1184']
Community 101: ['1185']
Community 102: ['1186']
Community 103: ['1187']
Community 104: ['1188']
Community 105: ['1189']
Community 106: ['1190']
Community 107: ['1191']
Community 108: ['1192']
Community 109: ['1193']
Community 110: ['1194']
Community 111: ['1195']
Community 112: ['1196']
Community 113: ['1197']
Community 114: ['1198']
Community 115: ['1199']
Community 116: ['1200']
Community 117: ['1201']
Community 118: ['1202']
Community 119: ['1203']
Community 120: ['1204']
Community 121: ['1205']
Community 122: ['1206']
Community 123: ['1207']
Community 124: ['1208']
Community 125: ['1209']
Community 126: ['1210']
Community 127: ['1211']
Community 128: ['1212']
Community 129: ['1213']
Community 130: ['1214']
Community 131: ['1215']
Community 132: ['1216']
Community 133: ['1217']
Community 134: ['1218']
Community 135: ['1219']
Community 136: ['1220']
Community 137: ['1221']
Community 138: ['1222']
Community 139: ['1223']
Community 140: ['1224']
Community 141: ['1225']
Community 142: ['1226']
Community 143: ['1227']
Community 144: ['1228']
Community 145: ['1229']
Community 146: ['1230']
Community 147: ['1231']
Community 148: ['1232']
Community 149: ['1233']
Community 150: ['1234']
Community 151: ['ALU_Out[0]']
Community 152: ['ALU_Out[1]']
Community 153: ['ALU_Sel[0]']
Community 154: ['ALU_Sel[1]']
Community 155: ['ALU_Sel[2]']
Community 156: ['ALU_Sel[3]']
Community 157: ['A[0]']
Community 158: ['A[1]']
Community 159: ['B[0]']
Community 160: ['B[1]']
Community 161: ['CarryOut']
