Time Cost: 7.980545997619629s
Community 1: ['211', '212', '275', '276', '277']
Community 2: ['213', '214', '278', '279', '280', '281', '282', '283']
Community 3: ['215', '216', '284', '285', '286', '287', '288', '289']
Community 4: ['217', '218', '290', '291', '292', '293', '294', '295']
Community 5: ['219', '220', '296', '297', '298', '299', '300', '301']
Community 6: ['221', '222', '302', '303', '304', '305', '306', '307']
Community 7: ['223', '224', '308', '309', '310', '311', '312', '313']
Community 8: ['225', '226', '314', '315', '316', '317', '318', '319']
Community 9: ['227', '228', '320', '321', '322', '323', '324', '325']
Community 10: ['229', '230', '326', '327', '328', '329', '330', '331']
Community 11: ['231', '232', '332', '333', '334', '335', '336', '337']
Community 12: ['233', '234', '338', '339', '340', '341', '342', '343']
Community 13: ['235', '236', '344', '345', '346', '347', '348', '349']
Community 14: ['237', '238', '350', '351', '352', '353', '354', '355']
Community 15: ['239', '240', '356', '357', '358', '359', '360', '361']
Community 16: ['241', '242', '362', '363', '364', '365', '366', '367']
Community 17: ['243', '244', '368', '369', '370', '371', '372', '373']
Community 18: ['245', '246', '374', '375', '376', '377', '378', '379']
Community 19: ['247', '248', '380', '381', '382', '383', '384', '385']
Community 20: ['249', '250', '386', '387', '388', '389', '390', '391']
Community 21: ['251', '252', '392', '393', '394', '395', '396', '397']
Community 22: ['253', '254', '398', '399', '400', '401', '402', '403']
Community 23: ['255', '256', '404', '405', '406', '407', '408', '409']
Community 24: ['257', '258', '410', '411', '412', '413', '414', '415']
Community 25: ['259', '260', '416', '417', '418', '419', '420', '421']
Community 26: ['261', '262', '422', '423', '424', '425', '426', '427']
Community 27: ['263', '264', '428', '429', '430', '431', '432', '433']
Community 28: ['265', '266', '434', '435', '436', '437', '438', '439']
Community 29: ['267', '268', '440', '441', '442', '443', '444', '445']
Community 30: ['269', '270', '446', '447', '448', '449', '450', '451']
Community 31: ['271', '272', '452', '453', '454', '455', '456', '457']
Community 32: ['273', '274', '458', '459', '460', '461', '462', '463']
