Total Number of Comms,Solution
2,"defaultdict(<class 'list'>, {'82': ['82', '83', '84', '85', 'D0[0]', 'D1[0]', 'S', 'Y[0]'], '86': ['86', '87', '88', 'D0[1]', 'D1[1]', 'Y[1]']})"
2,"defaultdict(<class 'list'>, {'82': ['82', '86', '87', '88', 'D0[1]', 'D1[1]', 'S', 'Y[1]'], '83': ['83', '84', '85', 'D0[0]', 'D1[0]', 'Y[0]']})"
3,"defaultdict(<class 'list'>, {'82': ['82', '84', '86', '87', 'D0[0]', 'D0[1]', 'D1[1]', 'S'], '83': ['83', '85', 'D1[0]', 'Y[0]'], '88': ['88', 'Y[1]']})"
4,"defaultdict(<class 'list'>, {'82': ['82', '84', '86', '87', 'D0[0]', 'D0[1]', 'D1[1]', 'S'], '83': ['83', '85', 'D1[0]', 'Y[0]'], '88': ['88'], 'Y[1]': ['Y[1]']})"
5,"defaultdict(<class 'list'>, {'82': ['82'], '83': ['83', '85', '86', '88', 'D1[0]', 'D1[1]', 'S', 'Y[1]'], '84': ['84', 'D0[0]'], '87': ['87', 'D0[1]'], 'Y[0]': ['Y[0]']})"
5,"defaultdict(<class 'list'>, {'82': ['82'], '83': ['83', '85', '86', 'D1[0]', 'D1[1]', 'S', 'Y[0]', '88'], '84': ['84', 'D0[0]'], '87': ['87', 'D0[1]'], 'Y[1]': ['Y[1]']})"
6,"defaultdict(<class 'list'>, {'82': ['82'], '83': ['83', '85', '86', 'D1[0]', 'D1[1]', 'S', 'Y[0]', '88'], '84': ['84', 'D0[0]'], '87': ['87'], 'D0[1]': ['D0[1]'], 'Y[1]': ['Y[1]']})"
6,"defaultdict(<class 'list'>, {'82': ['82'], '83': ['83', '85', '86', '88', 'D1[0]', 'D1[1]', 'S', 'Y[1]'], '84': ['84'], '87': ['87', 'D0[1]'], 'D0[0]': ['D0[0]'], 'Y[0]': ['Y[0]']})"
6,"defaultdict(<class 'list'>, {'82': ['82'], '83': ['83', '85', '86', 'D1[0]', 'D1[1]', 'S', 'Y[0]', '88'], '84': ['84'], '87': ['87', 'D0[1]'], 'D0[0]': ['D0[0]'], 'Y[1]': ['Y[1]']})"
7,"defaultdict(<class 'list'>, {'82': ['82', '83', '84', '85', 'D0[0]', 'D1[0]', 'S', 'Y[0]'], '86': ['86'], '87': ['87'], '88': ['88'], 'D0[1]': ['D0[1]'], 'D1[1]': ['D1[1]'], 'Y[1]': ['Y[1]']})"
7,"defaultdict(<class 'list'>, {'82': ['82'], '83': ['83', '85', '86', '88', 'D1[0]', 'D1[1]', 'S', 'Y[1]'], '84': ['84'], '87': ['87'], 'D0[0]': ['D0[0]'], 'D0[1]': ['D0[1]'], 'Y[0]': ['Y[0]']})"
7,"defaultdict(<class 'list'>, {'82': ['82'], '83': ['83', '85', '86', 'D1[0]', 'D1[1]', 'S', 'Y[0]', '88'], '84': ['84'], '87': ['87'], 'D0[0]': ['D0[0]'], 'D0[1]': ['D0[1]'], 'Y[1]': ['Y[1]']})"
7,"defaultdict(<class 'list'>, {'82': ['82', '84', '86', '87', 'D0[0]', 'D0[1]', 'D1[1]', 'S'], '83': ['83'], '85': ['85'], '88': ['88'], 'D1[0]': ['D1[0]'], 'Y[0]': ['Y[0]'], 'Y[1]': ['Y[1]']})"
7,"defaultdict(<class 'list'>, {'82': ['82', '86', '87', '88', 'D0[1]', 'D1[1]', 'S', 'Y[1]'], '83': ['83'], '84': ['84'], '85': ['85'], 'D0[0]': ['D0[0]'], 'D1[0]': ['D1[0]'], 'Y[0]': ['Y[0]']})"
8,"defaultdict(<class 'list'>, {'82': ['82'], '83': ['83', '85', '86', 'D1[0]', 'D1[1]', 'S', 'Y[0]'], '84': ['84'], '87': ['87'], '88': ['88'], 'D0[0]': ['D0[0]'], 'D0[1]': ['D0[1]'], 'Y[1]': ['Y[1]']})"
14,"defaultdict(<class 'list'>, {'82': ['82'], '83': ['83'], '84': ['84'], '85': ['85'], '86': ['86'], '87': ['87'], '88': ['88'], 'D0[0]': ['D0[0]'], 'D0[1]': ['D0[1]'], 'D1[0]': ['D1[0]'], 'D1[1]': ['D1[1]'], 'S': ['S'], 'Y[0]': ['Y[0]'], 'Y[1]': ['Y[1]']})"
