Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'85': ['85', '89', '90', '91', '93', '95', '96', '97'], '86': ['86', '87', '88'], '92': ['92', '94']})"
3,"defaultdict(<class 'list'>, {'85': ['85', '86', '87', '88', '92', '93', '94', '96'], '89': ['89', '90', '91'], '95': ['95', '97']})"
3,"defaultdict(<class 'list'>, {'85': ['85', '89', '90', '91', '92', '93', '94', '96'], '86': ['86', '87', '88'], '95': ['95', '97']})"
4,"defaultdict(<class 'list'>, {'85': ['85', '86', '87', '88', '92', '93', '94', '96'], '89': ['89', '90', '91'], '95': ['95'], '97': ['97']})"
4,"defaultdict(<class 'list'>, {'85': ['85', '89', '90', '91', '92', '93', '94', '96'], '86': ['86', '87', '88'], '95': ['95'], '97': ['97']})"
5,"defaultdict(<class 'list'>, {'85': ['85', '86', '87', '88', '92', '93', '94', '96'], '89': ['89'], '90': ['90'], '91': ['91'], '95': ['95', '97']})"
5,"defaultdict(<class 'list'>, {'85': ['85', '89', '90', '91', '93', '95', '96', '97'], '86': ['86'], '87': ['87'], '88': ['88'], '92': ['92', '94']})"
6,"defaultdict(<class 'list'>, {'85': ['85', '89', '90', '91', '93', '95', '96', '97'], '86': ['86'], '87': ['87'], '88': ['88'], '92': ['92'], '94': ['94']})"
6,"defaultdict(<class 'list'>, {'85': ['85', '86', '87', '88', '92', '93', '94', '96'], '89': ['89'], '90': ['90'], '91': ['91'], '95': ['95'], '97': ['97']})"
6,"defaultdict(<class 'list'>, {'85': ['85', '89', '90', '91', '92', '93', '94', '96'], '86': ['86'], '87': ['87'], '88': ['88'], '95': ['95'], '97': ['97']})"
13,"defaultdict(<class 'list'>, {'85': ['85'], '86': ['86'], '87': ['87'], '88': ['88'], '89': ['89'], '90': ['90'], '91': ['91'], '92': ['92'], '93': ['93'], '94': ['94'], '95': ['95'], '96': ['96'], '97': ['97']})"
