Time Cost: 0.03353548049926758s
Community 1: ['117']
Community 2: ['118']
Community 3: ['119']
Community 4: ['120']
Community 5: ['121']
Community 6: ['122']
Community 7: ['123']
Community 8: ['124']
Community 9: ['125']
Community 10: ['126']
Community 11: ['127']
Community 12: ['128']
Community 13: ['129']
Community 14: ['130']
Community 15: ['131']
Community 16: ['132']
Community 17: ['133']
Community 18: ['134']
Community 19: ['135']
Community 20: ['136']
Community 21: ['137']
Community 22: ['138']
Community 23: ['139']
Community 24: ['140']
Community 25: ['141']
Community 26: ['142']
Community 27: ['143']
Community 28: ['144']
Community 29: ['145']
Community 30: ['146']
Community 31: ['147']
Community 32: ['148']
Community 33: ['149']
Community 34: ['150']
Community 35: ['151']
Community 36: ['152']
Community 37: ['153']
Community 38: ['154']
Community 39: ['155']
Community 40: ['156']
Community 41: ['157']
Community 42: ['158']
Community 43: ['159']
Community 44: ['160']
Community 45: ['161']
Community 46: ['162']
Community 47: ['163']
Community 48: ['164']
Community 49: ['165']
Community 50: ['166']
Community 51: ['167']
Community 52: ['168']
Community 53: ['169']
Community 54: ['170']
Community 55: ['171']
Community 56: ['172']
Community 57: ['173']
Community 58: ['174']
Community 59: ['175']
Community 60: ['176']
Community 61: ['177']
Community 62: ['178']
Community 63: ['179']
Community 64: ['180']
Community 65: ['181']
Community 66: ['182']
Community 67: ['183']
Community 68: ['184']
Community 69: ['185']
Community 70: ['186']
Community 71: ['187']
Community 72: ['188']
Community 73: ['189']
Community 74: ['190']
Community 75: ['191']
Community 76: ['192']
Community 77: ['193']
Community 78: ['194']
Community 79: ['195']
Community 80: ['196']
Community 81: ['197']
Community 82: ['198']
Community 83: ['199']
Community 84: ['200']
Community 85: ['201']
Community 86: ['202']
Community 87: ['203']
Community 88: ['204']
Community 89: ['205']
Community 90: ['206']
Community 91: ['207']
Community 92: ['208']
Community 93: ['209']
Community 94: ['210']
Community 95: ['211']
Community 96: ['212']
Community 97: ['213']
Community 98: ['214']
Community 99: ['215']
Community 100: ['216']
Community 101: ['217']
Community 102: ['218']
Community 103: ['219']
Community 104: ['220']
Community 105: ['221']
Community 106: ['222']
Community 107: ['223']
Community 108: ['224']
Community 109: ['225']
Community 110: ['226']
Community 111: ['227']
Community 112: ['228']
Community 113: ['229']
Community 114: ['230']
Community 115: ['231']
Community 116: ['232']
Community 117: ['233']
Community 118: ['234']
Community 119: ['235']
Community 120: ['236']
Community 121: ['237']
Community 122: ['238']
Community 123: ['239']
Community 124: ['240']
Community 125: ['241']
Community 126: ['242']
Community 127: ['243']
Community 128: ['244']
Community 129: ['245']
Community 130: ['246']
Community 131: ['247']
Community 132: ['248']
Community 133: ['249']
Community 134: ['250']
Community 135: ['251']
Community 136: ['252']
Community 137: ['253']
Community 138: ['254']
Community 139: ['255']
Community 140: ['256']
Community 141: ['257']
Community 142: ['258']
Community 143: ['259']
Community 144: ['260']
Community 145: ['261']
Community 146: ['262']
Community 147: ['263']
Community 148: ['264']
Community 149: ['265']
Community 150: ['266']
Community 151: ['267']
Community 152: ['268']
Community 153: ['269']
Community 154: ['270']
Community 155: ['271']
Community 156: ['272']
Community 157: ['273']
Community 158: ['274']
Community 159: ['275']
Community 160: ['276']
Community 161: ['277']
Community 162: ['278']
Community 163: ['279']
Community 164: ['280']
Community 165: ['281']
Community 166: ['282']
Community 167: ['283']
Community 168: ['284']
Community 169: ['285']
Community 170: ['286']
Community 171: ['287']
Community 172: ['288']
Community 173: ['289']
Community 174: ['290']
Community 175: ['291']
Community 176: ['292']
Community 177: ['293']
Community 178: ['294']
Community 179: ['295']
Community 180: ['296']
Community 181: ['297']
Community 182: ['298']
Community 183: ['299']
Community 184: ['300']
Community 185: ['301']
Community 186: ['302']
Community 187: ['303']
Community 188: ['304']
Community 189: ['305']
Community 190: ['306']
Community 191: ['307']
Community 192: ['308']
Community 193: ['309']
Community 194: ['310']
Community 195: ['311']
Community 196: ['312']
Community 197: ['313']
Community 198: ['314']
Community 199: ['315']
Community 200: ['316']
Community 201: ['317']
Community 202: ['318']
Community 203: ['319']
Community 204: ['320']
Community 205: ['321']
Community 206: ['322']
Community 207: ['323']
Community 208: ['324']
Community 209: ['325']
Community 210: ['326']
Community 211: ['327']
Community 212: ['328']
Community 213: ['329']
Community 214: ['out']
