Total Number of Comms,Solution
3,"defaultdict(<class 'list'>, {'100': ['100', '101', '86', '87', '96', '97', '98', '99'], '102': ['102', '103', '104', 'out'], '88': ['88', '89', '90', '91', '92', '93', '94', '95']})"
3,"defaultdict(<class 'list'>, {'100': ['100', '101', '86', '87', '96', '97', '98', '99'], '102': ['102', '88', '89', '90', '91', '92', '93', '94'], '103': ['103', '104', '95', 'out']})"
4,"defaultdict(<class 'list'>, {'100': ['100', '103', '104', '86', '87', '96', '97', 'out'], '101': ['101', '98', '99'], '102': ['102', '88', '89', '90', '91', '92', '93', '94'], '95': ['95']})"
5,"defaultdict(<class 'list'>, {'100': ['100', '101', '86', '87', '96', '97', '98', '99'], '102': ['102', '104', '89', '90', '91', '92', '94', 'out'], '103': ['103'], '88': ['88', '93'], '95': ['95']})"
5,"defaultdict(<class 'list'>, {'100': ['100'], '101': ['101', '102', '86', '87', '96', '97', '98', '99'], '103': ['103', '104', '88', '89', '91', '92', '93', '95'], '90': ['90', '94'], 'out': ['out']})"
5,"defaultdict(<class 'list'>, {'100': ['100', '101', '86', '87', '96', '97', '98', '99'], '102': ['102'], '103': ['103', '104', '88', '89', '91', '92', '93', '95'], '90': ['90', '94'], 'out': ['out']})"
6,"defaultdict(<class 'list'>, {'100': ['100', '101', '86', '87', '96', '97', '98', '99'], '102': ['102'], '103': ['103', '104', '88', '89', '91', '92', '93', '95'], '90': ['90'], '94': ['94'], 'out': ['out']})"
6,"defaultdict(<class 'list'>, {'100': ['100'], '101': ['101', '102', '86', '87', '96', '97', '98', '99'], '103': ['103', '104', '88', '89', '91', '92', '93', '95'], '90': ['90'], '94': ['94'], 'out': ['out']})"
6,"defaultdict(<class 'list'>, {'100': ['100', '101', '86', '87', '96', '97', '98', '99'], '102': ['102', '88', '89', '90', '91', '92', '93', '94'], '103': ['103'], '104': ['104'], '95': ['95'], 'out': ['out']})"
6,"defaultdict(<class 'list'>, {'100': ['100', '101', '86', '87', '96', '97', '98', '99'], '102': ['102'], '103': ['103'], '104': ['104'], '88': ['88', '89', '90', '91', '92', '93', '94', '95'], 'out': ['out']})"
6,"defaultdict(<class 'list'>, {'100': ['100', '103', '104', '86', '87', '96', '97', 'out'], '101': ['101'], '102': ['102', '88', '89', '90', '91', '92', '93', '94'], '95': ['95'], '98': ['98'], '99': ['99']})"
6,"defaultdict(<class 'list'>, {'100': ['100', '101', '86', '87', '96', '97', '98', '99'], '102': ['102', '104', '89', '90', '91', '92', '94', 'out'], '103': ['103'], '88': ['88'], '93': ['93'], '95': ['95']})"
13,"defaultdict(<class 'list'>, {'100': ['100'], '101': ['101'], '102': ['102', '104', '89', '90', '91', '92', '94', 'out'], '103': ['103'], '86': ['86'], '87': ['87'], '88': ['88'], '93': ['93'], '95': ['95'], '96': ['96'], '97': ['97'], '98': ['98'], '99': ['99']})"
13,"defaultdict(<class 'list'>, {'100': ['100'], '101': ['101'], '102': ['102'], '103': ['103', '104', '88', '89', '91', '92', '93', '95'], '86': ['86'], '87': ['87'], '90': ['90'], '94': ['94'], '96': ['96'], '97': ['97'], '98': ['98'], '99': ['99'], 'out': ['out']})"
13,"defaultdict(<class 'list'>, {'100': ['100'], '101': ['101'], '102': ['102', '88', '89', '90', '91', '92', '93', '94'], '103': ['103'], '104': ['104'], '86': ['86'], '87': ['87'], '95': ['95'], '96': ['96'], '97': ['97'], '98': ['98'], '99': ['99'], 'out': ['out']})"
13,"defaultdict(<class 'list'>, {'100': ['100', '101', '86', '87', '96', '97', '98', '99'], '102': ['102'], '103': ['103'], '104': ['104'], '88': ['88'], '89': ['89'], '90': ['90'], '91': ['91'], '92': ['92'], '93': ['93'], '94': ['94'], '95': ['95'], 'out': ['out']})"
13,"defaultdict(<class 'list'>, {'100': ['100'], '101': ['101'], '102': ['102'], '103': ['103'], '104': ['104'], '86': ['86'], '87': ['87'], '88': ['88', '89', '90', '91', '92', '93', '94', '95'], '96': ['96'], '97': ['97'], '98': ['98'], '99': ['99'], 'out': ['out']})"
20,"defaultdict(<class 'list'>, {'100': ['100'], '101': ['101'], '102': ['102'], '103': ['103'], '104': ['104'], '86': ['86'], '87': ['87'], '88': ['88'], '89': ['89'], '90': ['90'], '91': ['91'], '92': ['92'], '93': ['93'], '94': ['94'], '95': ['95'], '96': ['96'], '97': ['97'], '98': ['98'], '99': ['99'], 'out': ['out']})"
