Time Cost: 0.0508122444152832s
Community 1: ['1847']
Community 2: ['1848']
Community 3: ['1849']
Community 4: ['1850']
Community 5: ['1851']
Community 6: ['1852']
Community 7: ['1853']
Community 8: ['1854']
Community 9: ['1855']
Community 10: ['1856']
Community 11: ['1857']
Community 12: ['1858']
Community 13: ['1859']
Community 14: ['1860']
Community 15: ['1861']
Community 16: ['1862']
Community 17: ['1863']
Community 18: ['1864']
Community 19: ['1865']
Community 20: ['1866']
Community 21: ['1867']
Community 22: ['1868']
Community 23: ['1869']
Community 24: ['1870']
Community 25: ['1871']
Community 26: ['1872']
Community 27: ['1873']
Community 28: ['1874']
Community 29: ['1875']
Community 30: ['1876']
Community 31: ['1877']
Community 32: ['1878']
Community 33: ['1879']
Community 34: ['1880']
Community 35: ['1881']
Community 36: ['1882']
Community 37: ['1883']
Community 38: ['1884']
Community 39: ['1885']
Community 40: ['1886']
Community 41: ['1887']
Community 42: ['1888']
Community 43: ['1889']
Community 44: ['1890']
Community 45: ['1891']
Community 46: ['1892']
Community 47: ['1893']
Community 48: ['1894']
Community 49: ['1895']
Community 50: ['1896']
Community 51: ['1897']
Community 52: ['1898']
Community 53: ['1899']
Community 54: ['1900']
Community 55: ['1901']
Community 56: ['1902']
Community 57: ['1903']
Community 58: ['1904']
Community 59: ['1905']
Community 60: ['1906']
Community 61: ['1907']
Community 62: ['1908']
Community 63: ['1909']
Community 64: ['1910']
Community 65: ['1911']
Community 66: ['1912']
Community 67: ['1913']
Community 68: ['1914']
Community 69: ['1915']
Community 70: ['1916']
Community 71: ['1917']
Community 72: ['1918']
Community 73: ['1919']
Community 74: ['1920']
Community 75: ['1921']
Community 76: ['1922']
Community 77: ['1923']
Community 78: ['1924']
Community 79: ['1925']
Community 80: ['1926']
Community 81: ['1927']
Community 82: ['1928']
Community 83: ['1929']
Community 84: ['1930']
Community 85: ['1931']
Community 86: ['1932']
Community 87: ['1933']
Community 88: ['1934']
Community 89: ['1935']
Community 90: ['1936']
Community 91: ['1937']
Community 92: ['1938']
Community 93: ['1939']
Community 94: ['1940']
Community 95: ['1941']
Community 96: ['1942']
Community 97: ['1943']
Community 98: ['1944']
Community 99: ['1945']
Community 100: ['1946']
Community 101: ['1947']
Community 102: ['1948']
Community 103: ['1949']
Community 104: ['1950']
Community 105: ['1951']
Community 106: ['1952']
Community 107: ['1953']
Community 108: ['1954']
Community 109: ['1955']
Community 110: ['1956']
Community 111: ['1957']
Community 112: ['1958']
Community 113: ['1959']
Community 114: ['1960']
Community 115: ['1961']
Community 116: ['1962']
Community 117: ['1963']
Community 118: ['1964']
Community 119: ['1965']
Community 120: ['1966']
Community 121: ['1967']
Community 122: ['1968']
Community 123: ['1969']
Community 124: ['1970']
Community 125: ['1971']
Community 126: ['1972']
Community 127: ['1973']
Community 128: ['1974']
Community 129: ['1975']
Community 130: ['1976']
Community 131: ['1977']
Community 132: ['1978']
Community 133: ['1979']
Community 134: ['1980']
Community 135: ['1981']
Community 136: ['1982']
Community 137: ['1983']
Community 138: ['1984']
Community 139: ['1985']
Community 140: ['1986']
Community 141: ['1987']
Community 142: ['1988']
Community 143: ['1989']
Community 144: ['1990']
Community 145: ['1991']
Community 146: ['1992']
Community 147: ['1993']
Community 148: ['1994']
Community 149: ['1995']
Community 150: ['1996']
Community 151: ['1997']
Community 152: ['1998']
Community 153: ['1999']
Community 154: ['2000']
Community 155: ['2001']
Community 156: ['2002']
Community 157: ['2003']
Community 158: ['2004']
Community 159: ['2005']
Community 160: ['2006']
Community 161: ['2007']
Community 162: ['2008']
Community 163: ['2009']
Community 164: ['2010']
Community 165: ['2011']
Community 166: ['2012']
Community 167: ['2013']
Community 168: ['2014']
Community 169: ['2015']
Community 170: ['2016']
Community 171: ['2017']
Community 172: ['2018']
Community 173: ['2019']
Community 174: ['2020']
Community 175: ['2021']
Community 176: ['2022']
Community 177: ['2023']
Community 178: ['2024']
Community 179: ['2025']
Community 180: ['2026']
Community 181: ['2027']
Community 182: ['2028']
Community 183: ['2029']
Community 184: ['2030']
Community 185: ['2031']
Community 186: ['2032']
Community 187: ['2033']
Community 188: ['2034']
Community 189: ['2035']
Community 190: ['2036']
Community 191: ['2037']
Community 192: ['2038']
Community 193: ['2039']
Community 194: ['2040']
Community 195: ['2041']
Community 196: ['2042']
Community 197: ['2043']
Community 198: ['2044']
Community 199: ['2045']
Community 200: ['2046']
Community 201: ['2047']
Community 202: ['2048']
Community 203: ['2049']
Community 204: ['2050']
Community 205: ['2051']
Community 206: ['2052']
Community 207: ['2053']
Community 208: ['2054']
Community 209: ['2055']
Community 210: ['2056']
Community 211: ['2057']
Community 212: ['2058']
Community 213: ['2059']
Community 214: ['2060']
Community 215: ['2061']
Community 216: ['2062']
Community 217: ['2063']
Community 218: ['2064']
Community 219: ['2065']
Community 220: ['2066']
Community 221: ['2067']
Community 222: ['2068']
Community 223: ['2069']
Community 224: ['2070']
Community 225: ['2071']
Community 226: ['2072']
Community 227: ['2073']
Community 228: ['2074']
Community 229: ['2075']
Community 230: ['2076']
Community 231: ['2077']
Community 232: ['2078']
Community 233: ['2079']
Community 234: ['2080']
Community 235: ['2081']
Community 236: ['2082']
Community 237: ['2083']
Community 238: ['2084']
Community 239: ['2085']
Community 240: ['2086']
Community 241: ['2087']
Community 242: ['2088']
Community 243: ['2089']
Community 244: ['2090']
Community 245: ['2091']
Community 246: ['2092']
Community 247: ['2093']
Community 248: ['2094']
Community 249: ['2095']
Community 250: ['2096']
Community 251: ['2097']
Community 252: ['2098']
Community 253: ['2099']
Community 254: ['2100']
Community 255: ['2101']
Community 256: ['2102']
Community 257: ['2103']
Community 258: ['2104']
Community 259: ['2105']
Community 260: ['2106']
Community 261: ['2107']
Community 262: ['2108']
Community 263: ['2109']
Community 264: ['2110']
Community 265: ['2111']
Community 266: ['2112']
Community 267: ['2113']
Community 268: ['2114']
Community 269: ['2115']
Community 270: ['2116']
Community 271: ['2117']
Community 272: ['2118']
Community 273: ['2119']
