Total Number of Comms,Solution
4,"defaultdict(<class 'list'>, {'273': ['273', '281'], '274': ['274', '282', '283', '284', '285', '286', '287', '288'], '275': ['275', '276', '277', '278', '289', '290', '291', '292'], '279': ['279', '280']})"
4,"defaultdict(<class 'list'>, {'273': ['273', '280', '281', '282', '283', '286', '287', '288'], '274': ['274', '284', '285'], '275': ['275', '276', '277', '278', '279', '290', '291', '292'], '289': ['289']})"
4,"defaultdict(<class 'list'>, {'273': ['273', '280', '281', '282', '283', '286', '287', '288'], '274': ['274', '284', '285'], '275': ['275', '276', '277', '278', '289', '290', '291', '292'], '279': ['279']})"
5,"defaultdict(<class 'list'>, {'273': ['273', '281', '282', '283', '285', '286', '287', '288'], '274': ['274', '284'], '275': ['275', '276', '277', '278', '279', '290', '291', '292'], '280': ['280'], '289': ['289']})"
5,"defaultdict(<class 'list'>, {'273': ['273', '281'], '274': ['274', '282', '283', '284', '285', '286', '287', '288'], '275': ['275', '276', '277', '278', '289', '290', '291', '292'], '279': ['279'], '280': ['280']})"
5,"defaultdict(<class 'list'>, {'273': ['273', '281', '282', '283', '285', '286', '287', '288'], '274': ['274', '284'], '275': ['275', '276', '278', '279', '289', '290', '291', '292'], '277': ['277'], '280': ['280']})"
5,"defaultdict(<class 'list'>, {'273': ['273', '281'], '274': ['274', '282', '283', '284', '285', '286', '287', '288'], '275': ['275', '276', '277', '278', '279', '290', '291', '292'], '280': ['280'], '289': ['289']})"
6,"defaultdict(<class 'list'>, {'273': ['273'], '274': ['274', '282', '283', '284', '285', '286', '287', '288'], '275': ['275', '276', '277', '278', '279', '290', '291', '292'], '280': ['280'], '281': ['281'], '289': ['289']})"
6,"defaultdict(<class 'list'>, {'273': ['273', '280', '281', '282', '283', '286', '287', '288'], '274': ['274'], '275': ['275', '276', '277', '278', '279', '290', '291', '292'], '284': ['284'], '285': ['285'], '289': ['289']})"
6,"defaultdict(<class 'list'>, {'273': ['273', '280', '281', '282', '283', '286', '287', '288'], '274': ['274'], '275': ['275', '276', '277', '278', '289', '290', '291', '292'], '279': ['279'], '284': ['284'], '285': ['285']})"
6,"defaultdict(<class 'list'>, {'273': ['273'], '274': ['274', '282', '283', '284', '285', '286', '287', '288'], '275': ['275', '276', '277', '278', '289', '290', '291', '292'], '279': ['279'], '280': ['280'], '281': ['281']})"
6,"defaultdict(<class 'list'>, {'273': ['273', '281', '282', '283', '285', '286', '287', '288'], '274': ['274'], '275': ['275', '276', '278', '279', '289', '290', '291', '292'], '277': ['277'], '280': ['280'], '284': ['284']})"
6,"defaultdict(<class 'list'>, {'273': ['273', '281', '282', '283', '285', '286', '287', '288'], '274': ['274'], '275': ['275', '276', '277', '278', '279', '290', '291', '292'], '280': ['280'], '284': ['284'], '289': ['289']})"
12,"defaultdict(<class 'list'>, {'273': ['273', '281'], '274': ['274', '282', '283', '284', '285', '286', '287', '288'], '275': ['275'], '276': ['276'], '277': ['277'], '278': ['278'], '279': ['279'], '280': ['280'], '289': ['289'], '290': ['290'], '291': ['291'], '292': ['292']})"
13,"defaultdict(<class 'list'>, {'273': ['273'], '274': ['274', '282', '283', '284', '285', '286', '287', '288'], '275': ['275'], '276': ['276'], '277': ['277'], '278': ['278'], '279': ['279'], '280': ['280'], '281': ['281'], '289': ['289'], '290': ['290'], '291': ['291'], '292': ['292']})"
13,"defaultdict(<class 'list'>, {'273': ['273'], '274': ['274'], '275': ['275', '276', '277', '278', '279', '290', '291', '292'], '280': ['280'], '281': ['281'], '282': ['282'], '283': ['283'], '284': ['284'], '285': ['285'], '286': ['286'], '287': ['287'], '288': ['288'], '289': ['289']})"
13,"defaultdict(<class 'list'>, {'273': ['273', '281', '282', '283', '285', '286', '287', '288'], '274': ['274'], '275': ['275'], '276': ['276'], '277': ['277'], '278': ['278'], '279': ['279'], '280': ['280'], '284': ['284'], '289': ['289'], '290': ['290'], '291': ['291'], '292': ['292']})"
13,"defaultdict(<class 'list'>, {'273': ['273'], '274': ['274'], '275': ['275', '276', '277', '278', '289', '290', '291', '292'], '279': ['279'], '280': ['280'], '281': ['281'], '282': ['282'], '283': ['283'], '284': ['284'], '285': ['285'], '286': ['286'], '287': ['287'], '288': ['288']})"
13,"defaultdict(<class 'list'>, {'273': ['273'], '274': ['274'], '275': ['275', '276', '278', '279', '289', '290', '291', '292'], '277': ['277'], '280': ['280'], '281': ['281'], '282': ['282'], '283': ['283'], '284': ['284'], '285': ['285'], '286': ['286'], '287': ['287'], '288': ['288']})"
20,"defaultdict(<class 'list'>, {'273': ['273'], '274': ['274'], '275': ['275'], '276': ['276'], '277': ['277'], '278': ['278'], '279': ['279'], '280': ['280'], '281': ['281'], '282': ['282'], '283': ['283'], '284': ['284'], '285': ['285'], '286': ['286'], '287': ['287'], '288': ['288'], '289': ['289'], '290': ['290'], '291': ['291'], '292': ['292']})"
