Time Cost: 0.023839950561523438s
Community 1: ['369']
Community 2: ['370']
Community 3: ['371']
Community 4: ['372']
Community 5: ['373']
Community 6: ['374']
Community 7: ['375']
Community 8: ['376']
Community 9: ['377']
Community 10: ['378']
Community 11: ['379']
Community 12: ['380']
Community 13: ['381']
Community 14: ['382']
Community 15: ['383']
Community 16: ['384']
Community 17: ['385']
Community 18: ['386']
Community 19: ['387']
Community 20: ['388']
Community 21: ['389']
Community 22: ['390']
Community 23: ['391']
Community 24: ['392']
Community 25: ['393']
Community 26: ['394']
Community 27: ['395']
Community 28: ['396']
Community 29: ['397']
Community 30: ['398']
Community 31: ['399']
Community 32: ['400']
Community 33: ['401']
Community 34: ['402']
Community 35: ['403']
Community 36: ['404']
Community 37: ['405']
Community 38: ['406']
Community 39: ['407']
Community 40: ['408']
Community 41: ['409']
Community 42: ['410']
Community 43: ['411']
Community 44: ['412']
Community 45: ['413']
Community 46: ['414']
Community 47: ['415']
Community 48: ['416']
Community 49: ['417']
Community 50: ['418']
Community 51: ['419']
Community 52: ['420']
Community 53: ['421']
Community 54: ['422']
Community 55: ['423']
Community 56: ['424']
Community 57: ['425']
Community 58: ['426']
Community 59: ['427']
Community 60: ['428']
Community 61: ['429']
Community 62: ['430']
Community 63: ['431']
Community 64: ['432']
Community 65: ['433']
Community 66: ['434']
Community 67: ['435']
Community 68: ['436']
Community 69: ['437']
Community 70: ['438']
Community 71: ['439']
Community 72: ['440']
Community 73: ['441']
Community 74: ['442']
Community 75: ['443']
Community 76: ['444']
Community 77: ['445']
Community 78: ['446']
Community 79: ['447']
Community 80: ['448']
Community 81: ['449']
Community 82: ['450']
Community 83: ['451']
Community 84: ['452']
Community 85: ['453']
Community 86: ['454']
Community 87: ['455']
Community 88: ['456']
Community 89: ['457']
Community 90: ['458']
Community 91: ['459']
Community 92: ['460']
Community 93: ['461']
Community 94: ['462']
Community 95: ['463']
Community 96: ['464']
Community 97: ['465']
Community 98: ['466']
Community 99: ['467']
Community 100: ['468']
Community 101: ['469']
Community 102: ['470']
Community 103: ['471']
Community 104: ['472']
Community 105: ['473']
Community 106: ['474']
Community 107: ['475']
Community 108: ['476']
Community 109: ['477']
Community 110: ['478']
Community 111: ['479']
Community 112: ['480']
Community 113: ['481']
Community 114: ['482']
Community 115: ['483']
Community 116: ['484']
Community 117: ['485']
Community 118: ['486']
Community 119: ['487']
Community 120: ['488']
Community 121: ['489']
Community 122: ['490']
Community 123: ['491']
Community 124: ['492']
Community 125: ['493']
Community 126: ['494']
Community 127: ['495']
Community 128: ['496']
Community 129: ['497']
Community 130: ['498']
Community 131: ['499']
Community 132: ['500']
Community 133: ['501']
Community 134: ['502']
Community 135: ['503']
Community 136: ['504']
Community 137: ['505']
Community 138: ['506']
Community 139: ['507']
Community 140: ['508']
Community 141: ['509']
Community 142: ['510']
Community 143: ['511']
Community 144: ['512']
Community 145: ['513']
Community 146: ['514']
Community 147: ['515']
Community 148: ['516']
Community 149: ['517']
Community 150: ['518']
Community 151: ['519']
Community 152: ['520']
Community 153: ['521']
Community 154: ['522']
Community 155: ['523']
Community 156: ['524']
Community 157: ['525']
Community 158: ['526']
Community 159: ['527']
Community 160: ['528']
Community 161: ['529']
Community 162: ['530']
Community 163: ['531']
Community 164: ['532']
Community 165: ['533']
Community 166: ['534']
Community 167: ['535']
Community 168: ['536']
Community 169: ['537']
Community 170: ['538']
Community 171: ['539']
Community 172: ['540']
Community 173: ['541']
Community 174: ['542']
Community 175: ['543']
Community 176: ['544']
Community 177: ['545']
Community 178: ['Cin']
Community 179: ['Cout']
