Total Number of Comms,Solution
9,"defaultdict(<class 'list'>, {'165': ['165', '166', '177', '178', '179', '180', '202', 'Cin'], '167': ['167', '168', '176', '183', '184', '185', '186', '204'], '169': ['169', '170', '175', '194', '195', '199', '208', '209'], '171': ['171', '172', '174', '196', '197', '198'], '173': ['173', '181', '182', '203'], '187': ['187', '205'], '188': ['188', '189', '190', '191', '192', '206'], '193': ['193', '207'], '200': ['200', '201', 'Cout']})"
10,"defaultdict(<class 'list'>, {'165': ['165', '166', '177'], '167': ['167', '168', '176'], '169': ['169', '170', '175'], '171': ['171', '172', '174', '195', '196', '197', '208', '209'], '173': ['173', '178', '179', '180', '181', '202', '203', 'Cin'], '182': ['182', '183', '184', '185', '186', '187', '204', '205'], '188': ['188', '189', '192', '193', '206', '207', '190', '191'], '194': ['194', '199'], '198': ['198'], '200': ['200', '201', 'Cout']})"
10,"defaultdict(<class 'list'>, {'165': ['165', '166', '177', '178', '179', '180', '202', 'Cin'], '167': ['167', '168', '176'], '169': ['169', '170', '175'], '171': ['171', '172', '174', '196', '197', '200', '201', 'Cout'], '173': ['173', '181', '203', '182'], '183': ['183', '184', '185', '186', '187', '204', '205'], '188': ['188', '189', '192', '193', '206', '207', '190', '191'], '194': ['194', '195', '208'], '198': ['198'], '199': ['199', '209']})"
10,"defaultdict(<class 'list'>, {'165': ['165', '166', '177', '178', '179', '180', '202', 'Cin'], '167': ['167', '168', '176', '183', '184', '185', '186', '204'], '169': ['169', '170', '175', '194', '195', '199', '208', '209'], '171': ['171', '172', '174', '196', '197', '198'], '173': ['173', '181', '182', '203'], '187': ['187', '205'], '188': ['188', '189', '190', '191', '192', '206'], '193': ['193'], '200': ['200', '201', 'Cout'], '207': ['207']})"
10,"defaultdict(<class 'list'>, {'165': ['165', '166', '177'], '167': ['167', '168', '176', '183', '184', '185', '186', '204'], '169': ['169', '170', '175'], '171': ['171', '172', '174'], '173': ['173', '178', '179', '180', '181', '202', '203', 'Cin'], '182': ['182'], '187': ['187', '205'], '188': ['188', '189', '190', '191', '192', '193', '206', '207'], '194': ['194', '195', '196', '197', '198', '199', '208', '209'], '200': ['200', '201', 'Cout']})"
10,"defaultdict(<class 'list'>, {'165': ['165', '166', '177', '178', '179', '180', '202', 'Cin'], '167': ['167', '168', '176', '183', '184', '185', '186', '204'], '169': ['169', '170', '175'], '171': ['171', '172', '174', '195', '196', '197', '208', '209'], '173': ['173', '181', '203', '182'], '187': ['187', '188', '205'], '189': ['189', '190', '191', '192', '193', '206', '207'], '194': ['194', '199'], '198': ['198'], '200': ['200', '201', 'Cout']})"
10,"defaultdict(<class 'list'>, {'165': ['165', '166', '177', '178', '179', '180', '202', 'Cin'], '167': ['167', '168', '176', '183', '184', '185', '186', '204'], '169': ['169', '170', '175', '189', '190', '191', '192', '206'], '171': ['171', '172', '174', '196', '197', '200', '201', 'Cout'], '173': ['173', '181', '182', '203'], '187': ['187', '188', '205'], '193': ['193', '194', '207'], '195': ['195', '208', '209'], '198': ['198'], '199': ['199']})"
10,"defaultdict(<class 'list'>, {'165': ['165', '166', '177', '178', '179', '180', '202', 'Cin'], '167': ['167', '168', '176'], '169': ['169', '170', '175', '189', '190', '191', '192', '206'], '171': ['171', '172', '174'], '173': ['173', '181', '203'], '182': ['182', '183', '184', '185', '186', '187', '204', '205'], '188': ['188'], '193': ['193', '194', '207'], '195': ['195', '196', '197', '198', '199', '208', '209'], '200': ['200', '201', 'Cout']})"
11,"defaultdict(<class 'list'>, {'165': ['165', '166', '177', '178', '179', '180', '202', 'Cin'], '167': ['167', '168', '176'], '169': ['169', '170', '175'], '171': ['171', '172', '174', '196', '197', '200', '201', 'Cout'], '173': ['173', '181', '203'], '182': ['182'], '183': ['183', '184', '185', '186', '187', '204', '205'], '188': ['188', '189', '192', '193', '206', '207', '190', '191'], '194': ['194', '195', '208'], '198': ['198'], '199': ['199', '209']})"
11,"defaultdict(<class 'list'>, {'165': ['165', '166', '177'], '167': ['167', '168', '176', '183', '184', '185', '186', '204'], '169': ['169', '170', '175'], '171': ['171', '172', '174'], '173': ['173', '178', '179', '180', '181', '202', '203', 'Cin'], '182': ['182'], '187': ['187', '205'], '188': ['188', '189', '190', '191', '192', '193', '206', '207'], '194': ['194'], '195': ['195', '196', '197', '198', '199', '208', '209'], '200': ['200', '201', 'Cout']})"
11,"defaultdict(<class 'list'>, {'165': ['165', '166', '177'], '167': ['167', '168', '176', '183', '184', '185', '186', '204'], '169': ['169', '170', '175'], '171': ['171', '172', '174', '196', '197', '200', '201', 'Cout'], '173': ['173', '178', '179', '180', '181', '202', '203', 'Cin'], '182': ['182'], '187': ['187', '188', '205'], '189': ['189', '190', '191', '192', '193', '206', '207'], '194': ['194', '199'], '195': ['195', '208', '209'], '198': ['198']})"
11,"defaultdict(<class 'list'>, {'165': ['165', '166', '177', '178', '179', '180', '202', 'Cin'], '167': ['167', '168', '176', '183', '184', '185', '186', '204'], '169': ['169', '170', '175'], '171': ['171', '172', '174', '195', '196', '197', '208', '209'], '173': ['173', '181', '203', '182'], '187': ['187', '188', '205'], '189': ['189', '190', '191', '192', '193', '206', '207'], '194': ['194'], '198': ['198'], '199': ['199'], '200': ['200', '201', 'Cout']})"
