Time Cost: 0.0027692317962646484s
Community 1: ['128']
Community 2: ['129']
Community 3: ['130']
Community 4: ['131']
Community 5: ['132']
Community 6: ['133']
Community 7: ['134']
Community 8: ['135']
Community 9: ['136']
Community 10: ['137']
Community 11: ['138']
Community 12: ['139']
Community 13: ['140']
Community 14: ['141']
Community 15: ['142']
Community 16: ['143']
Community 17: ['144']
Community 18: ['145']
Community 19: ['146']
Community 20: ['147']
Community 21: ['148']
Community 22: ['149']
Community 23: ['150']
Community 24: ['151']
Community 25: ['152']
Community 26: ['153']
Community 27: ['154']
Community 28: ['155']
Community 29: ['156']
Community 30: ['157']
Community 31: ['158']
Community 32: ['159']
Community 33: ['160']
Community 34: ['161']
Community 35: ['162']
Community 36: ['163']
Community 37: ['164']
Community 38: ['165']
Community 39: ['166']
Community 40: ['167']
Community 41: ['168']
Community 42: ['169']
Community 43: ['170']
Community 44: ['171']
Community 45: ['172']
Community 46: ['173']
Community 47: ['174']
Community 48: ['out']
