Total Number of Comms,Solution
20,"defaultdict(<class 'list'>, {'600': ['600'], '601': ['601', '642', '643', '644', '645', '646', 'segments[3]'], '602': ['602', '621', '622'], '603': ['603'], '604': ['604'], '605': ['605', '607', '608'], '606': ['606', '650', '651', 'segments[4]'], '609': ['609', 'hex_digit[1]'], '610': ['610', '613', '614', '615', '625', '626', '627', 'segments[0]'], '611': ['611', '659', '660', '661', '662', 'segments[6]'], '612': ['612', '636', '637', '638', '639', '640', 'segments[2]'], '616': ['616', '628'], '617': ['617', '652'], '618': ['618', '649', 'hex_digit[2]'], '619': ['619', '629', '630', '633', '634', '635', '641', 'segments[1]'], '620': ['620', '624'], '623': ['623', '653', '654', '655', '656', '657', 'segments[5]'], '631': ['631', '632'], '647': ['647', '648', 'hex_digit[3]'], '658': ['658', 'hex_digit[0]']})"
20,"defaultdict(<class 'list'>, {'600': ['600', 'hex_digit[1]'], '601': ['601', 'hex_digit[2]'], '602': ['602', '621', 'hex_digit[3]'], '603': ['603'], '604': ['604', '605', '628'], '606': ['606', '649', '650'], '607': ['607', '608', '630'], '609': ['609', '631', '639', '640', 'segments[2]'], '610': ['610', '613', '614', '615', '625', '626', '627', 'segments[0]'], '611': ['611', '612'], '616': ['616', '617'], '618': ['618', '619'], '620': ['620', '632', '633', '634', '635', 'segments[1]', '624'], '622': ['622'], '623': ['623', '653', '654'], '629': ['629', '641', '642', '643', '644', '645', '646', 'segments[3]'], '636': ['636', '637', '638', 'hex_digit[0]'], '647': ['647', '648', '651', 'segments[4]'], '652': ['652', '655', '656', '657', '661', '662', 'segments[5]', 'segments[6]'], '658': ['658', '659', '660']})"
21,"defaultdict(<class 'list'>, {'600': ['600', '616'], '601': ['601'], '602': ['602', '621', '622'], '603': ['603'], '604': ['604', '605', '653'], '606': ['606', '650', '651', 'segments[4]'], '607': ['607', '608'], '609': ['609', 'hex_digit[1]'], '610': ['610', '623', '654'], '611': ['611', '658', '659'], '612': ['612'], '613': ['613', '614', '615', '624', '625', '626', '627', 'segments[0]'], '617': ['617', '642', '643', '644', '645', '646', 'segments[3]'], '618': ['618', '649', 'hex_digit[2]'], '619': ['619', '620', '632'], '628': ['628', '629', '630', '633', '634', '635', 'segments[1]', '641'], '631': ['631', '639', '640', 'segments[2]'], '636': ['636', '637', '638', 'hex_digit[0]'], '647': ['647', '648', 'hex_digit[3]'], '652': ['652', '655', '656', '657', 'segments[5]'], '660': ['660', '661', '662', 'segments[6]']})"
21,"defaultdict(<class 'list'>, {'600': ['600'], '601': ['601', '642', '645', '646', 'segments[3]'], '602': ['602', '618', '621'], '603': ['603', '649'], '604': ['604'], '605': ['605', '608', '613', '614'], '606': ['606', '650', '651', 'segments[4]'], '607': ['607'], '609': ['609'], '610': ['610', '623', '624'], '611': ['611', 'hex_digit[2]'], '612': ['612', '637', '638', '639', '640', 'segments[2]'], '615': ['615', '625', '626', '627', '643', '644', 'segments[0]'], '616': ['616', '617'], '619': ['619', '628', '629', '641'], '620': ['620', '630', '633', '634', '635', 'segments[1]', '632'], '622': ['622', '631'], '636': ['636', '658', 'hex_digit[0]'], '647': ['647', '648', 'hex_digit[3]'], '652': ['652', '653', '654', '655', '656', '657', 'segments[5]'], '659': ['659', '660', '661', '662', 'segments[6]', 'hex_digit[1]']})"
21,"defaultdict(<class 'list'>, {'600': ['600'], '601': ['601', '642', '643', '644', '645', '646', 'segments[3]'], '602': ['602', '621', '622'], '603': ['603'], '604': ['604'], '605': ['605', '607', '608'], '606': ['606', '650', '651', 'segments[4]'], '609': ['609', 'hex_digit[1]'], '610': ['610', '613', '614', '615', '625', '626', '627', 'segments[0]'], '611': ['611', '659', '660', '661', '662', 'segments[6]'], '612': ['612', '636', '637', '638', '639', '640', 'segments[2]'], '616': ['616', '628'], '617': ['617', '652'], '618': ['618', '649', 'hex_digit[2]'], '619': ['619', '629', '630', '633', '634', '635', '641', 'segments[1]'], '620': ['620', '624'], '623': ['623', '653', '654', '655', '656', '657', 'segments[5]'], '631': ['631', '632'], '647': ['647', '648', 'hex_digit[3]'], '658': ['658'], 'hex_digit[0]': ['hex_digit[0]']})"
21,"defaultdict(<class 'list'>, {'600': ['600', '636', '637', '638', '639', '640', 'segments[2]'], '601': ['601', '602', '621'], '603': ['603', '649'], '604': ['604', '605', '653'], '606': ['606', '648', '650', '651', 'segments[4]'], '607': ['607', '630', '632', '633', '634', '635', 'segments[1]'], '608': ['608', '610', '613', '614'], '609': ['609', 'hex_digit[1]'], '611': ['611', 'hex_digit[2]'], '612': ['612'], '615': ['615', '625', '626', '627', '643', 'segments[0]'], '616': ['616', '628', '629'], '617': ['617', '642', '644', '645', '646', 'segments[3]'], '618': ['618', '619', '641'], '620': ['620'], '622': ['622', '631'], '623': ['623', '624', '654', '655', '656', '657', 'segments[5]'], '647': ['647', 'hex_digit[3]'], '652': ['652'], '658': ['658', '659', '660', '661', '662', 'segments[6]'], 'hex_digit[0]': ['hex_digit[0]']})"
21,"defaultdict(<class 'list'>, {'600': ['600', 'hex_digit[1]'], '601': ['601', '621'], '602': ['602', '618', '619', '641'], '603': ['603'], '604': ['604', '605', '608'], '606': ['606', '607'], '609': ['609', '610', '613'], '611': ['611'], '612': ['612', '653', '654', '655', '656', '657', 'segments[5]'], '614': ['614', '615', '642', '643', '644', '645', '646', 'segments[3]'], '616': ['616'], '617': ['617', '652'], '620': ['620'], '622': ['622'], '623': ['623', '624', '625', '626', '627', 'segments[0]'], '628': ['628', '629', '630', '633', '634', '635', 'segments[1]'], '631': ['631', '632', '637', '638', '639', '640', 'segments[2]'], '636': ['636', 'hex_digit[0]'], '647': ['647', '648', '651', 'hex_digit[3]', 'segments[4]'], '649': ['649', '650', 'hex_digit[2]'], '658': ['658', '659', '660', '661', '662', 'segments[6]']})"
21,"defaultdict(<class 'list'>, {'600': ['600', 'hex_digit[1]'], '601': ['601', 'hex_digit[2]'], '602': ['602', '621', 'hex_digit[3]'], '603': ['603'], '604': ['604', '605', '628'], '606': ['606', '649', '650'], '607': ['607', '608', '630'], '609': ['609', '631', '639', '640', 'segments[2]'], '610': ['610', '613', '614', '615', '625', '626', '627', 'segments[0]'], '611': ['611', '612'], '616': ['616', '617'], '618': ['618', '619'], '620': ['620', '632', '633', '634', '635', 'segments[1]'], '622': ['622'], '623': ['623', '653', '654'], '624': ['624'], '629': ['629', '641', '642', '643', '644', '645', '646', 'segments[3]'], '636': ['636', '637', '638', 'hex_digit[0]'], '647': ['647', '648', '651', 'segments[4]'], '652': ['652', '655', '656', '657', '661', '662', 'segments[5]', 'segments[6]'], '658': ['658', '659', '660']})"
22,"defaultdict(<class 'list'>, {'600': ['600'], '601': ['601', '621', '642'], '602': ['602', '618', '619'], '603': ['603'], '604': ['604'], '605': ['605', '608', '610', '613', '614'], '606': ['606', '607'], '609': ['609', 'hex_digit[1]'], '611': ['611', 'hex_digit[3]'], '612': ['612', '653'], '615': ['615', '626', '627', '643', '644', '645', '646', 'segments[3]'], '616': ['616', '628'], '617': ['617', '620'], '622': ['622', '631'], '623': ['623', '624', '625', '654'], '629': ['629', '630', '632', '633', '634', '635', '641', 'segments[1]'], '636': ['636', '637', '638', '639', '640', 'hex_digit[0]', 'segments[2]'], '647': ['647', '648', '649', '650', '651', 'segments[4]'], '652': ['652', '655', '656', '657', '661', '662', 'segments[5]', 'segments[6]'], '658': ['658', '659', '660'], 'hex_digit[2]': ['hex_digit[2]'], 'segments[0]': ['segments[0]']})"
22,"defaultdict(<class 'list'>, {'600': ['600', 'hex_digit[1]'], '601': ['601', 'hex_digit[2]'], '602': ['602', '621', 'hex_digit[3]'], '603': ['603'], '604': ['604', '605', '628'], '606': ['606', '649', '650'], '607': ['607', '608', '630'], '609': ['609', '631', '639', '640', 'segments[2]'], '610': ['610', '613', '614', '615', '625', '626', '627', 'segments[0]'], '611': ['611', '612'], '616': ['616', '617'], '618': ['618'], '619': ['619'], '620': ['620', '632', '633', '634', '635', 'segments[1]'], '622': ['622'], '623': ['623', '653', '654'], '624': ['624'], '629': ['629', '641', '642', '643', '644', '645', '646', 'segments[3]'], '636': ['636', '637', '638', 'hex_digit[0]'], '647': ['647', '648', '651', 'segments[4]'], '652': ['652', '655', '656', '657', '661', '662', 'segments[5]', 'segments[6]'], '658': ['658', '659', '660']})"
