Time Cost: 0.0055010318756103516s
Community 1: ['600']
Community 2: ['601']
Community 3: ['602']
Community 4: ['603']
Community 5: ['604']
Community 6: ['605']
Community 7: ['606']
Community 8: ['607']
Community 9: ['608']
Community 10: ['609']
Community 11: ['610']
Community 12: ['611']
Community 13: ['612']
Community 14: ['613']
Community 15: ['614']
Community 16: ['615']
Community 17: ['616']
Community 18: ['617']
Community 19: ['618']
Community 20: ['619']
Community 21: ['620']
Community 22: ['621']
Community 23: ['622']
Community 24: ['623']
Community 25: ['624']
Community 26: ['625']
Community 27: ['626']
Community 28: ['627']
Community 29: ['628']
Community 30: ['629']
Community 31: ['630']
Community 32: ['631']
Community 33: ['632']
Community 34: ['633']
Community 35: ['634']
Community 36: ['635']
Community 37: ['636']
Community 38: ['637']
Community 39: ['638']
Community 40: ['639']
Community 41: ['640']
Community 42: ['641']
Community 43: ['642']
Community 44: ['643']
Community 45: ['644']
Community 46: ['645']
Community 47: ['646']
Community 48: ['647']
Community 49: ['648']
Community 50: ['649']
Community 51: ['650']
Community 52: ['651']
Community 53: ['652']
Community 54: ['653']
Community 55: ['654']
Community 56: ['655']
Community 57: ['656']
Community 58: ['657']
Community 59: ['658']
Community 60: ['659']
Community 61: ['660']
Community 62: ['661']
Community 63: ['662']
Community 64: ['hex_digit[0]']
Community 65: ['hex_digit[1]']
Community 66: ['hex_digit[2]']
Community 67: ['hex_digit[3]']
Community 68: ['segments[0]']
Community 69: ['segments[1]']
Community 70: ['segments[2]']
Community 71: ['segments[3]']
Community 72: ['segments[4]']
Community 73: ['segments[5]']
Community 74: ['segments[6]']
