Total Number of Comms,Solution
4,"defaultdict(<class 'list'>, {'60': ['60', '61', '64', 'a0', 'b0', 'o0'], '62': ['62', '63', '65', '66', '67', 'a1', 'b1', 'o2'], '68': ['68'], '69': ['69', '70', '71', '72', '73', '74', 'o1', 'o3']})"
4,"defaultdict(<class 'list'>, {'60': ['60', '64', 'a0', 'o0'], '61': ['61', '70', 'b0'], '62': ['62', '63', '65', '66', '67', 'a1', 'b1', 'o2'], '68': ['68', '69', '71', '72', '73', '74', 'o1', 'o3']})"
4,"defaultdict(<class 'list'>, {'60': ['60', '61', '64', 'a0', 'b0', 'o0'], '62': ['62', '63', '65', '66', '67', 'a1', 'b1', 'o2'], '68': ['68'], '69': ['69', '71', '72', '73', '74', 'o1', 'o3', '70']})"
4,"defaultdict(<class 'list'>, {'60': ['60', '61', '64', '67', 'a0', 'b0', 'o0', 'o2'], '62': ['62', '63', '65', '66', 'a1', 'b1'], '68': ['68'], '69': ['69', '70', '71', '72', '73', '74', 'o1', 'o3']})"
4,"defaultdict(<class 'list'>, {'60': ['60', '61', '64', 'a0', 'b0', 'o0'], '62': ['62', '63', '65', '66', '67', 'a1', 'b1', 'o2'], '68': ['68', '73', '69', '71', '72', '74', 'o1', 'o3'], '70': ['70']})"
4,"defaultdict(<class 'list'>, {'60': ['60', '61', '64', '67', 'a0', 'b0', 'o0', 'o2'], '62': ['62', '63', '65', '66', 'a1', 'b1'], '68': ['68', '69', '71', '72', '73', '74', 'o1', 'o3'], '70': ['70']})"
4,"defaultdict(<class 'list'>, {'60': ['60', '61', '64', '67', 'a0', 'b0', 'o0', 'o2'], '62': ['62', '63', '65', '66', 'a1', 'b1'], '68': ['68'], '69': ['69', '71', '72', '74', 'o1', 'o3', '70', '73']})"
5,"defaultdict(<class 'list'>, {'60': ['60', '61', '64', 'a0', 'b0', 'o0'], '62': ['62', '63', '65', '66', '67', 'a1', 'b1', 'o2'], '68': ['68', '73'], '69': ['69', '71', '72', '74', 'o1', 'o3'], '70': ['70']})"
5,"defaultdict(<class 'list'>, {'60': ['60', '61', '64', 'a0', 'b0', 'o0'], '62': ['62', '63', '65', '66', '67', 'a1', 'b1', 'o2'], '68': ['68'], '69': ['69', '71', '72', '73', '74', 'o1', 'o3'], '70': ['70']})"
6,"defaultdict(<class 'list'>, {'60': ['60', '61', '64', '67', 'a0', 'b0', 'o0', 'o2'], '62': ['62', '63', '65', '66', 'a1', 'b1'], '68': ['68'], '69': ['69', '71', '72', '74', 'o1', 'o3'], '70': ['70'], '73': ['73']})"
6,"defaultdict(<class 'list'>, {'60': ['60', '61', '64', 'a0', 'b0', 'o0'], '62': ['62', '63', '65', '66', '67', 'a1', 'b1', 'o2'], '68': ['68'], '69': ['69', '71', '72', '74', 'o1', 'o3'], '70': ['70'], '73': ['73']})"
