Time Cost: 0.0012969970703125s
Community 1: ['1']
Community 2: ['10']
Community 3: ['11']
Community 4: ['12']
Community 5: ['13']
Community 6: ['14']
Community 7: ['15']
Community 8: ['16']
Community 9: ['17']
Community 10: ['18']
Community 11: ['19']
Community 12: ['2']
Community 13: ['20']
Community 14: ['21']
Community 15: ['22']
Community 16: ['23']
Community 17: ['24']
Community 18: ['25']
Community 19: ['26']
Community 20: ['27']
Community 21: ['28']
Community 22: ['29']
Community 23: ['3']
Community 24: ['4']
Community 25: ['5']
Community 26: ['6']
Community 27: ['7']
Community 28: ['8']
Community 29: ['9']
