Total Number of Comms,Solution
10,"defaultdict(<class 'list'>, {'1662': ['1662', '1672', '1691', 'c'], '1663': ['1663', '1692', 'e'], '1664': ['1664', 'f'], '1665': ['1665', '1677', '1693', 'b'], '1666': ['1666', '1686', '1687', '1688', '1690', 'd'], '1667': ['1667', '1689', 'a'], '1668': ['1668', '1669', '1670', '1671'], '1673': ['1673', '1674', '1675', '1676', '1685'], '1678': ['1678', '1679', '1680', '1681', '1682', '1683', '1684'], '1694': ['1694', '1695', '1696', '1697', '1698', '1699', '1700', 'out']})"
10,"defaultdict(<class 'list'>, {'1662': ['1662', '1664', '1672', '1681', '1682', 'f'], '1663': ['1663', '1669', '1670', 'e'], '1665': ['1665', '1666', '1686', '1687', '1688', '1700', 'd', 'out'], '1667': ['1667', '1689', 'a'], '1668': ['1668'], '1671': ['1671', '1673', '1674', '1675', '1676'], '1677': ['1677', '1678', '1679', '1680', '1683', '1684', '1685'], '1690': ['1690', '1691', 'c'], '1692': ['1692', '1695', '1696', '1697', '1698', '1699'], '1693': ['1693', '1694', 'b']})"
11,"defaultdict(<class 'list'>, {'1662': ['1662', '1691', '1696', '1697', '1698', '1699', 'c'], '1663': ['1663', 'e'], '1664': ['1664', '1672', '1673', '1681', '1682', 'a'], '1665': ['1665'], '1666': ['1666', '1674', '1675', '1676', '1685', '1686', '1700', 'out'], '1667': ['1667', '1687', '1688', '1689', '1692'], '1668': ['1668', '1669', '1670', '1671'], '1677': ['1677', '1678', '1679', '1680', '1683', '1684', 'b'], '1690': ['1690', 'd'], '1693': ['1693'], '1694': ['1694', '1695', 'f']})"
11,"defaultdict(<class 'list'>, {'1662': ['1662', '1668', '1669', '1678', '1679', 'c'], '1663': ['1663', '1693', '1694'], '1664': ['1664', '1672', '1673', '1681', '1682', 'a'], '1665': ['1665', '1674', '1675', '1677', 'b'], '1666': ['1666', '1680', '1683', '1684', '1685', '1686', '1700', 'out'], '1667': ['1667', '1671', '1689', '1692'], '1670': ['1670'], '1676': ['1676'], '1687': ['1687', '1688', '1690', '1691', 'd'], '1695': ['1695', '1696', '1697', '1698', '1699', 'f'], 'e': ['e']})"
11,"defaultdict(<class 'list'>, {'1662': ['1662', '1690', '1691', 'c', 'd'], '1663': ['1663', '1692', 'e'], '1664': ['1664', '1672', '1681', '1682', '1673'], '1665': ['1665', '1674', '1675', '1687', '1688', '1689'], '1666': ['1666', '1686', '1696', '1697', '1698', '1699', '1700', 'out'], '1667': ['1667', 'a'], '1668': ['1668'], '1669': ['1669', '1670', '1671', '1676'], '1677': ['1677', '1678', '1679', '1680', '1683', '1684', '1685'], '1693': ['1693', '1694', '1695', 'f'], 'b': ['b']})"
11,"defaultdict(<class 'list'>, {'1662': ['1662', '1668', '1691', 'c'], '1663': ['1663', '1694', '1695', '1696'], '1664': ['1664', 'f'], '1665': ['1665', '1677', '1693', 'b'], '1666': ['1666', '1686', '1687', '1688', '1690', 'd'], '1667': ['1667', 'a'], '1669': ['1669', '1670', '1671', '1675', '1676', '1685'], '1672': ['1672', '1673', '1674'], '1678': ['1678', '1679', '1680', '1681', '1682', '1683', '1684'], '1689': ['1689', '1692', '1698', '1699', '1700', 'e', 'out'], '1697': ['1697']})"
11,"defaultdict(<class 'list'>, {'1662': ['1662', '1666', '1690', '1691', 'c', 'd'], '1663': ['1663', 'e'], '1664': ['1664', '1681', '1695', 'f'], '1665': ['1665'], '1667': ['1667', '1671', '1687', '1688', '1689'], '1668': ['1668', '1669', '1670', '1679'], '1672': ['1672', '1673', '1682'], '1674': ['1674', '1675', '1676', '1680', '1683', '1684', '1685'], '1677': ['1677', '1678', '1693', '1694', 'b'], '1686': ['1686', '1692', '1696', '1697', '1698', '1699', '1700', 'out'], 'a': ['a']})"
12,"defaultdict(<class 'list'>, {'1662': ['1662', '1666', '1690', '1691', 'c', 'd'], '1663': ['1663', 'e'], '1664': ['1664', '1681', '1695', 'f'], '1665': ['1665'], '1667': ['1667', '1671', '1687', '1688', '1689'], '1668': ['1668', '1669', '1670', '1679'], '1672': ['1672', '1673', '1682'], '1674': ['1674', '1675', '1676', '1680', '1683', '1684', '1685'], '1677': ['1677', '1678', '1693', '1694', 'b'], '1686': ['1686'], '1692': ['1692', '1696', '1697', '1698', '1699', '1700', 'out'], 'a': ['a']})"
12,"defaultdict(<class 'list'>, {'1662': ['1662', '1672', '1673', '1674', '1675'], '1663': ['1663', '1690', 'e'], '1664': ['1664', '1681', '1695', 'f'], '1665': ['1665', '1687', '1688', '1689', '1692'], '1666': ['1666', '1680', '1682', '1683', '1684', '1685', '1686'], '1667': ['1667', '1669', '1670', '1671', '1676'], '1668': ['1668', '1691', 'c'], '1677': ['1677', '1678', '1693', '1694', 'b'], '1679': ['1679'], '1696': ['1696', '1697', '1698', '1699', '1700', 'out'], 'a': ['a'], 'd': ['d']})"
12,"defaultdict(<class 'list'>, {'1662': ['1662', '1668', '1669', 'c'], '1663': ['1663', '1690', 'e'], '1664': ['1664', '1695', '1696', '1697', '1698', 'f'], '1665': ['1665', '1673', '1674'], '1666': ['1666', '1675', '1676', '1685', '1686', '1700', 'out'], '1667': ['1667', '1670', '1671'], '1672': ['1672', '1681', '1682'], '1677': ['1677', '1678', '1679', '1680', '1683', '1684', 'b'], '1687': ['1687', '1688', '1689', '1692', '1699'], '1691': ['1691'], '1693': ['1693', '1694', 'a'], 'd': ['d']})"
