Time Cost: 1467.2175545692444s
Community 1: ['7490']
Community 2: ['7491']
Community 3: ['7492', '7497', '7498', '7545', '7553', '7567', 'e', 'f']
Community 4: ['7493']
Community 5: ['7494']
Community 6: ['7495']
Community 7: ['7496']
Community 8: ['7499']
Community 9: ['7500']
Community 10: ['7501']
Community 11: ['7502']
Community 12: ['7503']
Community 13: ['7504']
Community 14: ['7505', '7565']
Community 15: ['7506']
Community 16: ['7507']
Community 17: ['7508']
Community 18: ['7509']
Community 19: ['7510']
Community 20: ['7511']
Community 21: ['7512']
Community 22: ['7513']
Community 23: ['7514']
Community 24: ['7515']
Community 25: ['7516']
Community 26: ['7517', '7518', '7584', '7585', '7676', '7677', '7678', 'out']
Community 27: ['7519']
Community 28: ['7520']
Community 29: ['7521']
Community 30: ['7522', '7540', '7541', '7542', '7543', '7544', '7582', '7583']
Community 31: ['7523']
Community 32: ['7524']
Community 33: ['7525']
Community 34: ['7526', '7630', '7662', '7663', '7665', '7666', '7667', '7668']
Community 35: ['7527']
Community 36: ['7528']
Community 37: ['7529']
Community 38: ['7530']
Community 39: ['7531']
Community 40: ['7532']
Community 41: ['7533']
Community 42: ['7534']
Community 43: ['7535']
Community 44: ['7536']
Community 45: ['7537']
Community 46: ['7538', '7557', '7562', '7563', '7579', '7580', '7581']
Community 47: ['7539']
Community 48: ['7546']
Community 49: ['7547']
Community 50: ['7548']
Community 51: ['7549']
Community 52: ['7550']
Community 53: ['7551']
Community 54: ['7552']
Community 55: ['7554']
Community 56: ['7555']
Community 57: ['7556']
Community 58: ['7558']
Community 59: ['7559']
Community 60: ['7560']
Community 61: ['7561']
Community 62: ['7564']
Community 63: ['7566']
Community 64: ['7568']
Community 65: ['7569']
Community 66: ['7570']
Community 67: ['7571']
Community 68: ['7572']
Community 69: ['7573']
Community 70: ['7574']
Community 71: ['7575']
Community 72: ['7576']
Community 73: ['7577']
Community 74: ['7578']
Community 75: ['7586']
Community 76: ['7587']
Community 77: ['7588']
Community 78: ['7589', '7594', '7612', '7613', '7614', '7615', '7675']
Community 79: ['7590', '7591', '7592', '7593']
Community 80: ['7595']
Community 81: ['7596']
Community 82: ['7597']
Community 83: ['7598']
Community 84: ['7599']
Community 85: ['7600']
Community 86: ['7601']
Community 87: ['7602']
Community 88: ['7603', '7648', '7649', '7650', '7651', '7652']
Community 89: ['7604']
Community 90: ['7605']
Community 91: ['7606']
Community 92: ['7607']
Community 93: ['7608']
Community 94: ['7609']
Community 95: ['7610']
Community 96: ['7611']
Community 97: ['7616']
Community 98: ['7617']
Community 99: ['7618']
Community 100: ['7619']
Community 101: ['7620']
Community 102: ['7621']
Community 103: ['7622']
Community 104: ['7623', '7624', '7625', '7626', '7627', '7628', '7637', '7638']
Community 105: ['7629']
Community 106: ['7631']
Community 107: ['7632']
Community 108: ['7633']
Community 109: ['7634']
Community 110: ['7635']
Community 111: ['7636']
Community 112: ['7639']
Community 113: ['7640']
Community 114: ['7641']
Community 115: ['7642']
Community 116: ['7643']
Community 117: ['7644']
Community 118: ['7645']
Community 119: ['7646', '7653', '7654', '7670', '7671', '7672', '7673', '7674']
Community 120: ['7647']
Community 121: ['7655']
Community 122: ['7656']
Community 123: ['7657']
Community 124: ['7658']
Community 125: ['7659']
Community 126: ['7660']
Community 127: ['7661']
Community 128: ['7664']
Community 129: ['7669']
Community 130: ['a']
Community 131: ['b']
Community 132: ['c']
Community 133: ['d']
Community 134: ['g']
Community 135: ['h']
