Community 1: ['25623', '25669', '27289']
Community 2: ['25626', '27344', '27346']
Community 3: ['25628', '25629', '25691']
Community 4: ['25630', '25631', '27374']
Community 5: ['25633', '27323', '27324']
Community 6: ['25634', '27352', '27353']
Community 7: ['25636', '27332', '27335']
Community 8: ['25637', '25932', '26321']
Community 9: ['25640', '27364', '27365']
Community 10: ['25642', '25649', '27341']
Community 11: ['25643', '26926', '26928']
Community 12: ['25645', '27290', '27345']
Community 13: ['25647', '26483', '26487']
Community 14: ['25651', '25658', '27349']
Community 15: ['25652', '27348', '27350']
Community 16: ['25654', '27305', '27351']
Community 17: ['25656', '27297', '27363']
Community 18: ['25661', '27367', '27368']
Community 19: ['25663', '27291', '27360']
Community 20: ['25665', '27306', '27366']
Community 21: ['25667', '27359', '27361']
Community 22: ['25670', '25673', '25675']
Community 23: ['25671', '25672', '25674']
Community 24: ['25676', '25928', '25977']
Community 25: ['25677', '25689', '25690']
Community 26: ['25678', '25681', '25683']
Community 27: ['25679', '25682', '25685']
Community 28: ['25680', '25684', '27046']
Community 29: ['25686', '25687', '25688']
Community 30: ['25692', '25693', '25751']
Community 31: ['25694', '25695', '25811']
Community 32: ['25696', '25697', '25698']
Community 33: ['25699', '25700', '25701']
Community 34: ['25702', '25713', '25717']
Community 35: ['25703', '25705', '25720']
Community 36: ['25704', '25714', '25718']
Community 37: ['25706', '25715', '25724']
Community 38: ['25707', '25712', '25726']
Community 39: ['25708', '25709', '25710']
Community 40: ['25711', '25716', '25723']
Community 41: ['25719', '25721', '25722']
Community 42: ['25725', '26338', '26363']
Community 43: ['25727', '26370', '26396']
Community 44: ['25728', '25729', '25731']
Community 45: ['25730', '26403', '26423']
Community 46: ['25733', '25734', '25737']
Community 47: ['25735', '25738', '25739']
Community 48: ['25736', '26164', '27369']
Community 49: ['25740', '25749', '25750']
Community 50: ['25741', '25742', '25880']
Community 51: ['25743', '25747', '25748']
Community 52: ['25744', '25745', '25746']
Community 53: ['25752', '25933']
Community 54: ['25753', '25766']
Community 55: ['25754', '25756', '25934']
Community 56: ['25755', '26491', '26495']
