Solution index,Edge index,Total cell-cell edges,Edges colored,color percentage
9436,2656,2734,77,0.028163862472568
9417,2655,2730,74,0.027106227106227
9428,2656,2731,74,0.027096301720981
9434,2659,2734,74,0.027066569129481
9285,2627,2699,71,0.026306039273805
9292,2628,2700,71,0.026296296296296
9298,2629,2701,71,0.026286560533136
9311,2631,2703,71,0.026267110617832
9315,2632,2704,71,0.026257396449704
9326,2633,2705,71,0.026247689463956
9337,2635,2707,71,0.026228297007758
9346,2637,2709,71,0.026208933185677
9361,2639,2711,71,0.026189597934342
9371,2641,2713,71,0.026170291190564
9380,2643,2715,71,0.026151012891344
9387,2644,2716,71,0.026141384388807
9400,2646,2718,71,0.026122148638705
9412,2648,2720,71,0.026102941176471
9418,2649,2721,71,0.026093348033811
9426,2650,2722,71,0.02608376193975
9402,2654,2726,71,0.026045487894351
9408,2655,2727,71,0.026035936927026
4835,2358,2422,63,0.026011560693642
4842,2358,2422,63,0.026011560693642
4851,2358,2422,63,0.026011560693642
4861,2358,2422,63,0.026011560693642
4870,2358,2422,63,0.026011560693642
4875,2358,2422,63,0.026011560693642
4887,2358,2422,63,0.026011560693642
4910,2358,2422,63,0.026011560693642
4920,2358,2422,63,0.026011560693642
4924,2358,2422,63,0.026011560693642
4941,2358,2422,63,0.026011560693642
4951,2358,2422,63,0.026011560693642
4954,2358,2422,63,0.026011560693642
4966,2358,2422,63,0.026011560693642
4970,2358,2422,63,0.026011560693642
4980,2358,2422,63,0.026011560693642
4993,2358,2422,63,0.026011560693642
5015,2358,2422,63,0.026011560693642
5019,2358,2422,63,0.026011560693642
5031,2358,2422,63,0.026011560693642
5041,2358,2422,63,0.026011560693642
5046,2358,2422,63,0.026011560693642
5067,2358,2422,63,0.026011560693642
5081,2358,2422,63,0.026011560693642
5085,2358,2422,63,0.026011560693642
5098,2358,2422,63,0.026011560693642
5104,2358,2422,63,0.026011560693642
5114,2358,2422,63,0.026011560693642
5124,2358,2422,63,0.026011560693642
5132,2358,2422,63,0.026011560693642
5136,2358,2422,63,0.026011560693642
5141,2358,2422,63,0.026011560693642
5149,2358,2422,63,0.026011560693642
5161,2358,2422,63,0.026011560693642
5170,2358,2422,63,0.026011560693642
5179,2358,2422,63,0.026011560693642
5189,2358,2422,63,0.026011560693642
5204,2358,2422,63,0.026011560693642
5206,2358,2422,63,0.026011560693642
5214,2358,2422,63,0.026011560693642
5230,2358,2422,63,0.026011560693642
5245,2358,2422,63,0.026011560693642
5246,2358,2422,63,0.026011560693642
5260,2358,2422,63,0.026011560693642
5272,2358,2422,63,0.026011560693642
5279,2358,2422,63,0.026011560693642
5287,2358,2422,63,0.026011560693642
5300,2358,2422,63,0.026011560693642
5302,2358,2422,63,0.026011560693642
5318,2358,2422,63,0.026011560693642
5321,2358,2422,63,0.026011560693642
5333,2358,2422,63,0.026011560693642
5340,2358,2422,63,0.026011560693642
5348,2358,2422,63,0.026011560693642
5365,2358,2422,63,0.026011560693642
5376,2358,2422,63,0.026011560693642
5382,2358,2422,63,0.026011560693642
5394,2358,2422,63,0.026011560693642
5399,2358,2422,63,0.026011560693642
5405,2358,2422,63,0.026011560693642
5418,2358,2422,63,0.026011560693642
5429,2358,2422,63,0.026011560693642
5439,2358,2422,63,0.026011560693642
5446,2358,2422,63,0.026011560693642
5455,2358,2422,63,0.026011560693642
5465,2358,2422,63,0.026011560693642
5476,2358,2422,63,0.026011560693642
5485,2358,2422,63,0.026011560693642
5491,2358,2422,63,0.026011560693642
5503,2358,2422,63,0.026011560693642
5513,2358,2422,63,0.026011560693642
5516,2358,2422,63,0.026011560693642
5535,2358,2422,63,0.026011560693642
5540,2358,2422,63,0.026011560693642
5554,2358,2422,63,0.026011560693642
5561,2358,2422,63,0.026011560693642
5576,2358,2422,63,0.026011560693642
5584,2358,2422,63,0.026011560693642
5594,2358,2422,63,0.026011560693642
5602,2358,2422,63,0.026011560693642
5613,2358,2422,63,0.026011560693642
5626,2358,2422,63,0.026011560693642
5629,2358,2422,63,0.026011560693642
5639,2358,2422,63,0.026011560693642
5649,2358,2422,63,0.026011560693642
5661,2358,2422,63,0.026011560693642
5670,2358,2422,63,0.026011560693642
5676,2358,2422,63,0.026011560693642
5695,2358,2422,63,0.026011560693642
5703,2358,2422,63,0.026011560693642
5712,2358,2422,63,0.026011560693642
5727,2358,2422,63,0.026011560693642
5742,2358,2422,63,0.026011560693642
5745,2358,2422,63,0.026011560693642
5758,2358,2422,63,0.026011560693642
5764,2358,2422,63,0.026011560693642
5769,2358,2422,63,0.026011560693642
5777,2358,2422,63,0.026011560693642
5798,2358,2422,63,0.026011560693642
5809,2358,2422,63,0.026011560693642
5822,2358,2422,63,0.026011560693642
5824,2358,2422,63,0.026011560693642
5837,2358,2422,63,0.026011560693642
5843,2358,2422,63,0.026011560693642
5847,2358,2422,63,0.026011560693642
5861,2358,2422,63,0.026011560693642
5877,2358,2422,63,0.026011560693642
5882,2358,2422,63,0.026011560693642
5893,2358,2422,63,0.026011560693642
5899,2358,2422,63,0.026011560693642
5906,2358,2422,63,0.026011560693642
5919,2358,2422,63,0.026011560693642
5926,2358,2422,63,0.026011560693642
5936,2358,2422,63,0.026011560693642
5943,2358,2422,63,0.026011560693642
5958,2358,2422,63,0.026011560693642
5965,2358,2422,63,0.026011560693642
5975,2358,2422,63,0.026011560693642
5987,2358,2422,63,0.026011560693642
5997,2358,2422,63,0.026011560693642
6007,2358,2422,63,0.026011560693642
6020,2358,2422,63,0.026011560693642
6030,2358,2422,63,0.026011560693642
6033,2358,2422,63,0.026011560693642
6051,2358,2422,63,0.026011560693642
6058,2358,2422,63,0.026011560693642
6065,2358,2422,63,0.026011560693642
6072,2358,2422,63,0.026011560693642
6082,2358,2422,63,0.026011560693642
6098,2358,2422,63,0.026011560693642
6107,2358,2422,63,0.026011560693642
6112,2358,2422,63,0.026011560693642
6118,2358,2422,63,0.026011560693642
6125,2358,2422,63,0.026011560693642
6134,2358,2422,63,0.026011560693642
6146,2358,2422,63,0.026011560693642
6150,2358,2422,63,0.026011560693642
6159,2358,2422,63,0.026011560693642
6171,2358,2422,63,0.026011560693642
6176,2358,2422,63,0.026011560693642
6186,2358,2422,63,0.026011560693642
6189,2358,2422,63,0.026011560693642
6206,2358,2422,63,0.026011560693642
6213,2358,2422,63,0.026011560693642
6229,2358,2422,63,0.026011560693642
6243,2358,2422,63,0.026011560693642
6253,2358,2422,63,0.026011560693642
6254,2358,2422,63,0.026011560693642
6264,2358,2422,63,0.026011560693642
6271,2358,2422,63,0.026011560693642
6287,2358,2422,63,0.026011560693642
6294,2358,2422,63,0.026011560693642
6313,2358,2422,63,0.026011560693642
6318,2358,2422,63,0.026011560693642
6337,2358,2422,63,0.026011560693642
6352,2358,2422,63,0.026011560693642
6361,2358,2422,63,0.026011560693642
6370,2358,2422,63,0.026011560693642
6376,2358,2422,63,0.026011560693642
6388,2358,2422,63,0.026011560693642
6408,2358,2422,63,0.026011560693642
6414,2358,2422,63,0.026011560693642
6437,2358,2422,63,0.026011560693642
6446,2358,2422,63,0.026011560693642
6449,2358,2422,63,0.026011560693642
6458,2358,2422,63,0.026011560693642
6470,2358,2422,63,0.026011560693642
6485,2358,2422,63,0.026011560693642
6488,2358,2422,63,0.026011560693642
6500,2358,2422,63,0.026011560693642
6513,2358,2422,63,0.026011560693642
6517,2358,2422,63,0.026011560693642
6538,2358,2422,63,0.026011560693642
6545,2358,2422,63,0.026011560693642
6549,2358,2422,63,0.026011560693642
6563,2358,2422,63,0.026011560693642
6573,2358,2422,63,0.026011560693642
6581,2358,2422,63,0.026011560693642
6595,2358,2422,63,0.026011560693642
6605,2358,2422,63,0.026011560693642
6607,2358,2422,63,0.026011560693642
6613,2358,2422,63,0.026011560693642
6625,2358,2422,63,0.026011560693642
6639,2358,2422,63,0.026011560693642
6648,2358,2422,63,0.026011560693642
6657,2358,2422,63,0.026011560693642
6669,2358,2422,63,0.026011560693642
6679,2358,2422,63,0.026011560693642
6690,2358,2422,63,0.026011560693642
6710,2358,2422,63,0.026011560693642
6719,2358,2422,63,0.026011560693642
6721,2358,2422,63,0.026011560693642
6736,2358,2422,63,0.026011560693642
6741,2358,2422,63,0.026011560693642
6763,2358,2422,63,0.026011560693642
6769,2358,2422,63,0.026011560693642
6782,2358,2422,63,0.026011560693642
6789,2358,2422,63,0.026011560693642
6798,2358,2422,63,0.026011560693642
6805,2358,2422,63,0.026011560693642
6809,2358,2422,63,0.026011560693642
6830,2358,2422,63,0.026011560693642
6837,2358,2422,63,0.026011560693642
6850,2358,2422,63,0.026011560693642
6860,2358,2422,63,0.026011560693642
6869,2358,2422,63,0.026011560693642
6874,2358,2422,63,0.026011560693642
6889,2358,2422,63,0.026011560693642
6901,2358,2422,63,0.026011560693642
6908,2358,2422,63,0.026011560693642
6919,2358,2422,63,0.026011560693642
6929,2358,2422,63,0.026011560693642
6934,2358,2422,63,0.026011560693642
6944,2358,2422,63,0.026011560693642
6956,2358,2422,63,0.026011560693642
6971,2358,2422,63,0.026011560693642
6978,2358,2422,63,0.026011560693642
6992,2358,2422,63,0.026011560693642
7000,2358,2422,63,0.026011560693642
7010,2358,2422,63,0.026011560693642
7021,2358,2422,63,0.026011560693642
7030,2358,2422,63,0.026011560693642
7035,2358,2422,63,0.026011560693642
7050,2358,2422,63,0.026011560693642
7058,2358,2422,63,0.026011560693642
7067,2358,2422,63,0.026011560693642
7073,2358,2422,63,0.026011560693642
7085,2358,2422,63,0.026011560693642
7090,2358,2422,63,0.026011560693642
7103,2358,2422,63,0.026011560693642
7118,2358,2422,63,0.026011560693642
7122,2358,2422,63,0.026011560693642
7146,2358,2422,63,0.026011560693642
7150,2358,2422,63,0.026011560693642
7163,2358,2422,63,0.026011560693642
7172,2358,2422,63,0.026011560693642
7179,2358,2422,63,0.026011560693642
7185,2358,2422,63,0.026011560693642
7190,2358,2422,63,0.026011560693642
7199,2358,2422,63,0.026011560693642
7214,2358,2422,63,0.026011560693642
7220,2358,2422,63,0.026011560693642
7233,2358,2422,63,0.026011560693642
7246,2358,2422,63,0.026011560693642
7255,2358,2422,63,0.026011560693642
7266,2358,2422,63,0.026011560693642
7281,2358,2422,63,0.026011560693642
7290,2358,2422,63,0.026011560693642
7295,2358,2422,63,0.026011560693642
7308,2358,2422,63,0.026011560693642
7315,2358,2422,63,0.026011560693642
7326,2358,2422,63,0.026011560693642
7336,2358,2422,63,0.026011560693642
7355,2358,2422,63,0.026011560693642
7362,2358,2422,63,0.026011560693642
7373,2358,2422,63,0.026011560693642
7385,2358,2422,63,0.026011560693642
7398,2358,2422,63,0.026011560693642
7406,2358,2422,63,0.026011560693642
7410,2358,2422,63,0.026011560693642
7427,2358,2422,63,0.026011560693642
