Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
1000,1138,2438,1299,0.532813781788351
2000,1139,2425,1285,0.529896907216495
3000,1137,2434,1296,0.532456861133936
4000,1142,2430,1287,0.52962962962963
5000,1138,2438,1299,0.532813781788351
6000,2192,2425,232,0.095670103092784
7000,1138,2422,1283,0.52972749793559
8000,1139,2463,1323,0.53714981729598
9000,2220,2650,429,0.16188679245283
10000,1144,2854,1709,0.598808689558514
11000,-1,3042,3042,1
7,1137,2434,1296,0.532456861133936
8,1136,2422,1285,0.530553261767135
9,1286,2420,1133,0.468181818181818
10,1139,2425,1285,0.529896907216495
11,2192,2425,232,0.095670103092784
12,1289,2437,1147,0.470660648338121
13,1138,2438,1299,0.532813781788351
14,1137,2434,1296,0.532456861133936
15,1351,2426,1074,0.442704039571311
16,1289,2437,1147,0.470660648338121
17,1351,2426,1074,0.442704039571311
18,1138,2438,1299,0.532813781788351
19,1136,2422,1285,0.530553261767135
20,1142,2430,1287,0.52962962962963
21,1286,2420,1133,0.468181818181818
22,1351,2426,1074,0.442704039571311
23,1142,2430,1287,0.52962962962963
24,1138,2438,1299,0.532813781788351
25,2192,2425,232,0.095670103092784
26,1139,2425,1285,0.529896907216495
27,1142,2430,1287,0.52962962962963
28,1289,2437,1147,0.470660648338121
29,1138,2438,1299,0.532813781788351
30,1137,2434,1296,0.532456861133936
31,1139,2433,1293,0.531442663378545
32,2192,2425,232,0.095670103092784
33,1136,2422,1285,0.530553261767135
34,1142,2430,1287,0.52962962962963
35,1286,2420,1133,0.468181818181818
36,1137,2434,1296,0.532456861133936
37,1137,2434,1296,0.532456861133936
38,1139,2425,1285,0.529896907216495
39,1136,2422,1285,0.530553261767135
40,1351,2426,1074,0.442704039571311
41,1289,2437,1147,0.470660648338121
42,1137,2434,1296,0.532456861133936
43,1139,2433,1293,0.531442663378545
44,1138,2438,1299,0.532813781788351
45,1351,2426,1074,0.442704039571311
46,1142,2430,1287,0.52962962962963
47,2192,2425,232,0.095670103092784
48,1138,2438,1299,0.532813781788351
49,1286,2420,1133,0.468181818181818
50,1136,2422,1285,0.530553261767135
51,1139,2425,1285,0.529896907216495
52,2192,2425,232,0.095670103092784
53,1289,2437,1147,0.470660648338121
54,1137,2434,1296,0.532456861133936
55,1139,2433,1293,0.531442663378545
56,1351,2426,1074,0.442704039571311
57,2192,2425,232,0.095670103092784
58,1142,2430,1287,0.52962962962963
59,1286,2420,1133,0.468181818181818
60,1138,2438,1299,0.532813781788351
61,2192,2425,232,0.095670103092784
62,1289,2437,1147,0.470660648338121
63,1139,2425,1285,0.529896907216495
64,1136,2422,1285,0.530553261767135
65,1139,2425,1285,0.529896907216495
66,1137,2434,1296,0.532456861133936
67,1139,2433,1293,0.531442663378545
68,1351,2426,1074,0.442704039571311
69,1138,2438,1299,0.532813781788351
70,1142,2430,1287,0.52962962962963
71,1137,2434,1296,0.532456861133936
72,1286,2420,1133,0.468181818181818
73,1289,2437,1147,0.470660648338121
74,1139,2425,1285,0.529896907216495
75,2192,2425,232,0.095670103092784
76,1139,2425,1285,0.529896907216495
77,1136,2422,1285,0.530553261767135
78,1139,2433,1293,0.531442663378545
79,1351,2426,1074,0.442704039571311
80,2192,2425,232,0.095670103092784
81,1142,2430,1287,0.52962962962963
82,1137,2434,1296,0.532456861133936
83,1286,2420,1133,0.468181818181818
84,1289,2437,1147,0.470660648338121
85,1138,2438,1299,0.532813781788351
86,1136,2422,1285,0.530553261767135
87,1142,2430,1287,0.52962962962963
88,1351,2426,1074,0.442704039571311
89,1289,2437,1147,0.470660648338121
90,2192,2425,232,0.095670103092784
91,1139,2425,1285,0.529896907216495
92,1138,2438,1299,0.532813781788351
93,1286,2420,1133,0.468181818181818
94,1139,2433,1293,0.531442663378545
95,1286,2420,1133,0.468181818181818
96,1289,2437,1147,0.470660648338121
97,1142,2430,1287,0.52962962962963
98,1138,2438,1299,0.532813781788351
99,1137,2434,1296,0.532456861133936
100,1142,2430,1287,0.52962962962963
101,1136,2422,1285,0.530553261767135
102,1136,2422,1285,0.530553261767135
103,2192,2425,232,0.095670103092784
104,1138,2438,1299,0.532813781788351
105,1142,2430,1287,0.52962962962963
106,1351,2426,1074,0.442704039571311
107,1139,2425,1285,0.529896907216495
108,1139,2433,1293,0.531442663378545
109,1139,2433,1293,0.531442663378545
110,1286,2420,1133,0.468181818181818
111,1142,2430,1287,0.52962962962963
112,1138,2438,1299,0.532813781788351
113,1289,2437,1147,0.470660648338121
114,1351,2426,1074,0.442704039571311
115,2192,2425,232,0.095670103092784
116,1138,2438,1299,0.532813781788351
117,1137,2434,1296,0.532456861133936
118,1139,2433,1293,0.531442663378545
119,1139,2425,1285,0.529896907216495
