Solution index,Edge index,Total cell-cell edges,Edges colored
16000,3970,4044,74
2010,2367,2420,53
2016,2367,2420,53
2032,2367,2420,53
2045,2367,2420,53
2046,2367,2420,53
2055,2367,2420,53
2076,2367,2420,53
2086,2367,2420,53
2098,2367,2420,53
2109,2367,2420,53
2119,2367,2420,53
2125,2367,2420,53
2143,2367,2420,53
2152,2367,2420,53
2158,2367,2420,53
2171,2367,2420,53
2179,2367,2420,53
2191,2367,2420,53
2197,2367,2420,53
2213,2367,2420,53
2222,2367,2420,53
2236,2367,2420,53
2240,2367,2420,53
2251,2367,2420,53
2265,2367,2420,53
2271,2367,2420,53
2279,2367,2420,53
2297,2367,2420,53
2305,2367,2420,53
2310,2367,2420,53
2323,2367,2420,53
2327,2367,2420,53
2334,2367,2420,53
2347,2367,2420,53
2351,2367,2420,53
2365,2367,2420,53
2380,2367,2420,53
2388,2367,2420,53
2401,2367,2420,53
2405,2367,2420,53
2413,2367,2420,53
2419,2367,2420,53
2430,2367,2420,53
2440,2367,2420,53
2444,2367,2420,53
2452,2367,2420,53
2467,2367,2420,53
2474,2367,2420,53
2484,2367,2420,53
2497,2367,2420,53
2521,2367,2420,53
2534,2367,2420,53
2544,2367,2420,53
2555,2367,2420,53
2561,2367,2420,53
2572,2367,2420,53
2577,2367,2420,53
2587,2367,2420,53
2590,2367,2420,53
2607,2367,2420,53
2614,2367,2420,53
2624,2367,2420,53
2629,2367,2420,53
2641,2367,2420,53
2647,2367,2420,53
2668,2367,2420,53
2679,2367,2420,53
2690,2367,2420,53
2691,2367,2420,53
2708,2367,2420,53
2732,2367,2420,53
2744,2367,2420,53
2770,2367,2420,53
2783,2367,2420,53
2790,2367,2420,53
2808,2367,2420,53
2818,2367,2420,53
2837,2367,2420,53
2846,2367,2420,53
2852,2367,2420,53
2864,2367,2420,53
2882,2367,2420,53
2890,2367,2420,53
2900,2367,2420,53
2911,2367,2420,53
2927,2367,2420,53
2933,2367,2420,53
2939,2367,2420,53
2949,2367,2420,53
2960,2367,2420,53
3003,2372,2425,53
3015,2372,2425,53
3022,2372,2425,53
3026,2372,2425,53
3043,2372,2425,53
3048,2372,2425,53
3057,2372,2425,53
3072,2372,2425,53
3075,2372,2425,53
3094,2372,2425,53
3112,2372,2425,53
3114,2372,2425,53
3125,2372,2425,53
3137,2372,2425,53
3149,2372,2425,53
3154,2372,2425,53
3166,2372,2425,53
3173,2372,2425,53
3180,2372,2425,53
3189,2372,2425,53
3197,2372,2425,53
3208,2372,2425,53
3210,2372,2425,53
3224,2372,2425,53
3237,2372,2425,53
3258,2372,2425,53
3266,2372,2425,53
3277,2372,2425,53
3288,2372,2425,53
3296,2372,2425,53
3311,2372,2425,53
3316,2372,2425,53
3326,2372,2425,53
3338,2372,2425,53
3349,2372,2425,53
3370,2372,2425,53
3378,2372,2425,53
3386,2372,2425,53
3389,2372,2425,53
3402,2372,2425,53
3413,2372,2425,53
3421,2372,2425,53
3431,2372,2425,53
3445,2372,2425,53
3457,2372,2425,53
3462,2372,2425,53
3475,2372,2425,53
3481,2372,2425,53
3491,2372,2425,53
3505,2372,2425,53
3534,2372,2425,53
3541,2372,2425,53
3549,2372,2425,53
3557,2372,2425,53
3563,2372,2425,53
3567,2372,2425,53
3580,2372,2425,53
3599,2372,2425,53
3604,2372,2425,53
3621,2372,2425,53
3625,2372,2425,53
3635,2372,2425,53
3641,2372,2425,53
3654,2372,2425,53
3659,2372,2425,53
3666,2372,2425,53
3673,2372,2425,53
3684,2372,2425,53
3687,2372,2425,53
3701,2372,2425,53
3712,2372,2425,53
3720,2372,2425,53
3724,2372,2425,53
3742,2372,2425,53
3755,2372,2425,53
3766,2372,2425,53
3776,2372,2425,53
3783,2372,2425,53
3792,2372,2425,53
3802,2372,2425,53
3813,2372,2425,53
3814,2372,2425,53
3838,2372,2425,53
3851,2372,2425,53
3857,2372,2425,53
3872,2372,2425,53
3883,2372,2425,53
3900,2372,2425,53
3906,2372,2425,53
3919,2372,2425,53
3923,2372,2425,53
3933,2372,2425,53
3948,2372,2425,53
3950,2372,2425,53
3964,2372,2425,53
3971,2372,2425,53
3985,2372,2425,53
3990,2372,2425,53
4001,2372,2425,53
4002,2372,2425,53
4015,2372,2425,53
4016,2372,2425,53
4039,2372,2425,53
4045,2372,2425,53
4057,2372,2425,53
4072,2372,2425,53
4095,2372,2425,53
4106,2372,2425,53
4109,2372,2425,53
4119,2372,2425,53
4138,2372,2425,53
4145,2372,2425,53
4151,2372,2425,53
4161,2372,2425,53
4173,2372,2425,53
4179,2372,2425,53
4187,2372,2425,53
2006,2373,2425,52
2021,2373,2425,52
2033,2373,2425,52
2043,2373,2425,52
2047,2373,2425,52
2053,2373,2425,52
2072,2373,2425,52
2079,2373,2425,52
2084,2373,2425,52
2091,2373,2425,52
2099,2373,2425,52
2112,2373,2425,52
2127,2373,2425,52
2135,2373,2425,52
2155,2373,2425,52
2174,2373,2425,52
2177,2373,2425,52
2188,2373,2425,52
2203,2373,2425,52
2214,2373,2425,52
2216,2373,2425,52
2226,2373,2425,52
2232,2373,2425,52
2250,2373,2425,52
2254,2373,2425,52
2268,2373,2425,52
2275,2373,2425,52
2282,2373,2425,52
2288,2373,2425,52
2304,2373,2425,52
2320,2373,2425,52
2330,2373,2425,52
2340,2373,2425,52
2349,2373,2425,52
2360,2373,2425,52
2367,2373,2425,52
2373,2373,2425,52
2396,2373,2425,52
2412,2373,2425,52
2423,2373,2425,52
2428,2373,2425,52
2433,2373,2425,52
2448,2373,2425,52
2453,2373,2425,52
2460,2373,2425,52
2465,2373,2425,52
2485,2373,2425,52
2494,2373,2425,52
2502,2373,2425,52
2508,2373,2425,52
2520,2373,2425,52
2539,2373,2425,52
2546,2373,2425,52
2550,2373,2425,52
2562,2373,2425,52
2567,2373,2425,52
2582,2373,2425,52
2585,2373,2425,52
2602,2373,2425,52
2613,2373,2425,52
2628,2373,2425,52
2631,2373,2425,52
2644,2373,2425,52
2652,2373,2425,52
2655,2373,2425,52
2662,2373,2425,52
2677,2373,2425,52
2683,2373,2425,52
2687,2373,2425,52
2704,2373,2425,52
2711,2373,2425,52
2718,2373,2425,52
2727,2373,2425,52
2746,2373,2425,52
2753,2373,2425,52
2764,2373,2425,52
2765,2373,2425,52
2778,2373,2425,52
2787,2373,2425,52
2798,2373,2425,52
2814,2373,2425,52
2834,2373,2425,52
2838,2373,2425,52
2847,2373,2425,52
2851,2373,2425,52
2860,2373,2425,52
2883,2373,2425,52
2886,2373,2425,52
2894,2373,2425,52
2906,2373,2425,52
2916,2373,2425,52
2929,2373,2425,52
2932,2373,2425,52
2940,2373,2425,52
2954,2373,2425,52
2961,2373,2425,52
3012,2368,2420,52
3019,2368,2420,52
3033,2368,2420,52
3039,2368,2420,52
3044,2368,2420,52
3052,2368,2420,52
3060,2368,2420,52
3064,2368,2420,52
3076,2368,2420,52
3084,2368,2420,52
3092,2368,2420,52
3103,2368,2420,52
3127,2368,2420,52
3139,2368,2420,52
3151,2368,2420,52
3157,2368,2420,52
3172,2368,2420,52
3179,2368,2420,52
3192,2368,2420,52
3198,2368,2420,52
3209,2368,2420,52
3215,2368,2420,52
3217,2368,2420,52
3227,2368,2420,52
3233,2368,2420,52
3246,2368,2420,52
3263,2368,2420,52
3270,2368,2420,52
3283,2368,2420,52
3289,2368,2420,52
3295,2368,2420,52
3310,2368,2420,52
3323,2368,2420,52
3341,2368,2420,52
3342,2368,2420,52
3351,2368,2420,52
3361,2368,2420,52
3365,2368,2420,52
3372,2368,2420,52
3387,2368,2420,52
3390,2368,2420,52
3412,2368,2420,52
3425,2368,2420,52
3447,2368,2420,52
3458,2368,2420,52
3460,2368,2420,52
3472,2368,2420,52
3477,2368,2420,52
3484,2368,2420,52
3494,2368,2420,52
3499,2368,2420,52
3513,2368,2420,52
3520,2368,2420,52
3528,2368,2420,52
3546,2368,2420,52
3553,2368,2420,52
3558,2368,2420,52
3574,2368,2420,52
3579,2368,2420,52
3593,2368,2420,52
3603,2368,2420,52
3611,2368,2420,52
3618,2368,2420,52
3630,2368,2420,52
3633,2368,2420,52
3650,2368,2420,52
3668,2368,2420,52
3675,2368,2420,52
3681,2368,2420,52
3689,2368,2420,52
3696,2368,2420,52
3700,2368,2420,52
3715,2368,2420,52
3735,2368,2420,52
3739,2368,2420,52
3751,2368,2420,52
3760,2368,2420,52
3770,2368,2420,52
3785,2368,2420,52
3786,2368,2420,52
3801,2368,2420,52
3804,2368,2420,52
3820,2368,2420,52
3826,2368,2420,52
3830,2368,2420,52
3837,2368,2420,52
3847,2368,2420,52
3863,2368,2420,52
3874,2368,2420,52
3879,2368,2420,52
3895,2368,2420,52
3914,2368,2420,52
3922,2368,2420,52
3934,2368,2420,52
3941,2368,2420,52
3956,2368,2420,52
3978,2368,2420,52
3984,2368,2420,52
4003,2368,2420,52
4028,2368,2420,52
4034,2368,2420,52
4050,2368,2420,52
4059,2368,2420,52
4064,2368,2420,52
4069,2368,2420,52
4077,2368,2420,52
4086,2368,2420,52
4098,2368,2420,52
4107,2368,2420,52
4112,2368,2420,52
4118,2368,2420,52
4131,2368,2420,52
4135,2368,2420,52
4149,2368,2420,52
4166,2368,2420,52
4175,2368,2420,52
4186,2368,2420,52
2861,2387,2438,51
2875,2387,2438,51
2887,2387,2438,51
2896,2387,2438,51
2903,2387,2438,51
2924,2387,2438,51
2936,2387,2438,51
2947,2387,2438,51
2957,2387,2438,51
2965,2387,2438,51
3006,2387,2438,51
3009,2387,2438,51
3023,2387,2438,51
3028,2387,2438,51
3035,2387,2438,51
3054,2387,2438,51
3058,2387,2438,51
3067,2387,2438,51
3081,2387,2438,51
3088,2387,2438,51
3099,2387,2438,51
3105,2387,2438,51
3117,2387,2438,51
3134,2387,2438,51
3142,2387,2438,51
3147,2387,2438,51
3155,2387,2438,51
3161,2387,2438,51
3174,2387,2438,51
3177,2387,2438,51
3190,2387,2438,51
3200,2387,2438,51
3207,2387,2438,51
3223,2387,2438,51
3241,2387,2438,51
3245,2387,2438,51
3259,2387,2438,51
3269,2387,2438,51
3279,2387,2438,51
3291,2387,2438,51
3298,2387,2438,51
3314,2387,2438,51
3319,2387,2438,51
3327,2387,2438,51
3336,2387,2438,51
3343,2387,2438,51
3350,2387,2438,51
3358,2387,2438,51
3367,2387,2438,51
3384,2387,2438,51
3391,2387,2438,51
3401,2387,2438,51
3410,2387,2438,51
3417,2387,2438,51
3426,2387,2438,51
3435,2387,2438,51
3446,2387,2438,51
3452,2387,2438,51
3471,2387,2438,51
3476,2387,2438,51
3489,2387,2438,51
3492,2387,2438,51
3511,2387,2438,51
3519,2387,2438,51
3531,2387,2438,51
3540,2387,2438,51
3547,2387,2438,51
3565,2387,2438,51
3568,2387,2438,51
3578,2387,2438,51
3585,2387,2438,51
3597,2387,2438,51
3607,2387,2438,51
3609,2387,2438,51
3628,2387,2438,51
3634,2387,2438,51
3645,2387,2438,51
3657,2387,2438,51
3663,2387,2438,51
3670,2387,2438,51
3691,2387,2438,51
3698,2387,2438,51
3703,2387,2438,51
3717,2387,2438,51
3726,2387,2438,51
3734,2387,2438,51
3744,2387,2438,51
3747,2387,2438,51
3756,2387,2438,51
3762,2387,2438,51
3772,2387,2438,51
3779,2387,2438,51
3791,2387,2438,51
3794,2387,2438,51
3806,2387,2438,51
3807,2387,2438,51
3822,2387,2438,51
3833,2387,2438,51
3845,2387,2438,51
