Solution index,Edge index,Total cell-cell edges,Edges colored
9436,2656,2734,77
9417,2654,2730,75
9428,2655,2731,75
9434,2658,2734,75
9285,2638,2699,60
9292,2639,2700,60
9298,2640,2701,60
9311,2642,2703,60
9315,2643,2704,60
9326,2644,2705,60
9337,2646,2707,60
9346,2648,2709,60
9361,2650,2711,60
9371,2652,2713,60
9380,2654,2715,60
9387,2655,2716,60
9400,2657,2718,60
9412,2659,2720,60
9418,2660,2721,60
9426,2661,2722,60
9402,2654,2726,71
9408,2655,2727,71
4835,2372,2422,49
4842,2372,2422,49
4851,2372,2422,49
4861,2372,2422,49
4870,2372,2422,49
4875,2372,2422,49
4887,2372,2422,49
4910,2372,2422,49
4920,2372,2422,49
15000,3787,3845,57
15001,3742,3847,104
15002,3781,3848,66
15003,3782,3849,66
15004,3791,3849,57
15005,3794,3847,52
15006,3740,3848,107
15007,3742,3849,106
15008,3787,3847,59
15009,3781,3850,68
15010,3756,3850,93
15011,3742,3850,107
15012,3783,3850,66
15013,3784,3851,66
15014,3744,3849,104
15015,3796,3849,52
15016,3793,3851,57
15017,3789,3849,59
15018,3758,3852,93
15019,3744,3851,106
15020,3783,3852,68
