Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
6000,9225,9710,484,0.04984552008238929
6100,9041,9716,674,0.06937011115685467
6200,9650,9842,191,0.019406624669782564
6300,9403,9904,500,0.05048465266558966
6400,9463,9965,501,0.05027596588058204
6500,9829,10024,194,0.019353551476456503
6600,9888,10083,194,0.01924030546464346
6700,9634,10154,519,0.05111286192633445
6800,9456,10131,674,0.06652847695192972
6900,9755,10286,530,0.05152634649037527
7000,9579,10254,674,0.06573044665496391
7100,9887,10423,535,0.0513287920944066
7200,9947,10488,540,0.05148741418764302
7300,10010,10553,542,0.051359802899649386
7400,10379,10595,215,0.020292590844738084
7500,10121,10678,556,0.052069675969282636
7600,10500,10723,222,0.020703161428704653
7700,10238,10805,566,0.05238315594632115
7800,10298,10873,574,0.05279131794352984
7900,10696,10925,228,0.020869565217391306
8000,10759,10991,231,0.021017195887544353
8100,10485,11070,584,0.05275519421860885
8200,10890,11126,235,0.021121696926119
8300,10950,11191,240,0.021445804664462515
8400,11011,11255,243,0.021590404264771212
8500,10524,11199,674,0.06018394499508885
8600,11132,11383,250,0.02196257577088641
8700,11193,11448,254,0.022187281621243886
8800,10714,11389,674,0.05917991043989815
8900,11312,11576,263,0.022719419488597098
9000,11375,11640,264,0.02268041237113402
9100,10790,11717,926,0.07903046854997013
9200,11496,11770,273,0.023194562446898895
9300,11558,11836,277,0.023403176748901657
9400,11096,11771,674,0.0572593662390621
9500,11688,11968,279,0.02331216577540107
9600,10477,12037,1559,0.12951732159175874
9700,11269,11966,696,0.05816480026742437
9800,11134,12175,1040,0.08542094455852156
9900,10644,12235,1590,0.12995504699632202
10000,7661,12162,4500,0.370004933399112
