Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
0,1112,6510,5397,0.8290322580645161
0,1112,6510,5397,0.8290322580645161
200,1110,6510,5399,0.8293394777265745
400,2402,6652,4249,0.638755261575466
600,1101,6713,5611,0.8358409057053479
800,1111,6510,5398,0.8291858678955453
1000,1111,6510,5398,0.8291858678955453
1200,1100,6713,5612,0.835989870400715
1400,1102,6744,5641,0.836447212336892
1600,1112,6980,5867,0.8405444126074498
1800,1114,7049,5934,0.8418215349694992
2000,1119,7158,6038,0.8435317127689299
2200,1119,7276,6156,0.8460692688290269
2400,1110,7387,6276,0.8496006497901719
2600,1109,7595,6485,0.8538512179065174
