Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
840,3,6653,6649,0.9993987674733203
870,3,6653,6649,0.9993987674733203
900,3,6653,6649,0.9993987674733203
930,1105,6643,5537,0.8335089567966281
960,1105,6643,5537,0.8335089567966281
990,1104,6643,5538,0.8336594911937377
1020,1105,6643,5537,0.8335089567966281
1050,1107,6567,5459,0.8312776001218213
1080,4,6653,6648,0.9992484593416504
1110,1105,6584,5478,0.8320170109356014
1140,1106,6643,5536,0.8333584223995183
1170,1105,6643,5537,0.8335089567966281
1200,3,6653,6649,0.9993987674733203
1230,3,6659,6655,0.9993993092055864
1260,3,6685,6681,0.9994016454749439
1290,1105,6678,5572,0.8343815513626834
1320,1105,6707,5601,0.8350976591620695
1350,1105,6729,5623,0.8356367959577946
1380,1105,6749,5643,0.8361238702029931
1410,-1,6863,6863,1.0
