Gate,InputSignals,OutputSignals
18023,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '18610', 'Color': 'gray'}]"
18607,"[{'LastGateID': '18606', 'Color': 'black'}]","[{'NextGateID': '18608', 'Color': 'color7'}, {'NextGateID': '18610', 'Color': 'gray'}]"
18610,"[{'LastGateID': '18023', 'Color': 'gray'}, {'LastGateID': '18607', 'Color': 'gray'}]","[{'NextGateID': '18611', 'Color': 'color3'}, {'NextGateID': '18612', 'Color': 'color5'}]"
18024,"[{'LastGateID': 'Input Signal', 'Color': 'black'}]","[{'NextGateID': '18608', 'Color': 'gray'}]"
18608,"[{'LastGateID': '18024', 'Color': 'gray'}, {'LastGateID': '18607', 'Color': 'color7'}]","[{'NextGateID': '18609', 'Color': 'color3'}, {'NextGateID': '18612', 'Color': 'color6'}, {'NextGateID': '22225', 'Color': 'color3'}, {'NextGateID': '22239', 'Color': 'color3'}, {'NextGateID': '22247', 'Color': 'color3'}, {'NextGateID': '22252', 'Color': 'color3'}, {'NextGateID': '22257', 'Color': 'color3'}, {'NextGateID': '22266', 'Color': 'color3'}, {'NextGateID': '22272', 'Color': 'color3'}, {'NextGateID': '22277', 'Color': 'color3'}, {'NextGateID': '22283', 'Color': 'color3'}, {'NextGateID': '22289', 'Color': 'color3'}, {'NextGateID': '22303', 'Color': 'color3'}, {'NextGateID': '22308', 'Color': 'color3'}, {'NextGateID': '22317', 'Color': 'color3'}, {'NextGateID': '22326', 'Color': 'color3'}, {'NextGateID': '22331', 'Color': 'color3'}, {'NextGateID': '22337', 'Color': 'color3'}, {'NextGateID': '22343', 'Color': 'color3'}, {'NextGateID': '22349', 'Color': 'color3'}, {'NextGateID': '22354', 'Color': 'color3'}, {'NextGateID': '22360', 'Color': 'color3'}, {'NextGateID': '22365', 'Color': 'color3'}, {'NextGateID': '22371', 'Color': 'color3'}, {'NextGateID': '22381', 'Color': 'color3'}, {'NextGateID': '22386', 'Color': 'color3'}, {'NextGateID': '22391', 'Color': 'color3'}, {'NextGateID': '22397', 'Color': 'color3'}, {'NextGateID': '22403', 'Color': 'color3'}, {'NextGateID': '22408', 'Color': 'color3'}, {'NextGateID': '22413', 'Color': 'color3'}, {'NextGateID': '22423', 'Color': 'color3'}, {'NextGateID': '22433', 'Color': 'color3'}, {'NextGateID': '22439', 'Color': 'color3'}, {'NextGateID': '22444', 'Color': 'color3'}, {'NextGateID': '22449', 'Color': 'color3'}, {'NextGateID': '22455', 'Color': 'color3'}, {'NextGateID': '22460', 'Color': 'color3'}, {'NextGateID': '22469', 'Color': 'color3'}, {'NextGateID': '22475', 'Color': 'color3'}, {'NextGateID': '22481', 'Color': 'color3'}, {'NextGateID': '22486', 'Color': 'color3'}, {'NextGateID': '22495', 'Color': 'color3'}, {'NextGateID': '22500', 'Color': 'color3'}, {'NextGateID': '22505', 'Color': 'color3'}, {'NextGateID': '22510', 'Color': 'color3'}, {'NextGateID': '22516', 'Color': 'color3'}, {'NextGateID': '22521', 'Color': 'color3'}, {'NextGateID': '22526', 'Color': 'color3'}, {'NextGateID': '22536', 'Color': 'color3'}, {'NextGateID': '22541', 'Color': 'color3'}, {'NextGateID': '22546', 'Color': 'color4'}, {'NextGateID': '22551', 'Color': 'color3'}, {'NextGateID': '22560', 'Color': 'color3'}, {'NextGateID': '22569', 'Color': 'color3'}, {'NextGateID': '22574', 'Color': 'color3'}, {'NextGateID': '22579', 'Color': 'color4'}, {'NextGateID': '22592', 'Color': 'color3'}, {'NextGateID': '22597', 'Color': 'color3'}, {'NextGateID': '22606', 'Color': 'color3'}, {'NextGateID': '22611', 'Color': 'color3'}, {'NextGateID': '22616', 'Color': 'color3'}, {'NextGateID': '22621', 'Color': 'color5'}, {'NextGateID': '22626', 'Color': 'color3'}, {'NextGateID': '22635', 'Color': 'color3'}, {'NextGateID': '22644', 'Color': 'gray'}, {'NextGateID': '22649', 'Color': 'color3'}, {'NextGateID': '22654', 'Color': 'color3'}, {'NextGateID': '22663', 'Color': 'color3'}, {'NextGateID': '22672', 'Color': 'color3'}, {'NextGateID': '22677', 'Color': 'color3'}, {'NextGateID': '22687', 'Color': 'color3'}, {'NextGateID': '22692', 'Color': 'color3'}, {'NextGateID': '22697', 'Color': 'color3'}, {'NextGateID': '22702', 'Color': 'color3'}, {'NextGateID': '22707', 'Color': 'color5'}, {'NextGateID': '22711', 'Color': 'color3'}, {'NextGateID': '22843', 'Color': 'color3'}, {'NextGateID': '22950', 'Color': 'color3'}, {'NextGateID': '23067', 'Color': 'color4'}, {'NextGateID': '23184', 'Color': 'color3'}, {'NextGateID': '23303', 'Color': 'color4'}, {'NextGateID': '23420', 'Color': 'color3'}, {'NextGateID': '23655', 'Color': 'color3'}, {'NextGateID': '23891', 'Color': 'color3'}, {'NextGateID': '24017', 'Color': 'color3'}, {'NextGateID': '24138', 'Color': 'color3'}, {'NextGateID': '24381', 'Color': 'color3'}, {'NextGateID': '24742', 'Color': 'color4'}, {'NextGateID': '24861', 'Color': 'color4'}, {'NextGateID': '24982', 'Color': 'color3'}, {'NextGateID': '25339', 'Color': 'color3'}, {'NextGateID': '25462', 'Color': 'color3'}, {'NextGateID': '25583', 'Color': 'color3'}, {'NextGateID': '25704', 'Color': 'color3'}, {'NextGateID': '25827', 'Color': 'color3'}, {'NextGateID': '25950', 'Color': 'color3'}, {'NextGateID': '26192', 'Color': 'color3'}, {'NextGateID': '26432', 'Color': 'color3'}, {'NextGateID': '26573', 'Color': 'color3'}, {'NextGateID': '26578', 'Color': 'color3'}, {'NextGateID': '26588', 'Color': 'color3'}, {'NextGateID': '26594', 'Color': 'color3'}, {'NextGateID': '26600', 'Color': 'color3'}, {'NextGateID': '26614', 'Color': 'color3'}, {'NextGateID': '26623', 'Color': 'color3'}, {'NextGateID': '26628', 'Color': 'color3'}, {'NextGateID': '26634', 'Color': 'color3'}, {'NextGateID': '26639', 'Color': 'color3'}, {'NextGateID': '26645', 'Color': 'color3'}, {'NextGateID': '26650', 'Color': 'color3'}, {'NextGateID': '26655', 'Color': 'color3'}, {'NextGateID': '26661', 'Color': 'color3'}, {'NextGateID': '26667', 'Color': 'color3'}, {'NextGateID': '26673', 'Color': 'color3'}, {'NextGateID': '26686', 'Color': 'color3'}, {'NextGateID': '26696', 'Color': 'color3'}, {'NextGateID': '26701', 'Color': 'color3'}, {'NextGateID': '26715', 'Color': 'color3'}, {'NextGateID': '26725', 'Color': 'color3'}, {'NextGateID': '26735', 'Color': 'gray'}, {'NextGateID': '26741', 'Color': 'color3'}, {'NextGateID': '26746', 'Color': 'color3'}, {'NextGateID': '26756', 'Color': 'color3'}, {'NextGateID': '26761', 'Color': 'color3'}, {'NextGateID': '26766', 'Color': 'color5'}, {'NextGateID': '26776', 'Color': 'color3'}, {'NextGateID': '26781', 'Color': 'color3'}, {'NextGateID': '26786', 'Color': 'color4'}, {'NextGateID': '26791', 'Color': 'color3'}, {'NextGateID': '26797', 'Color': 'color3'}, {'NextGateID': '26802', 'Color': 'color3'}, {'NextGateID': '26808', 'Color': 'color3'}, {'NextGateID': '26814', 'Color': 'color3'}, {'NextGateID': '26823', 'Color': 'color3'}, {'NextGateID': '26828', 'Color': 'color3'}, {'NextGateID': '26833', 'Color': 'color3'}, {'NextGateID': '26838', 'Color': 'color3'}, {'NextGateID': '26844', 'Color': 'color3'}, {'NextGateID': '26850', 'Color': 'color3'}, {'NextGateID': '26867', 'Color': 'color3'}, {'NextGateID': '26872', 'Color': 'color3'}, {'NextGateID': '26896', 'Color': 'color3'}, {'NextGateID': '26901', 'Color': 'color3'}, {'NextGateID': '26907', 'Color': 'color3'}, {'NextGateID': '26928', 'Color': 'color3'}, {'NextGateID': '26933', 'Color': 'color3'}, {'NextGateID': '26938', 'Color': 'color3'}, {'NextGateID': '26944', 'Color': 'color3'}, {'NextGateID': '26949', 'Color': 'color3'}, {'NextGateID': '26954', 'Color': 'color3'}, {'NextGateID': '26959', 'Color': 'color3'}, {'NextGateID': '26964', 'Color': 'color3'}, {'NextGateID': '26970', 'Color': 'color3'}, {'NextGateID': '26975', 'Color': 'color3'}, {'NextGateID': '26980', 'Color': 'color3'}, {'NextGateID': '26986', 'Color': 'color3'}, {'NextGateID': '26991', 'Color': 'color3'}, {'NextGateID': '26996', 'Color': 'color3'}, {'NextGateID': '27002', 'Color': 'color3'}, {'NextGateID': '27008', 'Color': 'color3'}, {'NextGateID': '27017', 'Color': 'color3'}, {'NextGateID': '27023', 'Color': 'color3'}, {'NextGateID': '27028', 'Color': 'color3'}, {'NextGateID': '27033', 'Color': 'color3'}, {'NextGateID': '27052', 'Color': 'color3'}, {'NextGateID': '27056', 'Color': 'color4'}, {'NextGateID': '27085', 'Color': 'color3'}, {'NextGateID': '27120', 'Color': 'color4'}, {'NextGateID': '27159', 'Color': 'color3'}, {'NextGateID': '27198', 'Color': 'color4'}, {'NextGateID': '27237', 'Color': 'color4'}, {'NextGateID': '27276', 'Color': 'color3'}, {'NextGateID': '27315', 'Color': 'color3'}, {'NextGateID': '27429', 'Color': 'color3'}, {'NextGateID': '27433', 'Color': 'color3'}, {'NextGateID': '27476', 'Color': 'color3'}, {'NextGateID': '27517', 'Color': 'color3'}, {'NextGateID': '27558', 'Color': 'color4'}, {'NextGateID': '27599', 'Color': 'color3'}, {'NextGateID': '27642', 'Color': 'color3'}, {'NextGateID': '27683', 'Color': 'color3'}, {'NextGateID': '27764', 'Color': 'color3'}, {'NextGateID': '27807', 'Color': 'color3'}, {'NextGateID': '28009', 'Color': 'color4'}, {'NextGateID': '28050', 'Color': 'color4'}, {'NextGateID': '28127', 'Color': 'color3'}, {'NextGateID': '28204', 'Color': 'color4'}, {'NextGateID': '28282', 'Color': 'color3'}, {'NextGateID': '28325', 'Color': 'color3'}, {'NextGateID': '28433', 'Color': 'color3'}, {'NextGateID': '28461', 'Color': 'color4'}, {'NextGateID': '28474', 'Color': 'color4'}, {'NextGateID': '28512', 'Color': 'color5'}, {'NextGateID': '28605', 'Color': 'color4'}, {'NextGateID': '28620', 'Color': 'color4'}, {'NextGateID': '28633', 'Color': 'color3'}, {'NextGateID': '28661', 'Color': 'color3'}, {'NextGateID': '28689', 'Color': 'color3'}, {'NextGateID': '28704', 'Color': 'color3'}, {'NextGateID': '28755', 'Color': 'color4'}, {'NextGateID': '28766', 'Color': 'color4'}, {'NextGateID': '28816', 'Color': 'color3'}, {'NextGateID': '28840', 'Color': 'color4'}, {'NextGateID': '28855', 'Color': 'color4'}, {'NextGateID': '28896', 'Color': 'color4'}, {'NextGateID': '28949', 'Color': 'color3'}, {'NextGateID': '28964', 'Color': 'color3'}, {'NextGateID': '29059', 'Color': 'color3'}, {'NextGateID': '29102', 'Color': 'color4'}, {'NextGateID': '29527', 'Color': 'color4'}, {'NextGateID': '29593', 'Color': 'color3'}, {'NextGateID': '29643', 'Color': 'color5'}, {'NextGateID': '29656', 'Color': 'color3'}, {'NextGateID': '29707', 'Color': 'color4'}, {'NextGateID': '29903', 'Color': 'color3'}, {'NextGateID': '29959', 'Color': 'color3'}, {'NextGateID': '29987', 'Color': 'color4'}, {'NextGateID': '30045', 'Color': 'color3'}, {'NextGateID': '30058', 'Color': 'color3'}, {'NextGateID': '30071', 'Color': 'color4'}, {'NextGateID': '30107', 'Color': 'color3'}, {'NextGateID': '30160', 'Color': 'color4'}, {'NextGateID': '30188', 'Color': 'color3'}, {'NextGateID': '30229', 'Color': 'color3'}, {'NextGateID': '30244', 'Color': 'color4'}, {'NextGateID': '30257', 'Color': 'color3'}, {'NextGateID': '30320', 'Color': 'color3'}, {'NextGateID': '30348', 'Color': 'color4'}, {'NextGateID': '30386', 'Color': 'color3'}, {'NextGateID': '30416', 'Color': 'color3'}, {'NextGateID': '30435', 'Color': 'color4'}, {'NextGateID': '30472', 'Color': 'color4'}, {'NextGateID': '30523', 'Color': 'color3'}, {'NextGateID': '30579', 'Color': 'color3'}, {'NextGateID': '30607', 'Color': 'color3'}, {'NextGateID': '30620', 'Color': 'color4'}, {'NextGateID': '30702', 'Color': 'color3'}, {'NextGateID': '30717', 'Color': 'color3'}, {'NextGateID': '30793', 'Color': 'color4'}, {'NextGateID': '30804', 'Color': 'color3'}, {'NextGateID': '30838', 'Color': 'color3'}, {'NextGateID': '30862', 'Color': 'color3'}, {'NextGateID': '30962', 'Color': 'color3'}, {'NextGateID': '31031', 'Color': 'color4'}, {'NextGateID': '31074', 'Color': 'color4'}, {'NextGateID': '31115', 'Color': 'color3'}, {'NextGateID': '31130', 'Color': 'color3'}, {'NextGateID': '31168', 'Color': 'color3'}, {'NextGateID': '31211', 'Color': 'color3'}, {'NextGateID': '31222', 'Color': 'color3'}, {'NextGateID': '31334', 'Color': 'color4'}, {'NextGateID': '31373', 'Color': 'color3'}, {'NextGateID': '31388', 'Color': 'color3'}, {'NextGateID': '31457', 'Color': 'color3'}, {'NextGateID': '31472', 'Color': 'color5'}, {'NextGateID': '31653', 'Color': 'color3'}]"
22643,"[{'LastGateID': '18107', 'Color': 'black'}, {'LastGateID': '18616', 'Color': 'color2'}]","[{'NextGateID': '22646', 'Color': 'gray'}]"
22644,"[{'LastGateID': 'Input Signal', 'Color': 'black'}, {'LastGateID': '18608', 'Color': 'gray'}]","[{'NextGateID': '22645', 'Color': 'gray'}]"
22645,"[{'LastGateID': '22228', 'Color': 'color1'}, {'LastGateID': '22644', 'Color': 'gray'}]","[{'NextGateID': '22646', 'Color': 'gray'}]"
22646,"[{'LastGateID': '22643', 'Color': 'gray'}, {'LastGateID': '22645', 'Color': 'gray'}]","[{'NextGateID': '22647', 'Color': 'black'}]"
26734,"[{'LastGateID': '18153', 'Color': 'black'}, {'LastGateID': '18616', 'Color': 'color2'}]","[{'NextGateID': '26737', 'Color': 'gray'}]"
