Group,Size,Gates,Intercellular Info,Gate Info
1,3,"['18023', '18607', '18610']","[{'Gate': '18023', 'Type': 'NOT', 'LastCell': 'Input Signal', 'NextCell': '1'}, {'Gate': '18607', 'Type': 'NOT', 'LastCell': 'Non-primitive Input Gate: 18606', 'NextCell': '1'}, {'Gate': '18610', 'Type': 'NOR', 'LastCell': '1', 'NextCell': '6'}]","[{'Gate': '18023', 'LastGate': ['Input Signal'], 'NextGate': [18610]}, {'Gate': '18607', 'LastGate': [18606], 'NextGate': [18610]}, {'Gate': '18610', 'LastGate': [18023, 18607], 'NextGate': [18612]}]"
2,10,"['18024', '18608', '22643', '22644', '22645', '22646', '26734', '26735', '26736', '26737']","[{'Gate': '18024', 'Type': 'NOT', 'LastCell': 'Input Signal', 'NextCell': '2'}, {'Gate': '18608', 'Type': 'NOR', 'LastCell': '1', 'NextCell': '4743'}, {'Gate': '22643', 'Type': 'NOR', 'LastCell': '9', 'NextCell': '2'}, {'Gate': '22644', 'Type': 'NOR', 'LastCell': '2', 'NextCell': '2'}, {'Gate': '22645', 'Type': 'NOR', 'LastCell': '2', 'NextCell': '2'}, {'Gate': '22646', 'Type': 'NOR', 'LastCell': '2', 'NextCell': 'Non-primitive Input Gate: 22647'}, {'Gate': '26734', 'Type': 'NOR', 'LastCell': '9', 'NextCell': '2'}, {'Gate': '26735', 'Type': 'NOR', 'LastCell': '2', 'NextCell': '2'}, {'Gate': '26736', 'Type': 'NOR', 'LastCell': '2', 'NextCell': '2'}, {'Gate': '26737', 'Type': 'NOR', 'LastCell': '2', 'NextCell': 'Non-primitive Input Gate: 26738'}]","[{'Gate': '18024', 'LastGate': ['Input Signal'], 'NextGate': [18608]}, {'Gate': '18608', 'LastGate': [18024, 18607], 'NextGate': [31653]}, {'Gate': '22643', 'LastGate': [18107, 18616], 'NextGate': [22646]}, {'Gate': '22644', 'LastGate': ['Input Signal', 18608], 'NextGate': [22645]}, {'Gate': '22645', 'LastGate': [22228, 22644], 'NextGate': [22646]}, {'Gate': '22646', 'LastGate': [22643, 22645], 'NextGate': [22647]}, {'Gate': '26734', 'LastGate': [18153, 18616], 'NextGate': [26737]}, {'Gate': '26735', 'LastGate': ['Input Signal', 18608], 'NextGate': [26736]}, {'Gate': '26736', 'LastGate': [22242, 26735], 'NextGate': [26737]}, {'Gate': '26737', 'LastGate': [26734, 26736], 'NextGate': [26738]}]"
3,5,"['18473', '22240', '29542', '30132', '31638']","[{'Gate': '18473', 'Type': 'NOT', 'LastCell': 'Input Signal', 'NextCell': '3'}, {'Gate': '22240', 'Type': 'NOR', 'LastCell': '4', 'NextCell': '3'}, {'Gate': '29542', 'Type': 'NOR', 'LastCell': '4061', 'NextCell': 'Non-primitive Input Gate: 29543'}, {'Gate': '30132', 'Type': 'NOR', 'LastCell': '4259', 'NextCell': 'Non-primitive Input Gate: 30133'}, {'Gate': '31638', 'Type': 'NOR', 'LastCell': '4737', 'NextCell': 'Non-primitive Input Gate: 31639'}]","[{'Gate': '18473', 'LastGate': ['Input Signal'], 'NextGate': [22240]}, {'Gate': '22240', 'LastGate': [18473, 18609], 'NextGate': [31638]}, {'Gate': '29542', 'LastGate': [22240, 29541], 'NextGate': [29543]}, {'Gate': '30132', 'LastGate': [22240, 30131], 'NextGate': [30133]}, {'Gate': '31638', 'LastGate': [22240, 31637], 'NextGate': [31639]}]"
4,1,['18609'],"[{'Gate': '18609', 'Type': 'NOT', 'LastCell': '2', 'NextCell': '3'}]","[{'Gate': '18609', 'LastGate': [18608], 'NextGate': [22240]}]"
5,3,"['18611', '27021', '27025']","[{'Gate': '18611', 'Type': 'NOT', 'LastCell': '1', 'NextCell': '5'}, {'Gate': '27021', 'Type': 'NOR', 'LastCell': '5', 'NextCell': '5'}, {'Gate': '27025', 'Type': 'NOR', 'LastCell': '3130', 'NextCell': 'Non-primitive Input Gate: 27026'}]","[{'Gate': '18611', 'LastGate': [18610], 'NextGate': [27021]}, {'Gate': '27021', 'LastGate': [18434, 18611], 'NextGate': [27025]}, {'Gate': '27025', 'LastGate': [27021, 27024], 'NextGate': [27026]}]"
6,13,"['18612', '19832', '19833', '19834', '20044', '20045', '20046', '20472', '20473', '20474', '20488', '20489', '20490']","[{'Gate': '18612', 'Type': 'NOR', 'LastCell': '1', 'NextCell': '3616'}, {'Gate': '19832', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '6'}, {'Gate': '19833', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '6'}, {'Gate': '19834', 'Type': 'NOR', 'LastCell': '6', 'NextCell': 'Non-primitive Input Gate: 19835'}, {'Gate': '20044', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '6'}, {'Gate': '20045', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '6'}, {'Gate': '20046', 'Type': 'NOR', 'LastCell': '6', 'NextCell': 'Non-primitive Input Gate: 20047'}, {'Gate': '20472', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '6'}, {'Gate': '20473', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '6'}, {'Gate': '20474', 'Type': 'NOR', 'LastCell': '6', 'NextCell': 'Non-primitive Input Gate: 20475'}, {'Gate': '20488', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '6'}, {'Gate': '20489', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '6'}, {'Gate': '20490', 'Type': 'NOR', 'LastCell': '6', 'NextCell': 'Non-primitive Input Gate: 20491'}]","[{'Gate': '18612', 'LastGate': [18608, 18610], 'NextGate': [28244]}, {'Gate': '19832', 'LastGate': [17750, 18612], 'NextGate': [19834]}, {'Gate': '19833', 'LastGate': [17334, 18620], 'NextGate': [19834]}, {'Gate': '19834', 'LastGate': [19832, 19833], 'NextGate': [19835]}, {'Gate': '20044', 'LastGate': [17675, 18612], 'NextGate': [20046]}, {'Gate': '20045', 'LastGate': [17387, 18620], 'NextGate': [20046]}, {'Gate': '20046', 'LastGate': [20044, 20045], 'NextGate': [20047]}, {'Gate': '20472', 'LastGate': [17622, 18612], 'NextGate': [20474]}, {'Gate': '20473', 'LastGate': [17494, 18620], 'NextGate': [20474]}, {'Gate': '20474', 'LastGate': [20472, 20473], 'NextGate': [20475]}, {'Gate': '20488', 'LastGate': [17626, 18612], 'NextGate': [20490]}, {'Gate': '20489', 'LastGate': [17498, 18620], 'NextGate': [20490]}, {'Gate': '20490', 'LastGate': [20488, 20489], 'NextGate': [20491]}]"
7,1,['18613'],"[{'Gate': '18613', 'Type': 'NOT', 'LastCell': '6', 'NextCell': 'Non-primitive Input Gate: 31673'}]","[{'Gate': '18613', 'LastGate': [18612], 'NextGate': [31673]}]"
8,3,"['18614', '18621', '18622']","[{'Gate': '18614', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '8'}, {'Gate': '18621', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '8'}, {'Gate': '18622', 'Type': 'NOR', 'LastCell': '8', 'NextCell': 'Non-primitive Input Gate: 18623'}]","[{'Gate': '18614', 'LastGate': [17991, 18612], 'NextGate': [18622]}, {'Gate': '18621', 'LastGate': [17031, 18620], 'NextGate': [18622]}, {'Gate': '18622', 'LastGate': [18614, 18621], 'NextGate': [18623]}]"
9,5,"['18615', '18616', '22396', '24254', '27051']","[{'Gate': '18615', 'Type': 'NOR', 'LastCell': 'Non-primitive Input Gate: 17030', 'NextCell': 'Non-primitive Input Gate: 22222'}, {'Gate': '18616', 'Type': 'NOT', 'LastCell': '9', 'NextCell': '1284'}, {'Gate': '22396', 'Type': 'NOR', 'LastCell': '9', 'NextCell': '1342'}, {'Gate': '24254', 'Type': 'NOR', 'LastCell': '2044', 'NextCell': '1992'}, {'Gate': '27051', 'Type': 'NOR', 'LastCell': '9', 'NextCell': '3139'}]","[{'Gate': '18615', 'LastGate': ['Input Signal', 17030], 'NextGate': [22222]}, {'Gate': '18616', 'LastGate': [18615], 'NextGate': [31670]}, {'Gate': '22396', 'LastGate': [18057, 18616], 'NextGate': [22397]}, {'Gate': '24254', 'LastGate': [18616, 24253], 'NextGate': [24255]}, {'Gate': '27051', 'LastGate': [18216, 18616], 'NextGate': [27054]}]"
10,9,"['18618', '26119', '26126', '26152', '26153', '26154', '26155', '26158', '26159']","[{'Gate': '18618', 'Type': 'NOT', 'LastCell': 'Non-primitive Input Gate: 18617', 'NextCell': '2956'}, {'Gate': '26119', 'Type': 'NOR', 'LastCell': '1264', 'NextCell': '10'}, {'Gate': '26126', 'Type': 'NOR', 'LastCell': '1459', 'NextCell': '10'}, {'Gate': '26152', 'Type': 'NOR', 'LastCell': '10', 'NextCell': '10'}, {'Gate': '26153', 'Type': 'NOT', 'LastCell': '10', 'NextCell': '10'}, {'Gate': '26154', 'Type': 'NOR', 'LastCell': '10', 'NextCell': '10'}, {'Gate': '26155', 'Type': 'NOT', 'LastCell': '10', 'NextCell': '10'}, {'Gate': '26158', 'Type': 'NOR', 'LastCell': '2815', 'NextCell': '10'}, {'Gate': '26159', 'Type': 'NOT', 'LastCell': '10', 'NextCell': '2807'}]","[{'Gate': '18618', 'LastGate': [18617], 'NextGate': [26538]}, {'Gate': '26119', 'LastGate': [17283, 22761], 'NextGate': [26154]}, {'Gate': '26126', 'LastGate': [17347, 22745], 'NextGate': [26152]}, {'Gate': '26152', 'LastGate': [18618, 26126], 'NextGate': [26153]}, {'Gate': '26153', 'LastGate': [26152], 'NextGate': [26154]}, {'Gate': '26154', 'LastGate': [26119, 26153], 'NextGate': [26155]}, {'Gate': '26155', 'LastGate': [26154], 'NextGate': [26158]}, {'Gate': '26158', 'LastGate': [26155, 26157], 'NextGate': [26159]}, {'Gate': '26159', 'LastGate': [26158], 'NextGate': [26160]}]"
11,1,['18619'],"[{'Gate': '18619', 'Type': 'NOR', 'LastCell': 'Non-primitive Input Gate: 18617', 'NextCell': 'Non-primitive Input Gate: 22158'}]","[{'Gate': '18619', 'LastGate': [18616, 18617], 'NextGate': [22158]}]"
12,13,"['18620', '19200', '19201', '19202', '20504', '20505', '20506', '20520', '20521', '20522', '20532', '20533', '20534']","[{'Gate': '18620', 'Type': 'NOT', 'LastCell': '11', 'NextCell': '1261'}, {'Gate': '19200', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '12'}, {'Gate': '19201', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '12'}, {'Gate': '19202', 'Type': 'NOR', 'LastCell': '12', 'NextCell': 'Non-primitive Input Gate: 19203'}, {'Gate': '20504', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '12'}, {'Gate': '20505', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '12'}, {'Gate': '20506', 'Type': 'NOR', 'LastCell': '12', 'NextCell': 'Non-primitive Input Gate: 20507'}, {'Gate': '20520', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '12'}, {'Gate': '20521', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '12'}, {'Gate': '20522', 'Type': 'NOR', 'LastCell': '12', 'NextCell': 'Non-primitive Input Gate: 20523'}, {'Gate': '20532', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '12'}, {'Gate': '20533', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '12'}, {'Gate': '20534', 'Type': 'NOR', 'LastCell': '12', 'NextCell': 'Non-primitive Input Gate: 20535'}]","[{'Gate': '18620', 'LastGate': [18619], 'NextGate': [22155]}, {'Gate': '19200', 'LastGate': [17880, 18612], 'NextGate': [19202]}, {'Gate': '19201', 'LastGate': [17176, 18620], 'NextGate': [19202]}, {'Gate': '19202', 'LastGate': [19200, 19201], 'NextGate': [19203]}, {'Gate': '20504', 'LastGate': [17630, 18612], 'NextGate': [20506]}, {'Gate': '20505', 'LastGate': [17502, 18620], 'NextGate': [20506]}, {'Gate': '20506', 'LastGate': [20504, 20505], 'NextGate': [20507]}, {'Gate': '20520', 'LastGate': [17634, 18612], 'NextGate': [20522]}, {'Gate': '20521', 'LastGate': [17506, 18620], 'NextGate': [20522]}, {'Gate': '20522', 'LastGate': [20520, 20521], 'NextGate': [20523]}, {'Gate': '20532', 'LastGate': [17637, 18612], 'NextGate': [20534]}, {'Gate': '20533', 'LastGate': [17509, 18620], 'NextGate': [20534]}, {'Gate': '20534', 'LastGate': [20532, 20533], 'NextGate': [20535]}]"
13,3,"['18624', '18625', '18626']","[{'Gate': '18624', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '13'}, {'Gate': '18625', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '13'}, {'Gate': '18626', 'Type': 'NOR', 'LastCell': '13', 'NextCell': 'Non-primitive Input Gate: 18627'}]","[{'Gate': '18624', 'LastGate': [17992, 18612], 'NextGate': [18626]}, {'Gate': '18625', 'LastGate': [17032, 18620], 'NextGate': [18626]}, {'Gate': '18626', 'LastGate': [18624, 18625], 'NextGate': [18627]}]"
14,3,"['18628', '18629', '18630']","[{'Gate': '18628', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '14'}, {'Gate': '18629', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '14'}, {'Gate': '18630', 'Type': 'NOR', 'LastCell': '14', 'NextCell': 'Non-primitive Input Gate: 18631'}]","[{'Gate': '18628', 'LastGate': [17993, 18612], 'NextGate': [18630]}, {'Gate': '18629', 'LastGate': [17033, 18620], 'NextGate': [18630]}, {'Gate': '18630', 'LastGate': [18628, 18629], 'NextGate': [18631]}]"
15,3,"['18632', '18633', '18634']","[{'Gate': '18632', 'Type': 'NOR', 'LastCell': '6', 'NextCell': '15'}, {'Gate': '18633', 'Type': 'NOR', 'LastCell': '12', 'NextCell': '15'}, {'Gate': '18634', 'Type': 'NOR', 'LastCell': '15', 'NextCell': 'Non-primitive Input Gate: 18635'}]","[{'Gate': '18632', 'LastGate': [17994, 18612], 'NextGate': [18634]}, {'Gate': '18633', 'LastGate': [17034, 18620], 'NextGate': [18634]}, {'Gate': '18634', 'LastGate': [18632, 18633], 'NextGate': [18635]}]"
