Time Cost: 31473.23913693428s
Community 1: ['18023', '18024', '18607', '18608', '18610', '18611', '18612', '30835', '30836', '30837', '30838']
Community 2: ['18473', '22240', '31250', '31258', '31638']
Community 3: ['18609']
Community 4: ['18613', '28323', '28325', '31671', '31672']
Community 5: ['18614', '18621', '18622']
Community 6: ['18615', '18616', '22165', '22166', '22178', '22179', '22183', '22184', '22185', '22195', '22196', '27037', '27042']
Community 7: ['18618', '26382', '26383']
Community 8: ['18619', '18620', '20536', '20537', '20538', '22013', '22058', '22059', '22109', '22155', '22156']
Community 9: ['18624', '18625', '18626']
Community 10: ['18628', '18629', '18630']
Community 11: ['18632', '18633', '18634']
Community 12: ['18636', '18637', '18638']
Community 13: ['18640', '18641', '18642']
Community 14: ['18644', '18645', '18646']
Community 15: ['18648', '18649', '18650']
Community 16: ['18652', '18653', '18654']
Community 17: ['18656', '18657', '18658']
Community 18: ['18660', '18661', '18662']
Community 19: ['18664', '18665', '18666']
Community 20: ['18668', '18669', '18670']
Community 21: ['18672', '18673', '18674']
Community 22: ['18676', '18677', '18678']
Community 23: ['18680', '18681', '18682']
Community 24: ['18684', '18685', '18686']
Community 25: ['18688', '18689', '18690']
Community 26: ['18692', '18693', '18694']
Community 27: ['18696', '18697', '18698']
Community 28: ['18700', '18701', '18702']
Community 29: ['18704', '18705', '18706']
Community 30: ['18708', '18709', '18710']
Community 31: ['18712', '18713', '18714']
Community 32: ['18716', '18717', '18718']
Community 33: ['18720', '18721', '18722']
Community 34: ['18724', '18725', '18726']
Community 35: ['18728', '18729', '18730']
Community 36: ['18732', '18733', '18734']
Community 37: ['18736', '18737', '18738']
Community 38: ['18740', '18741', '18742']
Community 39: ['18744', '18745', '18746']
Community 40: ['18748', '18749', '18750']
Community 41: ['18752', '18753', '18754']
Community 42: ['18756', '18757', '18758']
Community 43: ['18760', '18761', '18762']
Community 44: ['18764', '18765', '18766']
Community 45: ['18768', '18769', '18770']
Community 46: ['18772', '18773', '18774']
Community 47: ['18776', '18777', '18778']
Community 48: ['18780', '18781', '18782']
