Time Cost: 231.4469964504242s
Community 1: ['18023']
Community 2: ['18024']
Community 3: ['18473']
Community 4: ['18607']
Community 5: ['18608']
Community 6: ['18609']
Community 7: ['18610']
Community 8: ['18611']
Community 9: ['18612']
Community 10: ['18613']
Community 11: ['18614']
Community 12: ['18615']
Community 13: ['18616']
Community 14: ['18618']
Community 15: ['18619']
Community 16: ['18620']
Community 17: ['18621']
Community 18: ['18622']
Community 19: ['18624']
Community 20: ['18625']
Community 21: ['18626']
Community 22: ['18628']
Community 23: ['18629']
Community 24: ['18630']
Community 25: ['18632']
Community 26: ['18633']
Community 27: ['18634']
Community 28: ['18636']
Community 29: ['18637']
Community 30: ['18638']
Community 31: ['18640']
Community 32: ['18641']
Community 33: ['18642']
Community 34: ['18644']
Community 35: ['18645']
Community 36: ['18646']
Community 37: ['18648']
Community 38: ['18649']
Community 39: ['18650']
Community 40: ['18652']
Community 41: ['18653']
Community 42: ['18654']
Community 43: ['18656']
Community 44: ['18657']
Community 45: ['18658']
Community 46: ['18660']
Community 47: ['18661']
Community 48: ['18662']
Community 49: ['18664']
Community 50: ['18665']
Community 51: ['18666']
Community 52: ['18668']
Community 53: ['18669']
Community 54: ['18670']
Community 55: ['18672']
Community 56: ['18673']
Community 57: ['18674']
Community 58: ['18676']
Community 59: ['18677']
Community 60: ['18678']
Community 61: ['18680']
Community 62: ['18681']
Community 63: ['18682']
Community 64: ['18684']
Community 65: ['18685']
Community 66: ['18686']
Community 67: ['18688']
Community 68: ['18689']
Community 69: ['18690']
Community 70: ['18692']
Community 71: ['18693']
Community 72: ['18694']
Community 73: ['18696']
Community 74: ['18697']
Community 75: ['18698']
Community 76: ['18700']
Community 77: ['18701']
Community 78: ['18702']
Community 79: ['18704']
Community 80: ['18705']
Community 81: ['18706']
Community 82: ['18708']
Community 83: ['18709']
Community 84: ['18710']
Community 85: ['18712']
Community 86: ['18713']
Community 87: ['18714']
Community 88: ['18716']
Community 89: ['18717']
Community 90: ['18718']
Community 91: ['18720']
Community 92: ['18721']
Community 93: ['18722']
Community 94: ['18724']
Community 95: ['18725']
Community 96: ['18726']
Community 97: ['18728']
Community 98: ['18729']
Community 99: ['18730']
Community 100: ['18732']
Community 101: ['18733']
Community 102: ['18734']
Community 103: ['18736']
Community 104: ['18737']
Community 105: ['18738']
Community 106: ['18740']
Community 107: ['18741']
Community 108: ['18742']
Community 109: ['18744']
Community 110: ['18745']
Community 111: ['18746']
Community 112: ['18748']
Community 113: ['18749']
Community 114: ['18750']
Community 115: ['18752']
Community 116: ['18753']
Community 117: ['18754']
Community 118: ['18756']
Community 119: ['18757']
Community 120: ['18758']
Community 121: ['18760']
Community 122: ['18761']
Community 123: ['18762']
Community 124: ['18764']
Community 125: ['18765']
Community 126: ['18766']
Community 127: ['18768']
Community 128: ['18769']
Community 129: ['18770']
Community 130: ['18772']
Community 131: ['18773']
Community 132: ['18774']
Community 133: ['18776']
Community 134: ['18777']
Community 135: ['18778']
Community 136: ['18780']
Community 137: ['18781']
Community 138: ['18782']
Community 139: ['18784']
Community 140: ['18785']
Community 141: ['18786']
Community 142: ['18788']
Community 143: ['18789']
Community 144: ['18790']
Community 145: ['18792']
Community 146: ['18793']
Community 147: ['18794']
Community 148: ['18796']
Community 149: ['18797']
Community 150: ['18798']
Community 151: ['18800']
Community 152: ['18801']
Community 153: ['18802']
Community 154: ['18804']
Community 155: ['18805']
Community 156: ['18806']
Community 157: ['18808']
Community 158: ['18809']
Community 159: ['18810']
Community 160: ['18812']
Community 161: ['18813']
Community 162: ['18814']
Community 163: ['18816']
Community 164: ['18817']
Community 165: ['18818']
Community 166: ['18820']
Community 167: ['18821']
Community 168: ['18822']
Community 169: ['18824']
Community 170: ['18825']
Community 171: ['18826']
Community 172: ['18828']
Community 173: ['18829']
Community 174: ['18830']
Community 175: ['18832']
Community 176: ['18833']
Community 177: ['18834']
Community 178: ['18836']
Community 179: ['18837']
Community 180: ['18838']
Community 181: ['18840']
Community 182: ['18841']
Community 183: ['18842']
Community 184: ['18844']
Community 185: ['18845']
Community 186: ['18846']
Community 187: ['18848']
Community 188: ['18849']
Community 189: ['18850']
Community 190: ['18852']
Community 191: ['18853']
Community 192: ['18854']
Community 193: ['18856']
Community 194: ['18857']
Community 195: ['18858']
Community 196: ['18860']
Community 197: ['18861']
Community 198: ['18862']
Community 199: ['18864']
Community 200: ['18865']
Community 201: ['18866']
Community 202: ['18868']
Community 203: ['18869']
Community 204: ['18870']
Community 205: ['18872']
Community 206: ['18873']
Community 207: ['18874']
Community 208: ['18876']
Community 209: ['18877']
Community 210: ['18878']
Community 211: ['18880']
Community 212: ['18881']
Community 213: ['18882']
Community 214: ['18884']
Community 215: ['18885']
Community 216: ['18886']
Community 217: ['18888']
Community 218: ['18889']
Community 219: ['18890']
Community 220: ['18892']
Community 221: ['18893']
Community 222: ['18894']
Community 223: ['18896']
Community 224: ['18897']
Community 225: ['18898']
Community 226: ['18900']
Community 227: ['18901']
Community 228: ['18902']
Community 229: ['18904']
Community 230: ['18905']
Community 231: ['18906']
Community 232: ['18908']
Community 233: ['18909']
Community 234: ['18910']
Community 235: ['18912']
Community 236: ['18913']
Community 237: ['18914']
Community 238: ['18916']
Community 239: ['18917']
Community 240: ['18918']
Community 241: ['18920']
Community 242: ['18921']
Community 243: ['18922']
Community 244: ['18924']
Community 245: ['18925']
Community 246: ['18926']
Community 247: ['18928']
Community 248: ['18929']
Community 249: ['18930']
Community 250: ['18932']
Community 251: ['18933']
Community 252: ['18934']
Community 253: ['18936']
Community 254: ['18937']
Community 255: ['18938']
Community 256: ['18940']
Community 257: ['18941']
Community 258: ['18942']
Community 259: ['18944']
Community 260: ['18945']
Community 261: ['18946']
Community 262: ['18948']
Community 263: ['18949']
Community 264: ['18950']
Community 265: ['18952']
Community 266: ['18953']
Community 267: ['18954']
Community 268: ['18956']
Community 269: ['18957']
Community 270: ['18958']
Community 271: ['18960']
Community 272: ['18961']
Community 273: ['18962']
Community 274: ['18964']
Community 275: ['18965']
Community 276: ['18966']
Community 277: ['18968']
Community 278: ['18969']
Community 279: ['18970']
Community 280: ['18972']
Community 281: ['18973']
Community 282: ['18974']
Community 283: ['18976']
Community 284: ['18977']
Community 285: ['18978']
Community 286: ['18980']
Community 287: ['18981']
Community 288: ['18982']
